Name: “Table 1 of 1”,Name: “Table 1 of 1”,Name: “Table 1 of 1”,Name: “Table 1 of 1”,Name: “Table 1 of 1”,Name: “Table 1 of 1”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,,
,,1998,1999,2000,2001
"Cooperative 
        Forest Health Program",,"68,607","68,607","68,607","61,569"
"Forest 
        Health Monitoring",,"62,000","62,000","62,000","60,000"
"Cooperative 
        Suppression",Southern pine beetle,"8,000","8,000","12,000","10,000"
,Gypsy moth suppression,"205,00","110,000","103,000","450,000"
,Gypsy moth eradication,0,0,0,0
,"Slow-the-Spread 
          (gypsy moth)","552,000","536,000","604,000","610,000"
"George 
        Washington/Jefferson National Forests",Gypsy moth suppression,"126,500",0,"10,000","306,000"
,"Slow-the-Spread 
          (gypsy moth)","48,500","48,500","42,000","50,000"
,Hemlock woolly adelgid,"30,000","46,000","46,000","55,000"
