Name: “Table 1 of 1 on page 21 of 43”,Name: “Table 1 of 1 on page 21 of 43”,Name: “Table 1 of 1 on page 21 of 43”,Name: “Table 1 of 1 on page 21 of 43”,Name: “Table 1 of 1 on page 21 of 43”,Name: “Table 1 of 1 on page 21 of 43”,Name: “Table 1 of 1 on page 21 of 43”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,
"Table 7—Industrial roundwood movement by product and species group, Virginia, 1995","Table 7—Industrial roundwood movement by product and species group, Virginia, 1995","Table 7—Industrial roundwood movement by product and species group, Virginia, 1995","Table 7—Industrial roundwood movement by product and species group, Virginia, 1995","Table 7—Industrial roundwood movement by product and species group, Virginia, 1995","Table 7—Industrial roundwood movement by product and species group, Virginia, 1995",
Product and,Product and,,Exported to,,Imported from,
species group,species group,Production,other States,Retained,other States,Receipts
,,,,Thousand cubic feet,,
Saw logs,,,,,,
,Softwood,"93,769","5,941","87,828","11,957","99,785"
,Hardwood,"119,000","7,949","111,051","8,942","119,993"
,Total,"212,769","13,890","198,879","20,899","219,778"
Veneer logs,Veneer logs,,,,,
,Softwood,"13,134",51,"13,083","3,484","16,567"
,Hardwood,"3,163","2,147","1,016","1,244","2,260"
,Total,"16,297","2,198","14,099","4,728","18,827"
,a,,,,,
Pulpwood,,,,,,
,Softwood,"113,741","22,533","91,208","15,229","106,437"
,Hardwood,"87,624","14,796","72,828","34,925","107,753"
,Total,"201,365","37,329","164,036","50,154","214,190"
Composite panels,Composite panels,,,,,
,Softwood,"10,089","2,780","7,309","4,965","12,274"
,Hardwood,"11,373","2,071","9,302","5,837","15,139"
,Total,"21,462","4,851","16,611","10,802","27,413"
Other industrial,Other industrial,,,,,
,Softwood,"1,229",35,"1,194",657,"1,851"
,Hardwood,"2,498",0,"2,498",0,"2,498"
,Total,"3,727",35,"3,692",657,"4,349"
All products,All products,,,,,
,Softwood,"231,962","31,340","200,622","36,292","236,914"
,Hardwood,"223,658","26,963","196,695","50,948","247,643"
,Total,"455,620","58,303","397,317","87,240","484,557"
a,Includes roundwood chippe d.,Includes roundwood chippe d.,,,,
,,,17,,,
