Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”,Name: “Table 1 of 1 on page 27 of 43”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,
"Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995","Table 14—Disposal of residue at primary wood-using plants by product, species group, and type of residue, Virginia, 1992 and 1995"
,All types,All types,Bark,,,Coarse,Sawdust,,Shavings,Shavings
Product and,,,,,,,,,,
species group,1992,1995,1992,1995,1992,1995,1992,1995,1992,1995
,,,,Thousand cubic feet,Thousand cubic feet,Thousand cubic feet,,,,
Fiber products,,,,,,,,,,
Softwood,"25,722","29,240",0,0,"25,439","29,228",208,12,75,0
Hardwood,"28,118","27,887",0,0,"27,522","27,162",596,725,0,0
Total,"53,840","57,127",0,0,"52,961","56,390",804,737,75,0
Particleboard,,,,,,,,,,
Softwood,"8,743","8,759",0,0,402,747,"5,162","4,487","3,179","3,525"
Hardwood,"1,907","2,688",0,0,853,"1,593",971,"1,016",83,79
Total,"10,650","11,447",0,0,"1,255","2,340","6,133","5,503","3,262","3,604"
Composite panels,,,,,,,,,,
Softwood,120,141,0,0,0,41,114,94,6,6
Hardwood,"3,621",618,0,27,"3,571",534,49,49,1,8
Total,"3,741",759,0,27,"3,571",575,163,143,7,14
Sawn products,,,,,,,,,,
Softwood,"3,072",0,0,0,"2,913",0,159,0,0,0
Hardwood,72,4,0,0,4,4,68,0,0,0
Total,"3,144",4,0,0,"2,917",4,227,0,0,0
Fuel,,,,,,,,,,
Softwood,"23,673","29,529","10,527","13,005","1,288","2,200","11,326","13,318",532,"1,006"
Hardwood,"39,406","39,645","17,098","16,976","3,933","4,632","18,152","17,815",223,222
Total,"63,079","69,174","27,625","29,981","5,221","6,832","29,478","31,133",755,"1,228"
Miscellaneous,,,,,,,,,,
Softwood,"9,455","11,615","7,058","8,527",17,72,"1,180","1,420","1,200","1,596"
Hardwood,"15,626","16,578","10,190","11,986","1,686","1,247","3,594","3,217",156,128
Total,"25,081","28,193","17,248","20,513","1,703","1,319","4,774","4,637","1,356","1,724"
Not used,,,,,,,,,,
Softwood,975,"1,108",266,387,367,326,321,326,21,69
Hardwood,"4,390","3,704","1,029",854,"1,150",948,"2,182","1,873",29,29
Total,"5,365","4,812","1,295","1,241","1,517","1,274","2,503","2,199",50,98
All products,,,,,,,,,,
Softwood,"71,760","80,392","17,851","21,919","30,426","32,614","18,470","19,657","5,013","6,202"
Hardwood,"93,140","91,124","28,317","29,843","38,719","36,120","25,612","24,695",492,466
Total,"164,900","171,516","46,168","51,762","69,145","68,734","44,082","44,352","5,505","6,668"
,,,,23,,,,,,
