Name: “Table 1 of 1 on page 22 of 43”,Name: “Table 1 of 1 on page 22 of 43”,Name: “Table 1 of 1 on page 22 of 43”,Name: “Table 1 of 1 on page 22 of 43”,Name: “Table 1 of 1 on page 22 of 43”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,
"Table 8—Saw-log volume by destination, source, and","Table 8—Saw-log volume by destination, source, and","Table 8—Saw-log volume by destination, source, and","Table 8—Saw-log volume by destination, source, and",
"species group, Virginia, 1995",,,,
,,Species group,Species group,
Destination,All,All,,
and source,species,Sofstpweocoieds,HardwooSdoftwood,Hardwood
,Thousand cubic feet,Thousand cubic feet,,
Virginia (retained),"198,879","87,828","111,051",
Exports to:,,,,
North Carolina,"10,209","5,335","4,874",
Tennessee,"2,180",507,"1,673",
West Virginia,"1,501",99,"1,402",
Total,"13,890","5,941","7,949",
Imports from:,,,,
Delaware,49,0,49,
Kentucky,585,0,585,
Maryland,446,39,407,
North Carolina,"15,637","11,371","4,266",
Tennessee,"1,220",17,"1,203",
West Virginia,"2,962",530,"2,432",
Total,"20,899","11,957","8,942",
,18,,,
