Name: “Table 1 of 1 on page 38 of 43”,Name: “Table 1 of 1 on page 38 of 43”,Name: “Table 1 of 1 on page 38 of 43”,Name: “Table 1 of 1 on page 38 of 43”,Name: “Table 1 of 1 on page 38 of 43”,Name: “Table 1 of 1 on page 38 of 43”
Table: 37,Table: 37,Table: 37,Table: 37,Table: 37,Table: 37
,,,,,
"Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and","Table 25—Total roundwood output by product, species group, and",
"source of material, Virginia, 1995","source of material, Virginia, 1995",,,,
Product and,All,,Growing-stock trees,Growing-stock trees,Other
species group,sources,Total,Sawtimber,Poletimber,sources
,,Thousand cubic feet,Thousand cubic feet,,
Saw logs,,,,,
Softwood,"93,769","91,543","87,893","3,650","2,226"
Hardwood,"119,000","111,586","105,705","5,881","7,414"
Total,"212,769","203,129","193,598","9,531","9,640"
Veneer logs and bolts,,,,,
Softwood,"13,134","12,979","12,719",260,155
Hardwood,"3,163","3,136","3,007",129,27
Total,"16,297","16,115","15,726",389,182
Pulpwood,,,,,
Softwood,"113,741","102,095","46,964","55,131","11,646"
Hardwood,"87,624","77,850","35,032","42,818","9,774"
Total,"201,365","179,945","81,996","97,949","21,420"
Composite panel,,,,,
Softwood,"10,089","9,056","4,166","4,890","1,033"
Hardwood,"11,373","10,104","4,547","5,557","1,269"
Total,"21,462","19,160","8,713","10,447","2,302"
Poles and posts,,,,,
Softwood,"1,194",980,896,84,214
Hardwood,69,4,2,2,65
Total,"1,263",984,898,86,279
Other miscellaneous,,,,,
Softwood,35,35,25,10,0
Hardwood,"2,429","2,210","1,578",632,219
Total,"2,464","2,245","1,603",642,219
Total industrial products,,,,,
Softwood,"231,962","216,688","152,663","64,025","15,274"
Hardwood,"223,658","204,890","149,871","55,019","18,768"
Total,"455,620","421,578","302,534","119,044","34,042"
Fuelwood,,,,,
Softwood,"10,508","6,228","4,487","1,741","4,280"
Hardwood,"93,324","49,142","35,406","13,736","44,182"
Total,"103,832","55,370","39,893","15,477","48,462"
All products,,,,,
Softwood,"242,470","222,916","157,150","65,766","19,554"
Hardwood,"316,982","254,032","185,277","68,755","62,950"
Total,"559,452","476,948","342,427","134,521","82,504"
,,34,,,
