Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”,Name: “Table 1 of 1 on page 4 of 8”
Table: 4,Table: 4,Table: 4,Table: 4
,,,
Silvicultural Best Management,Silvicultural Best Management,,
Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,
,,,2009
"likely reduce risks to water quality. Minimizing roads, decks","likely reduce risks to water quality. Minimizing roads, decks",of BMP issues that need attention,
aqnudal isttyr eraismk  crreodsuscitnigosn  wanoudl dw colueladr layl sboe  rbeednuecfeic itahle  ton uwmabteerr,aqnudal isttyr eraismk  crreodsuscitnigosn  wanoudl dw colueladr layl sboe  rbeednuecfeic itahle  ton uwmabteerr,during and after the operation.,
Table 4: Individual audit issues that are often associated with significant risks to water quality.,Table 4: Individual audit issues that are often associated with significant risks to water quality.,Table 4: Individual audit issues that are often associated with significant risks to water quality.,
BMP Category,Specific Issue,,Risks
Roads,"Drainage problems, dips, bars, sloping","Drainage problems, dips, bars, sloping",2
,Lack of gravel/vegetation on slopes,Lack of gravel/vegetation on slopes,1
Decks,Deck in SMZs,,1
,Soil protection measures,,1
,Water division,,1
,Sediment trapping structures,,2
Stream Crossings,Culvert size and installation,,1
,Water diversions on approaches,,1
,Headwall stability,,1
SMZs,Exposed soil covered or vegetated,Exposed soil covered or vegetated,1
Skidding,Rutting near stream,,1
,Channelized flow near stream,,2
Mechanical SP,Excessive soil exposure,,2
,,Page 4,
