Name: “Table 1 of 1 on page 47 of 78”,Name: “Table 1 of 1 on page 47 of 78”,Name: “Table 1 of 1 on page 47 of 78”,Name: “Table 1 of 1 on page 47 of 78”,Name: “Table 1 of 1 on page 47 of 78”,Name: “Table 1 of 1 on page 47 of 78”,Name: “Table 1 of 1 on page 47 of 78”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,
Address:,302 Piedmont Avenue,302 Piedmont Avenue,302 Piedmont Avenue,20 - 49,Products: Rough Green Lumber,
"Buena Vista , Va","Buena Vista , Va","Buena Vista , Va",24416,,,
Phone:540-261-2171,Phone:540-261-2171,Phone:540-261-2171,Fax: 540-261-8168,,Species:,"Mixed Hardwoods, Oak,"
Contact: Roy Zangari,Contact: Roy Zangari,Contact: Roy Zangari,,,,Yellow Poplar
Name: North Fork Lumber Inc.,Name: North Fork Lumber Inc.,Name: North Fork Lumber Inc.,Name: North Fork Lumber Inc.,Employee's:,Plant:,Other Wood Products- Sawmill
Address:,P.O. Box 146,P.O. Box 146,P.O. Box 146,20 - 49,"Products: Rough Green Lumber , Other Wood",
"Goshen, Va 24439","Goshen, Va 24439","Goshen, Va 24439",,,,Products
Phone:540-997-5602,Phone:540-997-5602,Phone:540-997-5602,Fax: 540-997-0201,,Species:,"Red Oak, White Oak,"
Contact: Will Harrris,Contact: Will Harrris,Contact: Will Harrris,,,,Yellow Poplar
Name: Randolph Lee Williams Lumber,Name: Randolph Lee Williams Lumber,Name: Randolph Lee Williams Lumber,Name: Randolph Lee Williams Lumber,Employee's:,Plant: Other Wood Products,
Address:,POB 39,POB 39,,,"Products: Remanufactured Lumber,",
"Goshen,",Va,24439,,,,Kiln Dried Lumber
Phone:540-997-5993,Phone:540-997-5993,Phone:540-997-5993,Fax: 540-997-5995,,"Species: White Oak, Red Oak, Mixed",
Contact: Helen Irvine,Contact: Helen Irvine,Contact: Helen Irvine,,,,Hardwoods
Name: Taylor-Ramsey Corp.,Name: Taylor-Ramsey Corp.,Name: Taylor-Ramsey Corp.,Name: Taylor-Ramsey Corp.,Employee's:,Plant:,Hardwood Sawmill
Address:,P. O. Box 276,P. O. Box 276,P. O. Box 276,20 - 49,Products: Rough Green Lumber,
"Natural Bridge,","Natural Bridge,",Va,24579,,,
Phone:540-291-2459,Phone:540-291-2459,Phone:540-291-2459,Fax: 540-291-1894,,Species:,Mixed Hardwoods
Contact: Jack Gilbert,Contact: Jack Gilbert,Contact: Jack Gilbert,,,,
Name: W.R. Deacon and Sons Timber,Name: W.R. Deacon and Sons Timber,Name: W.R. Deacon and Sons Timber,Name: W.R. Deacon and Sons Timber,Employee's:,Plant:,Hardwood Sawmill
Address:,209 Sawmill Lane,209 Sawmill Lane,209 Sawmill Lane,20 - 49,Products: Rough Green Lumber,
"Lexington, Va","Lexington, Va",24450,,,,
Phone:540-463-3832,Phone:540-463-3832,Phone:540-463-3832,Fax: 540-464-4910,,Species:,"Mixed Hardwoods, E. White Pine,"
Contact: Stuart Deacon,Contact: Stuart Deacon,Contact: Stuart Deacon,,,,Yellow Poplar
Rockingham,Rockingham,Rockingham,,,,
Name:,Dallas H. Mace,Dallas H. Mace,Dallas H. Mace,Employee's:,Plant:,Hardwood Sawmill
Address:,Rt. 2 Box 653,Rt. 2 Box 653,Rt. 2 Box 653,,"Products: Rough Green Lumber , Furniture Grade",
"Grottoes, Va","Grottoes, Va",24441,,,,Lumber
Phone:540-249-4458,Phone:540-249-4458,Phone:540-249-4458,Fax:,,Species:,"Mixed Oak, Poplar"
Contact: Dallas Mace,Contact: Dallas Mace,Contact: Dallas Mace,,,,
Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),
Rockingham – continued,Rockingham – continued,Rockingham – continued,Rockingham – continued,,,
Name:,"Neff Lumber Mills, Inc.","Neff Lumber Mills, Inc.","Neff Lumber Mills, Inc.",Employee's:,Plant: Hardwood Sawmill,
Address:,P. O. Box 457,P. O. Box 457,P. O. Box 457,20 - 49,"Products: Kiln Dried Lumber , Veneer,",
,,,,,,38
