Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”,Name: “Table 1 of 1 on page 33 of 78”
Table: 32,Table: 32,Table: 32,Table: 32,Table: 32,Table: 32
,,,,,
Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),
Henrico –continued,Henrico –continued,Henrico –continued,,,
Name: Virginia Log Co.,Name: Virginia Log Co.,Name: Virginia Log Co.,Employee's:,Plant: Hardwood Veneer,
Address:,POB 29510,,,Products: Veneer,
"Richmond , Va",23229,,,,
Phone:*804-737-6334 Fax:,Phone:*804-737-6334 Fax:,Phone:*804-737-6334 Fax:,,Species:,"Mixed Hardwoods, Yellow Pine"
Contact: Karl Rudolph,Contact: Karl Rudolph,,,,
Henry,,,,,
Name: Brinegar Enterprise Inc.,Name: Brinegar Enterprise Inc.,Name: Brinegar Enterprise Inc.,Employee's:,Plant:,Hardwood Sawmill
Address:,2197 George Taylor Rd.,2197 George Taylor Rd.,10 - 19,Products: Rough Green Lumber,
"Spencer , Va",24165,,,,
Phone:540-957-2092,Phone:540-957-2092,Fax: 540-957-2255,,Species:,"Mixed Hardwoods, Yellow Pine,"
Contact: Stephen C. Brinegar,Contact: Stephen C. Brinegar,Contact: Stephen C. Brinegar,,,Yellow Poplar
Name: Dominion Forest Products,Name: Dominion Forest Products,Name: Dominion Forest Products,Employee's:,Plant:,Hardwood Sawmill
Address:,POB 5121,,,"Products: Rough Green Lumber , Pallet Stock,",
"Martinsville , Va","Martinsville , Va",24115,,,Cants
Phone:540-650-8119,Phone:540-650-8119,Fax: 540-650-2080,,Species:,"Mixed Hardwoods, Pine"
Contact: Walter Griggs,Contact: Walter Griggs,,,,
"Name: E . A. Wright and Sons, Inc.","Name: E . A. Wright and Sons, Inc.","Name: E . A. Wright and Sons, Inc.",Employee's:,Plant:,Hardwood Sawmill
Address:,P. O. Box 329,P. O. Box 329,20 - 49,Products: Rough Green Lumber,
"Fieldale , Va",24089,,,,
Phone:540-647-4539,Phone:540-647-4539,Fax:,,Species:,"Mixed Hardwoods, Red Oak,"
Contact: Gerald Wright,Contact: Gerald Wright,,,,White Oak
Name: Lewis Lumber Mill,Name: Lewis Lumber Mill,Name: Lewis Lumber Mill,Employee's:,Plant:,Hardwood Sawmill
Address:,POB 4386,,4 - 9,Products: Rough Green Lumber,
"Bassett, Va",24055,,,,
Phone:540-629-1600,Phone:540-629-1600,Fax:,,Species:,"Mixed Hardwoods, Hard Maple"
Contact: Bobby Lewis,Contact: Bobby Lewis,,,,
Name: Max Kendall Lumber co.,Name: Max Kendall Lumber co.,Name: Max Kendall Lumber co.,Employee's:,Plant: Hardwood Sawmill,
Address:,8261 Mtn. Valley Rd.,8261 Mtn. Valley Rd.,4 - 9,Products: Rough Green Lumber,
"Axton, Va",24054,,,,
Phone:540-650-2825,Phone:540-650-2825,Fax: 540-650-2461,,Species:,"Mixed Hardwoods, Mixed Oak,"
Contact: Max Kendall,Contact: Max Kendall,,,,Yellow Poplar
,,,,,24
