Name: “Table 1 of 1 on page 49 of 78”,Name: “Table 1 of 1 on page 49 of 78”,Name: “Table 1 of 1 on page 49 of 78”,Name: “Table 1 of 1 on page 49 of 78”,Name: “Table 1 of 1 on page 49 of 78”,Name: “Table 1 of 1 on page 49 of 78”
Table: 48,Table: 48,Table: 48,Table: 48,Table: 48,Table: 48
,,,,,
Phone:540--84-8808,Phone:540--84-8808,Fax:,,Species:,Mixed Species
Contact: Marlowe Clem,Contact: Marlowe Clem,Contact: Marlowe Clem,,,
Name: Carlton Orndorff,Name: Carlton Orndorff,Name: Carlton Orndorff,Employee's:,Plant: Hardwood Sawmill,
Address:,5271 Zeep Rd.,5271 Zeep Rd.,,Products: Rough Green Lumber,
"Maurertown, Va","Maurertown, Va",22644,,,
Phone:540-436-3543,Phone:540-436-3543,Fax:,,Species:,Mixed Hardwoods
Contact:,,,,,
Name: Polk's Logging & Lumber,Name: Polk's Logging & Lumber,Name: Polk's Logging & Lumber,Employee's:,Plant:,Hardwood Sawmill
Address:,2133 Pinewoods Rd.,2133 Pinewoods Rd.,1 - 3,Products: Rough Green Lumber,
"Quicksburg, Va","Quicksburg, Va",22847,,,
Phone:540-477-3424,Phone:540-477-3424,Fax: 540-477-3376,,Species:,"Mixed Hardwoods, Yellow Pine"
Contact: Robert Polk,Contact: Robert Polk,,,,
Name: Richard McDonald,Name: Richard McDonald,Name: Richard McDonald,Employee's:,Plant:,Hardwood Sawmill
Address:,578 Old Grade Rd.,578 Old Grade Rd.,1 - 3,"Products: Rough Green Lumber , Crossties,",
"Strasburg, Va",22657,,,,Logs
Phone:540-465-5539,Phone:540-465-5539,Fax:,,Species:,Mixed Hardwoods
Contact: Richard McDonald,Contact: Richard McDonald,Contact: Richard McDonald,,,
Name: Shag's Lumber Co.,Name: Shag's Lumber Co.,Name: Shag's Lumber Co.,Employee's:,Plant:,Other Wood Products- Sawmill
Address:,13977 Old Valley Pike,13977 Old Valley Pike,,"Products: Rough Green Lumber , Other Wood",
"Edinburg, Va",22824,,,,Products
Phone:540-984-4507,Phone:540-984-4507,Fax:,,Species:,Mixed Species
Contact:,,,,,
Smyth,,,,,
Name: George Harrell,Name: George Harrell,,Employee's:,Plant: Hardwood Sawmill,
Address:,"Route 3, Box 85-A","Route 3, Box 85-A",1 - 3,Products: Rough Green Lumber,
"Saltville , Va",24370,,,,
Phone:540-496-5513,Phone:540-496-5513,Fax:,,Species:,Mixed Hardwoods
Contact: George Harrell,Contact: George Harrell,Contact: George Harrell,,,
,,,,,40
