Name: “Table 1 of 1 on page 76 of 78”,Name: “Table 1 of 1 on page 76 of 78”,Name: “Table 1 of 1 on page 76 of 78”,Name: “Table 1 of 1 on page 76 of 78”
Table: 75,Table: 75,Table: 75,Table: 75
,,,
,Equipment Index,Equipment Index,
PLANER,,,
Company Name,Page#,Company Name,Page#
Smurfit-Stone Container.................. 15,Smurfit-Stone Container.................. 15,"Virginia-Carolina Forest Products, Inc.8",
Tidewater Lumber Co. .................... 18,Tidewater Lumber Co. .................... 18,Williams Lumber Corp. ................... 11,
Tradewinds of Virginia.................... 28,Tradewinds of Virginia.................... 28,Wright's Lumber Co........................ 11,
Turman Lumber Co......................... 14,Turman Lumber Co......................... 14,,
POST PEELER,,,
Company Name,Page#,Company Name,Page#
Burke-Parsons-Bowlby Corp............ 37,Burke-Parsons-Bowlby Corp............ 37,Tradewinds of Virginia ................... 28,
C. F. Smith and Sons....................... 28,C. F. Smith and Sons....................... 28,"Wood Preservers, Inc. ..................... 36",
C. F. Smith and Sons....................... 31,C. F. Smith and Sons....................... 31,,
C. H. Evelyn Piling Co. ................... 30,C. H. Evelyn Piling Co. ................... 30,,
SCRAGG SAW,,,
Company Name,Page#,Company Name,Page#
Charles City Forest Products............ 14,Charles City Forest Products............ 14,Nottoway Lumber Co...................... 31,
"Chips, Inc. ..................................... 27","Chips, Inc. ..................................... 27",Robertson Lumber Inc..................... 34,
Ferguson Land and Lumber Co. ....... 19,Ferguson Land and Lumber Co. ....... 19,Russell Lumber Co. ........................ 26,
Gregory Lumber Co. ....................... 33,Gregory Lumber Co. ....................... 33,Tradewinds of Virginia ................... 28,
Michael Turman Sawmill Inc. .......... 18,Michael Turman Sawmill Inc. .......... 18,,
TREATING CYLINDER,,,
Company Name,Page#,Company Name,Page#
Amelia Lumber Co. ..........................2,Amelia Lumber Co. ..........................2,George Shumate Inc........................ 37,
Anderson Brothers Lumber Co...........2,Anderson Brothers Lumber Co...........2,Potomac Supply Corp...................... 44,
"Brodnax Lumber, Inc. .......................8","Brodnax Lumber, Inc. .......................8",Upton Lumber Co. ............................8,
Burke-Parsons-Bowlby Corp............ 37,Burke-Parsons-Bowlby Corp............ 37,"Wood Preservers, Inc. ..................... 36",
TRIM SAW,,,
Company Name,Page#,Company Name,Page#
Barnes Manufacturing Co. ............... 28,Barnes Manufacturing Co. ............... 28,,
,,Lindsey Hardwoods Inc................... 35,
Griffith Lumber Co. ........................ 32,Griffith Lumber Co. ........................ 32,,
,,,67
