Name: “Table 1 of 1 on page 12 of 78”,Name: “Table 1 of 1 on page 12 of 78”,Name: “Table 1 of 1 on page 12 of 78”,Name: “Table 1 of 1 on page 12 of 78”,Name: “Table 1 of 1 on page 12 of 78”,Name: “Table 1 of 1 on page 12 of 78”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,
Amherst,Amherst,,,,
Name: E. F. Fitzgerald Lumber Co.,Name: E. F. Fitzgerald Lumber Co.,Name: E. F. Fitzgerald Lumber Co.,Employee's:,Plant: Hardwood Sawmill,
Address:,297 Hideaway Farm Rd.,297 Hideaway Farm Rd.,10 - 19,"Products: Rough Green Lumber , Pallet Stock",
"Amherst, Va",24521,,,,
Phone:*804-922-7412 Fax: *804-922-7281,Phone:*804-922-7412 Fax: *804-922-7281,Phone:*804-922-7412 Fax: *804-922-7281,Phone:*804-922-7412 Fax: *804-922-7281,Species:,"Red Oak, White Oak"
Contact: Edgar Fitzgerald,Contact: Edgar Fitzgerald,Contact: Edgar Fitzgerald,,,Yellow Pine
Name: Greif Brothers Corp.,Name: Greif Brothers Corp.,Name: Greif Brothers Corp.,Employee's:,Plant:,Pulpmill
Address:,POB 339,,200-499,"Products: Pulp , Corrugating Medium",
"Amherst, Va",24521,,,,Recycled Linerboard
Phone:*804-933-4139 Fax: *804-933-4183,Phone:*804-933-4139 Fax: *804-933-4183,Phone:*804-933-4139 Fax: *804-933-4183,Phone:*804-933-4139 Fax: *804-933-4183,Species:,Mixed Hardwoods
Contact: Marvin Tinsley,Contact: Marvin Tinsley,Contact: Marvin Tinsley,,,
"Name: J. P. Bradley and Sons, Inc.","Name: J. P. Bradley and Sons, Inc.","Name: J. P. Bradley and Sons, Inc.",Employee's:,Plant:,Hardwood Sawmill
Address:,4905 Lexington Tpk.,4905 Lexington Tpk.,10 - 19,Products: Rough Green Lumber,
"Amherst, Va",24521,,,,
Phone:*804-922-7257 Fax: *804-922-7295,Phone:*804-922-7257 Fax: *804-922-7295,Phone:*804-922-7257 Fax: *804-922-7295,Phone:*804-922-7257 Fax: *804-922-7295,Species:,Mixed Hardwoods
Contact: Eldon L. Bradley,Contact: Eldon L. Bradley,Contact: Eldon L. Bradley,,,
Name: Jerry R. Stowe,Name: Jerry R. Stowe,Name: Jerry R. Stowe,Employee's:,Plant:,Hardwood Sawmill
Address:,106 Stowe Ln.,106 Stowe Ln.,4 - 9,"Products: Rough Green Lumber , Crossties",
"Madison Height, Va","Madison Height, Va",24572,,,
Phone:*804-929-2627 Fax:,Phone:*804-929-2627 Fax:,Phone:*804-929-2627 Fax:,,Species:,"Red Oak, White Oak,"
Contact: Jerry R. Stowe,Contact: Jerry R. Stowe,Contact: Jerry R. Stowe,,,Hickory
Name: Ramsey and Son Lumber Co.,Name: Ramsey and Son Lumber Co.,Name: Ramsey and Son Lumber Co.,Employee's:,Plant:,Hardwood Sawmill
Address:,P.O. Box 484,P.O. Box 484,4 - 9,Products: Rough Green Lumber,
"Amherst, Va",24521,,,,
Phone:*804-946-5429 Fax: *804-946-2747,Phone:*804-946-5429 Fax: *804-946-2747,Phone:*804-946-5429 Fax: *804-946-2747,Phone:*804-946-5429 Fax: *804-946-2747,Species:,"Mixed Hardwoods, E. White Pine"
"Contact: Mike Ramsey, Owner","Contact: Mike Ramsey, Owner","Contact: Mike Ramsey, Owner",,,
"Name: Smith Timber Products, Inc.","Name: Smith Timber Products, Inc.","Name: Smith Timber Products, Inc.",Employee's:,Plant:,Sawmill
Address:,120 Hillcrest Dr.,120 Hillcrest Dr.,4 - 9,Products: Rough Green Lumber,
"Amherst, Va",24521,,,,
Phone:*804-946-2277 Fax: *804-946-7339,Phone:*804-946-2277 Fax: *804-946-7339,Phone:*804-946-2277 Fax: *804-946-7339,Phone:*804-946-2277 Fax: *804-946-7339,Species:,"Red Oak, White Oak,"
Contact: David L. Smith,Contact: David L. Smith,Contact: David L. Smith,,,Ash
,,,,,3
