Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”,Name: “Table 1 of 1 on page 19 of 78”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,
Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),
Buckingham - continued,Buckingham - continued,,,
Name: Llewellyn Brothers Lumber Co.,Name: Llewellyn Brothers Lumber Co.,Employee's:,Plant: Hardwood Sawmill,
Address:,P. O. Box 491,10 - 19,Products: Rough Green Lumber,
"Dillwyn, Va",23936,,,
Phone:*804-983-2120 Fax:,Phone:*804-983-2120 Fax:,,Species:,Mixed Species
Contact: Wayne Llewellyn,Contact: Wayne Llewellyn,,,
Name: Pierce and Johnson Lumber,Name: Pierce and Johnson Lumber,Employee's:,Plant:,Hardwood Sawmill
Address:,P. O. Box 273,20 - 49,"Products: Rough Green Lumber , Crossties,",
"Dillwyn, Va",23936,,,Sawdust
Phone:*804-983-2586 Fax: *804-983-2586,Phone:*804-983-2586 Fax: *804-983-2586,Phone:*804-983-2586 Fax: *804-983-2586,Species:,"Oak, Poplar,"
Contact: Timothy Pierce,Contact: Timothy Pierce,,,Hickory
Campbell,,,,
Name: Adams Lumber Co. Inc.,Name: Adams Lumber Co. Inc.,Employee's:,Plant:,Sawmill
Address:,P.O. Box 161,,Products: Rough Green Lumber,
"Brookneal , Va",24528,,,
Phone:*804-376-3038 Fax: *804-376-5922,Phone:*804-376-3038 Fax: *804-376-5922,Phone:*804-376-3038 Fax: *804-376-5922,Species:,"Pine , Mixed Hardwoods"
Contact: James Adams,Contact: James Adams,,,
Name:Dalton Lumber Corp.,Name:Dalton Lumber Corp.,Employee's:,Plant: Softwood Sawmill,
Address:,84 Tardy Mt. Rd.,10 - 19,"Products: Rough Green Lumber , Cants,",
"Alta Vista , Va",24517,,,Dressed Lumber
Phone:*804-369-5429 Fax: *804-369-5424,Phone:*804-369-5429 Fax: *804-369-5424,Phone:*804-369-5429 Fax: *804-369-5424,Species:,"Yellow Pine , Yellow Poplar,"
Contact: Bobby G. Dalton,Contact: Bobby G. Dalton,,,Sweetgum
Name: Lee's Sawmill Inc.,Name: Lee's Sawmill Inc.,Employee's:,Plant:,Softwood Sawmill
Address:,766 Davidson Rd.,10 - 19,Products: Rough Green Lumber,
"Brookneal , Va",24528,,,
Phone:*804-376-3386 Fax:,Phone:*804-376-3386 Fax:,,Species:,"Yellow Pine , Mixed Softwoods,"
Contact: James Lee Jr.,Contact: James Lee Jr.,,,Yellow Poplar
Name:Nash Timber Corp.,Name:Nash Timber Corp.,Employee's:,Plant: Softwood Sawmill,
Address:,12453 Red House Rd.,4 - 9,Products: Rough Green Lumber,
"Gladys, Va",24554,,,
Phone:*804-283-5090Fax:*804-283-9663,Phone:*804-283-5090Fax:*804-283-9663,,Species: Pine,
Contact: Dennis W. Nash,Contact: Dennis W. Nash,,,
,,,,10
