Name: “Table 1 of 1 on page 26 of 28”,Name: “Table 1 of 1 on page 26 of 28”,Name: “Table 1 of 1 on page 26 of 28”
Table: 26,Table: 26,Table: 26
,,
,Table 2. Stream Watchers Guide,
Observations,Causes,Things to Do
Muddy Streams,Flooding & erosion,Investigate upstream
,Farming & livestock,Use fences & filter strips
,Logging & dredging,Replant vegetation
,Construction activity,PUhseo nseo isl oeirl ocsoinosne rbvaartriioerns agency
Fish Kills,SDuefcfaoyciantigo wnater weeds,IEnstviemstaitgea tneu umpbsterr eoaf mdead fish
,Temperature stress,"Large fish , small, both?"
,PDeissteiacisdese s&  &p taorxaisnitses,FPrheoenzee  fai sdhy i&n gg afimshe  faogre angceyncy
Oil Slicks,Accidental spills,Investigate upstream
,Leaking storage tanks,Estimate the area covered
,Illegal dumping,TPahkoen ea  rweastoeurr scae magpelency
Gravel Dredging,IPlelergmailt sd rreeqdugiirnegd,PNhooten ev ewhaitceler  rliecseonusrec en augmebnecry
Muddy Water,Soil erosion,Investigate upstream
,Decaying plants,Man or natural causes
,"Livestock, mining",Phone water resource agency
Odor & Gas,Decaying vegetation,Follow your nose to source
,Decaying animals,Man or natural causes
,Sewage pollution,PRheopnoret  wmaaten r mreasdoeu rpcoel laugtieonncy
Abnormal Flows,Heavy rainfall,Investigate upstream
,Drought,Man or natural causes
,IDrraimgast i&o nlog jams,PRheomnoev ew laotegr  jraems o&u rocle da dgeanmcsy
Foaming,Decaying plants,Check the odor of the foam
,Detergents & soaps,sMmaenl-lmade soap has a perfume
Trash & Litter,Illegal dumping,Erect anti-litter signs
,,POhroganne ilzitet ea rs ctroenatrmo lc laegaenn ucyp day
Algae & Weeds,Fertilizer runoff,Investigate upstream
,Animal waste,Estimate area covered
,Sewage pollution,PChololneec t sao ipl lcaonnt ssearmvaptlieon agency
Green Water,Algae,Investigate upstream
,Industrial dye,Estimate area covered
,,Collect a water sample
,,Phone water resource agency
Milky Water,Sewage pollution,Investigate upstream
,Decaying plants,PChololneec t wa atweart reer ssoaumrcpel eagency
Red-yellow Water,Mining waste,Investigate upstream
,IAnldguaestrial waste,PChololneec t wa atweart reer ssoaumrcpel eagency
24,24,
