Name: “Table 1 of 1 on page 136 of 154”,Name: “Table 1 of 1 on page 136 of 154”,Name: “Table 1 of 1 on page 136 of 154”,Name: “Table 1 of 1 on page 136 of 154”,Name: “Table 1 of 1 on page 136 of 154”
Table: 136,Table: 136,Table: 136,Table: 136,Table: 136
,,,,
,,Education Level,Education Level,
EDU,Frequency,Percent,Cum. Percent,Cum. Percent
College,15,65.22,,65.22
Other,6,26.09,,91.30
High School,2,8.70,,100.00
Total,23,100.00%,,
,,Respondents Age,Respondents Age,
AGE,Frequency,Percent,Cum. Percent,Cum. Percent
36-45,8,34.78,,34.78
46-55,7,30.43,,65.22
26-35,3,13.04,,78.26
16-25,2,8.70,,86.96
>65,2,8.70,,95.65
56-65,1,4.35,,100.00
Total,23,100.00%,,
"Mean= 43.97, Median= 46",,,,
,,Employment Status,Employment Status,
EMPLOY,Frequency,Percent,Cum. Percent,Cum. Percent
Employed,19,82.61,,82.61
Retired,3,13.04,,95.65
Student,1,4.35,,100.00
Total,23,100.00%,,
,,Income Level,,
INCOME,,Frequency,Percent,Cum.Percent
"$80,000-120,000",,7,30.43,30.43
">$120,000",,7,30.43,60.96
"
    ",,4,17.39,78.25
"$40,000-80,000",,2,8.70,86.95
Total,,20,86.95%,
"Mean= $92,250, Median= $100,000","Prefer not to answer= 3, 13.05%","Prefer not to answer= 3, 13.05%","Prefer not to answer= 3, 13.05%",
,,130,,
