Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”,Name: “Table 1 of 1 on page 120 of 154”
Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120,Table: 120
,,,,,,,,,,,,,
Please rate these area features: first importance to you and then conditions,Please rate these area features: first importance to you and then conditions,Please rate these area features: first importance to you and then conditions,Please rate these area features: first importance to you and then conditions,Please rate these area features: first importance to you and then conditions,Please rate these area features: first importance to you and then conditions,Please rate these area features: first importance to you and then conditions,(only if they apply).,(only if they apply).,(only if they apply).,,,,
Area Features:,,Importance to you,Importance to you,Importance to you,,,Current conditions,Current conditions,Current conditions,,,,
1. Lodging,,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
2. Trail camping,,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
3. Campgrounds,,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
4. Eating places,,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
5. Shopping for gifts,,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
6. Historical attractions,6. Historical attractions,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
7. Outdoor attractions,7. Outdoor attractions,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
8. Shuttle/ bike rentals,8. Shuttle/ bike rentals,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
9. Guide services,,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
10. Information,,High,Med,Low,None,,Excel,Good,Fair,Poor,,,
"Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:","Please state whether you Strongly Agree, Agree, Disagree, or are Uncertain about the following 5 statements:",,
1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,1. It is important to maintain the Creeper in good condition to continue to attract visitors to the region. SA,A,D,U
2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,2. A use fee for the Creeper would be a good way to provide funds for maintenance/improvements.,SA,A,D,U
