Name: “Table 1 of 1 on page 123 of 154”,Name: “Table 1 of 1 on page 123 of 154”,Name: “Table 1 of 1 on page 123 of 154”,Name: “Table 1 of 1 on page 123 of 154”,Name: “Table 1 of 1 on page 123 of 154”,Name: “Table 1 of 1 on page 123 of 154”,Name: “Table 1 of 1 on page 123 of 154”
Table: 123,Table: 123,Table: 123,Table: 123,Table: 123,Table: 123,Table: 123
,,,,,,
Appendix B – Expenditure Profiles,Appendix B – Expenditure Profiles,Appendix B – Expenditure Profiles,Appendix B – Expenditure Profiles,,,
,,,,,,4/12/04
,,Primary_Dayuse Trimmed n=169,Primary_Dayuse Trimmed n=169,Primary_Dayuse Trimmed n=169,Primary_Dayuse Trimmed n=169,
,,,,Race and Gender,,
RACE,99.34% White,,MALE,68.87%,FEMALE,31.13%
,,,Site entering VCT,Site entering VCT,,
,ENTER,,Frequency,Percent,Cum. Percent,
,Whitetop,,74,44.05,44.05,
,Damascus,,37,22.02,66.07,
,Abingdon,,25,14.88,80.95,
,Straight Branch,Straight Branch,15,8.93,89.88,
,Alvarado,,5,2.98,92.86,
,Watauga,,4,2.38,95.24,
,Green Cove,,4,2.38,97.62,
,Creek Jctn,,3,1.79,99.40,
,Taylor’s Valley,Taylor’s Valley,1,0.60,100.00,
,Total,,168,100.00%,,
,,,,Primary Activity,,
,ACTIV,Frequency,Frequency,Percent,Cum. Percent,
,Biking,,143,84.62,84.62,
,Walking,,19,11.24,95.86,
,Jogging,,3,1.78,97.63,
,Other,,2,1.18,98.82,
,Horse Ride,,1,0.59,99.41,
,Fishing,,1,0.59,100.00,
,Total,,169,100.00%,,
,,,Time and Distance spent on VCT,Time and Distance spent on VCT,Time and Distance spent on VCT,
,n,Mean,,Median,Standard Deviation,Max
TIMESP,168,191.67,,180,82.60,480
DIST,165,19.22,,17,10.83,61
Time is in minutes and distance in miles,Time is in minutes and distance in miles,Time is in minutes and distance in miles,Time is in minutes and distance in miles,,,
,,,,117,,
