Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”,Name: “Table 1 of 1 on page 122 of 154”
Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122,Table: 122
,,,,,,,,,
1),How many nights total will you be away from home on this trip? _____________ nights,How many nights total will you be away from home on this trip? _____________ nights,How many nights total will you be away from home on this trip? _____________ nights,How many nights total will you be away from home on this trip? _____________ nights,How many nights total will you be away from home on this trip? _____________ nights,How many nights total will you be away from home on this trip? _____________ nights,How many nights total will you be away from home on this trip? _____________ nights,How many nights total will you be away from home on this trip? _____________ nights,
2),"How many, including yourself, are in your spending party?","How many, including yourself, are in your spending party?","How many, including yourself, are in your spending party?","How many, including yourself, are in your spending party?","How many, including yourself, are in your spending party?",_____________ people,_____________ people,,
"In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.","In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.","In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.","In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.","In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.","In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.","In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.","In Column A below, estimate spending by your party within 25 miles of the Creeper Trail.",In Column B estimate,In Column B estimate
spending by your party for your whole trip.,spending by your party for your whole trip.,spending by your party for your whole trip.,spending by your party for your whole trip.,spending by your party for your whole trip.,,,,,
"Note: If your trip is not yet complete, include what you expect to pay where appropriate.","Note: If your trip is not yet complete, include what you expect to pay where appropriate.","Note: If your trip is not yet complete, include what you expect to pay where appropriate.","Note: If your trip is not yet complete, include what you expect to pay where appropriate.","Note: If your trip is not yet complete, include what you expect to pay where appropriate.","Note: If your trip is not yet complete, include what you expect to pay where appropriate.","Note: If your trip is not yet complete, include what you expect to pay where appropriate.","Note: If your trip is not yet complete, include what you expect to pay where appropriate.","For example, if you spent","For example, if you spent"
"$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all","$10 on gas to get here and you need another $10 worth of gas to get home, enter $20 for gas. Remember to report all"
"spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct","spending for your party (e.g., family, scout group, friends sharing expenses, or just yourself) and include the correct"
number of people for your spending party.,number of people for your spending party.,number of people for your spending party.,number of people for your spending party.,,,,,,
,,,,A.,Spending by your party,Spending by your party,B.,Spending by your party,Spending by your party
,,,,,within 25 miles of,within 25 miles of,,for the whole trip,for the whole trip
,,,,,Creeper Trail,Creeper Trail,,,
Lodging:,Lodging:,,,,,,,,
"Privately owned (motel, cottage, bed & breakfast)","Privately owned (motel, cottage, bed & breakfast)","Privately owned (motel, cottage, bed & breakfast)","Privately owned (motel, cottage, bed & breakfast)","Privately owned (motel, cottage, bed & breakfast)",,_______,,,_______
Publicly owned (state or FS campgrounds),Publicly owned (state or FS campgrounds),Publicly owned (state or FS campgrounds),Publicly owned (state or FS campgrounds),,,_______,,,_______
Food & Beverage:,Food & Beverage:,,,,,,,,
Food and drinks consumed at restaurants or bars,Food and drinks consumed at restaurants or bars,Food and drinks consumed at restaurants or bars,Food and drinks consumed at restaurants or bars,Food and drinks consumed at restaurants or bars,,_______,,,_______
"Other food and drinks (carry-out, groceries)","Other food and drinks (carry-out, groceries)","Other food and drinks (carry-out, groceries)","Other food and drinks (carry-out, groceries)","Other food and drinks (carry-out, groceries)",,_______,,,_______
Transportation:,Transportation:,,,,,,,,
"Gasoline, oil, repairs","Gasoline, oil, repairs",,,,,_______,,,_______
"Other transportation (tolls, airfare, vehicle rental)","Other transportation (tolls, airfare, vehicle rental)","Other transportation (tolls, airfare, vehicle rental)","Other transportation (tolls, airfare, vehicle rental)","Other transportation (tolls, airfare, vehicle rental)",,_______,,,_______
Trail Related:,Trail Related:,,,,,,,,
Bicycle rentals or service,Bicycle rentals or service,Bicycle rentals or service,,,,_______,,,_______
Shuttle or guide service,Shuttle or guide service,Shuttle or guide service,,,,_______,,,_______
"Trail use, entry, or parking fees","Trail use, entry, or parking fees","Trail use, entry, or parking fees",,,,_______,,,_______
Any other expenses:,Any other expenses:,Any other expenses:,,,,,,,
Other services or equipment,Other services or equipment,Other services or equipment,,,,_______,,,_______
DEMOGRAPHIC INFORMATION,DEMOGRAPHIC INFORMATION,DEMOGRAPHIC INFORMATION,DEMOGRAPHIC INFORMATION,,,,,,
