Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”,Name: “Table 1 of 1 on page 10 of 22”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,,
18,574940,32.52,61,WUHAN/NANHU,WUHAN/NANHU,WUHAN/NANHU,WUHAN/NANHU,,3037N,11408E,0023
19,576620,32.29,61,CHANGDE,CHANGDE,,,,2903N,11141E,0035
20,596730,32.26,61,SHANGCHUAN ISLAND* 2144N,SHANGCHUAN ISLAND* 2144N,SHANGCHUAN ISLAND* 2144N,SHANGCHUAN ISLAND* 2144N,SHANGCHUAN ISLAND* 2144N,SHANGCHUAN ISLAND* 2144N,11246E,0018
21,575540,31.64,61,SANGZHI,SANGZHI,*,,,2924N,11010E,0322
22,596630,31.58,61,YANGJIANG,YANGJIANG,YANGJIANG,*,,2152N,1158E,0022
23,592540,31.17,61,GUIPING,GUIPING,*,,,2324N,11005E,0044
24,590460,31.03,61,LIUZHOU,LIUZHOU,*,,,2421N,10924E,0097
25,574470,30.78,61,ENSHI,*,,,,3017N,10928E,0458
26,575840,29.68,61,YUEYANG,YUEYANG,,,,2923N,11305E,0052
27,576870,29.58,61,CHANGSHA,CHANGSHA,,,,2814N,11252E,0068
28,544970,29.18,61,DANDONG,DANDONG,,,,4003N,12420E,0014
29,594310,27.49,61,NANNING/WUXU,NANNING/WUXU,NANNING/WUXU,NANNING/WUXU,*,2249N,10821E,0073
