Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”,Name: “Table 1 of 1 on page 8 of 16”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,,,
"Pine Silviculture, continued","Pine Silviculture, continued","Pine Silviculture, continued","Pine Silviculture, continued","Pine Silviculture, continued",,,
Figure 5. Annual diameter breast height (dbh),Figure 5. Annual diameter breast height (dbh),Figure 5. Annual diameter breast height (dbh),,,,,
growth (in.) of loblolly pine in the study of biosolids,growth (in.) of loblolly pine in the study of biosolids,growth (in.) of loblolly pine in the study of biosolids,growth (in.) of loblolly pine in the study of biosolids,,,,
applications.,,,,,,,
Table 5. Summary of loblolly pine growth,Table 5. Summary of loblolly pine growth,Table 5. Summary of loblolly pine growth,,Figure 6. Total stem volume growth curves since fertilizer,Figure 6. Total stem volume growth curves since fertilizer,Figure 6. Total stem volume growth curves since fertilizer,Figure 6. Total stem volume growth curves since fertilizer
responses through five growing seasons following,responses through five growing seasons following,responses through five growing seasons following,responses through five growing seasons following,application in mid-2006.,application in mid-2006.,,
applications of biosolids and inorganic fertilizer.,applications of biosolids and inorganic fertilizer.,applications of biosolids and inorganic fertilizer.,applications of biosolids and inorganic fertilizer.,,,,
,,5-Year DBH,,5-Year Height,,5-Year Volume,Volume
,DBH,,Height,,Total Volume,,
Treatment,,Growth,,Growth,,Growth,Response
,(in.),,(ft.),,(cu. ft./acre),,
,,(in.),,(ft.),,(cu. ft./acre),(%)
Untreated,9.20,1.07,59.9,7.29,2671,779,–
Biosolids-200 lbs. N,9.53,1.36,63.5,10.29,3128,1097,41%
Biosolids-400 lbs. N,9.61,1.41,61.9,10.45,2969,1076,38%
DAP + Urea,9.70,1.38,62.9,12.32,2884,1078,38%
8,,,,,,,
