Name: “Table 1 of 1 on page 41 of 78”,Name: “Table 1 of 1 on page 41 of 78”,Name: “Table 1 of 1 on page 41 of 78”,Name: “Table 1 of 1 on page 41 of 78”,Name: “Table 1 of 1 on page 41 of 78”,Name: “Table 1 of 1 on page 41 of 78”
Table: 40,Table: 40,Table: 40,Table: 40,Table: 40,Table: 40
,,,,,
Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),
Patrick,Patrick,,,,
Name: Collins Logging & Lumber,Name: Collins Logging & Lumber,Name: Collins Logging & Lumber,Employee's:,Plant:,Hardwood Sawmill
Address:,3567 Clark House Farm Rd.,3567 Clark House Farm Rd.,,Products: Rough Green Lumber,
"Stuart, Va",24171,,,,
Phone:540-694-7521,Phone:540-694-7521,Fax:,,Species:,"Mixed Oak, Yellow Poplar,"
Contact:,,,,,Pine
Name: Griffith Lumber co.,Name: Griffith Lumber co.,Name: Griffith Lumber co.,Employee's:,Plant:,Hardwood Sawmill
Address:,1284 Charity Hwy.,1284 Charity Hwy.,20 - 49,"Products: Rough Green Lumber , Stacking Sticks",
"Woolwine , Va","Woolwine , Va",24185,,,
Phone:540-930-2727,Phone:540-930-2727,Fax: 540-930-2747,,Species:,"Red Oak, White Oak,"
Contact: Bruce Griffith,Contact: Bruce Griffith,,,,Hard Maple
Name: Harris Brothers Lumber,Name: Harris Brothers Lumber,Name: Harris Brothers Lumber,Employee's:,Plant:,Hardwood Sawmill
Address:,511 Elamsville Rd.,511 Elamsville Rd.,1 - 3,Products: Rough Green Lumber,
"Stuart, Va",24171,,,,
Phone:540-930-3501,Phone:540-930-3501,Fax: 540-930-3558,,Species:,Mixed Species
Contact: J. E. Harris,Contact: J. E. Harris,,,,
Name: Hawk's Sawmill,Name: Hawk's Sawmill,,Employee's:,Plant:,Hardwood Sawmill
Address:,1324 Friends Mission Rd.,1324 Friends Mission Rd.,4 - 9,Products: Rough Green Lumber,
"Ararat, Va",24053,,,,
Phone:540-251-5117,Phone:540-251-5117,Fax: 540-251-1983,,Species:,Mixed Hardwoods
Contact: Clinton Hawks,Contact: Clinton Hawks,Contact: Clinton Hawks,,,
Name: Pilson Brothers Lumber Co.,Name: Pilson Brothers Lumber Co.,Name: Pilson Brothers Lumber Co.,Employee's:,Plant:,Other Wood Products- Sawmill
Address:,4862 Woolwine Hwy.,4862 Woolwine Hwy.,10 - 19,Products: Rough Green Lumber,
"Stuart, Va",24171,,,,
Phone:540-930-3068,Phone:540-930-3068,Fax: 540-930-3081,,Species:,Mixed Hardwoods
Contact: Ronnie Pilson,Contact: Ronnie Pilson,,,,
Name: Stovall Brothers,Name: Stovall Brothers,,Employee's:,Plant:,Hardwood Sawmill
Address:,2400 Pleasant View Dr.,2400 Pleasant View Dr.,1 - 3,Products: Rough Green Lumber,
"Patrick Springs, Va","Patrick Springs, Va",24122,,,
Phone:540-694-6684,Phone:540-694-6684,Fax:,,Species:,"Mixed Hardwoods, Mixed Softwoods,"
Contact: Cornelius Stovall,Contact: Cornelius Stovall,Contact: Cornelius Stovall,,,Yellow Pine
,,,,,32
