Name: “Table 1 of 1 on page 28 of 78”,Name: “Table 1 of 1 on page 28 of 78”,Name: “Table 1 of 1 on page 28 of 78”,Name: “Table 1 of 1 on page 28 of 78”,Name: “Table 1 of 1 on page 28 of 78”,Name: “Table 1 of 1 on page 28 of 78”,Name: “Table 1 of 1 on page 28 of 78”
Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27,Table: 27
,,,,,,
Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),Virginia Wood Using Industries (County Listing),
Franklin,,,,,,
Name: B. J. Lynch Lumber Co.,Name: B. J. Lynch Lumber Co.,Name: B. J. Lynch Lumber Co.,Employee's:,Plant:,Other Wood Products- Sawmill,
Address:,4110 Brooks Mill Rd.,4110 Brooks Mill Rd.,,"Products: Rough Green Lumber , Other Wood","Products: Rough Green Lumber , Other Wood",
"Glade Hill, Va",24092,,,,Products,
Phone:540-483-0310,Phone:540-483-0310,Fax:,,Species:,Mixed Species,
Contact:,,,,,,
Name: Erath Veneer Corp.,Name: Erath Veneer Corp.,Name: Erath Veneer Corp.,Employee's:,Plant:,Hardwood Veneer,
Address:,P. O. Box 507,P. O. Box 507,50 - 99,Products: Veneer,Products: Veneer,
"Rocky Mount, Va","Rocky Mount, Va",24151,,,,
Phone:540-483-5223,Phone:540-483-5223,Fax: 540-483-1580,,Species:,"Mixed Hardwoods, Yellow Poplar,",
Contact: George Erath,Contact: George Erath,,,,Red Oak,
Name: Ferguson Land and Lumber co.,Name: Ferguson Land and Lumber co.,Name: Ferguson Land and Lumber co.,Employee's:,Plant:,Hardwood Sawmill,
Address:,P. O. Box 828,P. O. Box 828,20 - 49,"Products: Rough Green Lumber , Dressed Lumber","Products: Rough Green Lumber , Dressed Lumber",
"Rocky Mount, Va","Rocky Mount, Va",24151,,,,
Phone:540-483-5112,Phone:540-483-5112,Fax: 540-483-7713,,Species:,Mixed Hardwoods,
Contact: J. Hatcher Ferguson,Contact: J. Hatcher Ferguson,Contact: J. Hatcher Ferguson,,,,
Name: Harvie Perdue Sawmill,Name: Harvie Perdue Sawmill,Name: Harvie Perdue Sawmill,Employee's:,Plant:,Hardwood Sawmill,
Address:,164 Standiford Rd.,164 Standiford Rd.,4 - 9,"Products: Rough Green Lumber , Crossties,","Products: Rough Green Lumber , Crossties,",
"Union Hall, Va",,24176,,,Dressed Lumber,
Phone:540-576-2231,Phone:540-576-2231,Fax:,,Species:,Mixed Hardwoods,
Contact: Harvie Perdue,Contact: Harvie Perdue,,,,,
Name: International Paper Co.,Name: International Paper Co.,Name: International Paper Co.,Employee's:,Plant:,Paper Mill,
Address:,34040 Union Camp Dr.,34040 Union Camp Dr.,,"Products: Uncoated White Paper , Coated and","Products: Uncoated White Paper , Coated and",
"Franklin, Va",23851,,,,Uncoated,White Paperboard
Phone:757-488-1650,Phone:757-488-1650,Fax:,,Species:,"Mixed Hardwoods, Pine",
Contact: Harrell Turner,Contact: Harrell Turner,,,,,
Name: Martin's Sawmill,Name: Martin's Sawmill,Name: Martin's Sawmill,Employee's:,Plant: Hardwood Sawmill,Plant: Hardwood Sawmill,
Address:,7837 Snow Creek Rd.,7837 Snow Creek Rd.,1 - 3,"Products: Rough Green Lumber , Dressed Lumber","Products: Rough Green Lumber , Dressed Lumber",
"Penhook, Va",24137,,,,,
Phone:540-576-2756,Phone:540-576-2756,Fax:,,Species:,Mixed Species,
Contact: Myrl Martin,Contact: Myrl Martin,,,,,
,,,,,,19
