Name: “Table 1 of 1 on page 52 of 78”,Name: “Table 1 of 1 on page 52 of 78”,Name: “Table 1 of 1 on page 52 of 78”,Name: “Table 1 of 1 on page 52 of 78”,Name: “Table 1 of 1 on page 52 of 78”,Name: “Table 1 of 1 on page 52 of 78”,Name: “Table 1 of 1 on page 52 of 78”
Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51,Table: 51
,,,,,,
Warren,,,,,,
Name: McDonald Lumber co.,Name: McDonald Lumber co.,Name: McDonald Lumber co.,Employee's:,Plant:,Hardwood Sawmill,
Address:,1405 Happy Creek Road,1405 Happy Creek Road,1 - 3,"Products: Rough Green Lumber , Crossties,","Products: Rough Green Lumber , Crossties,",
"Front Royal, Va","Front Royal, Va",22630,,,Dressed Lumber,
Phone:540-635-5138,Phone:540-635-5138,Fax:,,Species:,Mixed Hardwoods,
Contact: Jerry McDonald,Contact: Jerry McDonald,Contact: Jerry McDonald,,,,
Washington,Washington,,,,,
Name: D. L. Triplett Lumber Co.,Name: D. L. Triplett Lumber Co.,Name: D. L. Triplett Lumber Co.,Employee's:,Plant:,Hardwood Sawmill,
Address:,POB 472,,10 - 19,Products: Rough Green Lumber,Products: Rough Green Lumber,
"Abingdon, Va",24236,,,,,
Phone:540-475-5656,Phone:540-475-5656,Fax: 540-475-5050,,Species:,Mixed Hardwoods,
Contact: Dockie Triplett,Contact: Dockie Triplett,Contact: Dockie Triplett,,,,
Name: Hodgison Wood Products,Name: Hodgison Wood Products,Name: Hodgison Wood Products,Employee's:,Plant:,Hardwood Sawmill,
Address:,19048 Benhams Rd.,19048 Benhams Rd.,1 - 3,Products: Rough Green Lumber,Products: Rough Green Lumber,
"Bristol, Va",24201,,,,,
Phone:540-669-3274,Phone:540-669-3274,Fax:,,Species:,"Mixed Hardwoods, Yellow Pine",
Contact: Hodgson Brothers,Contact: Hodgson Brothers,Contact: Hodgson Brothers,,,,
Name: Mountain Forest Products,Name: Mountain Forest Products,Name: Mountain Forest Products,Employee's:,Plant:,Other Wood Products- Sawmill,
Address:,POB 5100,,50 - 99,Products: Rough Green Lumber,Products: Rough Green Lumber,Other Wood
Abingdon,Va 24266,,,,"Products, Dressed lumber",
Phone:540-889-6091,Phone:540-889-6091,Fax: 540-889-6153,,Species:,"Yellow Poplar , Soft Maple,",
Contact: Randy Toms,Contact: Randy Toms,,,,Hard Maple,
Name: Triplett Lumber Co.,Name: Triplett Lumber Co.,Name: Triplett Lumber Co.,Employee's:,Plant:,Hardwood Sawmill,
Address:,POB 427,,,Products: Rough Green Lumber,Products: Rough Green Lumber,
"Damascus, Va 24236","Damascus, Va 24236",,,,,
Phone:540-475-5656,Phone:540-475-5656,Fax:,,Species:,Mixed Hardwoods,
Contact: Dockie Triplett,Contact: Dockie Triplett,Contact: Dockie Triplett,,,,
Westmoreland,Westmoreland,Westmoreland,,,,
Name:F. E. Jones and Sons Lumber Co.,Name:F. E. Jones and Sons Lumber Co.,Name:F. E. Jones and Sons Lumber Co.,Employee's:,Plant:,Hardwood Sawmill,
Address:,Route 1 General Delivery,Route 1 General Delivery,10 - 19,Products: Rough Green Lumber,Products: Rough Green Lumber,
"Zacata , Va",22581,,,,,
Phone:*804-493-9693 Fax:,Phone:*804-493-9693 Fax:,Phone:*804-493-9693 Fax:,,Species:,"Red Oak, Hard Maple,",
Contact: F. E. Jones,Contact: F. E. Jones,,,,Sweetgum,
,,,,,,43
