Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”,Name: “Table 1 of 1 on page 26 of 35”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,,,,,,,
"Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.",,,,,,,,
,,,,,,,,Area,,,,,
,,,Prop,,,,,,,,,Con-,
Seq,,Facility,record,,Year,,,,,,Spec,struc,Facility
no.,,number,number Facility name,number Facility name,built,,Total,Adeq,Inadeq Substd,Inadeq Substd,area,type,category
176,-,53,240020,Shore intermediate maintenance facility,1918,1,"1,984","1,984",0,0,AG,P,200
177,-,56,240021,Shore intermediate maintenance facility,1917,1,"12,500","0 12,500","0 12,500",0,AG,T,200
178,-,59,240023,Electronics spares/misc storage,1918,1,"9,950",0,"9,950",0,AG,P,200
179,-,60,240024,Magnetic/electronic spares storage,1918,1,"9,950",0,"9,950",0,AG,P,200
180,-,61,240025,Electronics spares/misc storage,1918,1,"9,950",0,"9,950",0,AG,P,200
181,-,64,240028,Warehouse,1918,1,"8,745",0,"8,745",0,AG,P,200
182,-,347,240031,Ships services support,1918,2,"15,848","5,136",0,"10,712",AG,S,200
183,-,70,240032,Electronics spares/misc storage,1919,1,"12,000","0 12,000","0 12,000",0,AG,P,200
184,-,71,240033,Electronics spares/misc storage,1918,1,"9,950",0,"9,950",0,AG,P,200
185,-,72,240034,Electronics spares/misc storage,1918,1,"9,950",0,"9,950",0,AG,P,200
