Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”,Name: “Table 1 of 1 on page 27 of 35”
Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26,Table: 26
,,,,,,,,,,,,,
"Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.","Table C1—Buildings at NAVSTA Norfolk by facility category, 2000—con.",,,,,,,,
,,,,,,,,Area,,,,,
,,,,,,,,,,,,,Fac-
,,,Prop,,,,,,,,,Con-,ility
Seq,,Facility,record,,Year,,,,,,Spec,struc,cate-
no.,,number,number,Facility name,built,,Total,Adeq,Inadeq,Substd,area,type,gory
223,-,43,240194,Ship services support,1912,1,"4,877","4,877",0,0,AG,S,200
224,-,51,240195,Ships/spares storage (misc),1918,2,"10,120","10,120",0,0,AG,T,200
225,-,201,240196,Shore intermediate maintenance facility,1942,1,"15,146","15,146",0,0,AG,P,200
226,-,194,240203,Ships spares storage (misc),1942,1,"1,580",0,"1,580",0,AG,S,200
227,-,130,240204,SIMA,1919,1,"5,746",0,"5,746",0,AG,S,200
228,-,278,240208,Shore intermediate maintenance facility,1954,1,"5,820","5,820",0,0,AG,S,200
229,-,279,240209,Shore intermediate maintenance facility,1954,1,"5,820","5,820",0,0,AG,S,200
230,-,272,240211,Ships/spares storage (misc),1953,1,"1,920",0,"1,920",0,AG,S,200
231,-,273,240212,Ships services support,1953,1,81,81,0,0,AG,P,200
232,-,274,240213,Paint locker,1953,1,81,81,0,0,AG,P,200
233,-,55,240226,Shore intermediate maintenance facility,1917,1,"12,500",0,"12,500",0,AG,T,200
234,-,356,240262,Shore intermediate maintenance facility,1968,1,"1,080",0,"1,080",0,AG,S,200
235,-,1458,240300,Ground house,1972,1,132,132,0,0,AG,P,200
236,-,1456,240301,Ground building,1972,1,38,38,0,0,AG,P,200
237,-,500,240325,Waterfront service support,1988,1,970,970,0,0,AG,P,200
238,-,501,240326,Waterfront service support,1989,1,970,970,0,0,AG,P,200
239,-,502,240327,Waterfront service support,1989,1,970,970,0,0,AG,P,200
240,-,503,240328,Waterfront service support,1989,1,970,970,0,0,AG,P,200
241,-,504,240329,Ocean construction,1989,1,970,970,0,0,AG,P,200
242,-,247,240334,Waterfront service support,1989,1,"4,492","4,492",0,0,AG,P,200
243,-,248,240335,Shore intermediate maintenance facility,1989,1,"4,858",0,"4,858",0,AG,P,200
244,-,RDYSTR1 280002,RDYSTR1 280002,Maintenance ships ready storage,1987,0,"101,966","101,966",0,0,DH,P,200
