Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”
Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16,Table: 16
,,,,,,,,
"Table 6—Wood used in NAVSTA Norfolk buildings by facility category and application, 2000","Table 6—Wood used in NAVSTA Norfolk buildings by facility category and application, 2000","Table 6—Wood used in NAVSTA Norfolk buildings by facility category and application, 2000","Table 6—Wood used in NAVSTA Norfolk buildings by facility category and application, 2000","Table 6—Wood used in NAVSTA Norfolk buildings by facility category and application, 2000","Table 6—Wood used in NAVSTA Norfolk buildings by facility category and application, 2000","Table 6—Wood used in NAVSTA Norfolk buildings by facility category and application, 2000",,
,,Lumber (board feet),Lumber (board feet),,"Structural panels (ft 2, 3/8 in. basis)","Structural panels (ft 2, 3/8 in. basis)","Structural panels (ft 2, 3/8 in. basis)",
,,,,,Softwood,,,"Fiberboard (ft 2,"
Facility category and wood usea,Facility category and wood usea,Framing,Sheathing,Total,plywood,OSB,Total,3/8 in. basis)
Operations,,,,,,,,
Wood use (×10 3),Wood use (×10 3),,,,,,,
Floors,,154.8,69.8,224.6,3.8,0.1,3.9,0
Exterior walls,Exterior walls,33.0,9.7,42.7,11.8,2.3,14.0,26.6
Interior walls,Interior walls,18.0,0.8,18.9,0.4,0,0.4,0
Roofs,,306.3,917.7,"1,224.0",95.1,4.7,99.9,0
Total,,512.2,998.0,"1,510.2",111.1,7.1,118.2,26.6
Use per ft2,floor area,0.242,0.471,0.712,0.052,0.003,0.056,0.013
Use per building ( ×10 3),Use per building ( ×10 3),5.34,10.40,15.73,1.16,0.07,1.23,0.28
Maintenance,Maintenance,,,,,,,
Wood use (×10 3),Wood use (×10 3),,,,,,,
Floors,,201.8,76.1,277.8,33.8,0,33.8,0
Exterior walls,Exterior walls,19.9,2.0,22.0,0.4,0,0.4,0.8
Interior walls,Interior walls,32.6,15.1,47.7,7.6,0,7.6,0
Roofs,,183.0,"1,862.8","2,045.8",2.5,0.8,3.4,0
Total,,437.3,"1,956.0","2,393.3",44.3,0.8,45.1,0.8
Use per ft2,floor area,0.165,0.739,0.904,0.017,0,0.017,0
Use per building ( ×10 3),Use per building ( ×10 3),2.90,12.95,15.85,0.29,0.01,0.30,0.01
Supply,,,,,,,,
Wood use (×10 3),Wood use (×10 3),,,,,,,
Floors,,0,0,0,0,0,0,0
Exterior walls,Exterior walls,103.2,107.1,210.3,3.3,0,3.3,6.7
Interior walls,Interior walls,24.5,8.1,32.6,4.0,0,4.0,0
Roofs,,"1,428.6",622.5,"2,051.1",96.7,0,96.7,0
Total,,"1,556.2",737.7,"2,293.9",104.0,0,104.0,6.7
Use per ft2,floor area,0.217,0.103,0.320,0.015,0,0.015,0.001
Use per building ( ×10 3),Use per building ( ×10 3),15.72,7.45,23.17,1.05,0,1.05,0.07
Administrative,Administrative,,,,,,,
Wood use (×10 3),Wood use (×10 3),,,,,,,
Floors,,441.6,208.6,650.2,0,0,0,0
Exterior walls,Exterior walls,57.4,45.7,103.2,8.0,0,8.0,16.0
Interior walls,Interior walls,44.9,0,44.9,0,0,0,0
Roofs,,548.4,351.2,899.6,0,0,0,0
Total,,"1,092.3",605.6,"1,697.8",8.0,0,8.0,16.0
Use per ft2,floor area,0.736,0.408,1.144,0.005,0,0.005,0.011
Use per building ( ×10 3),Use per building ( ×10 3),21.01,11.65,32.65,0.15,0,0.15,0.31
Housing,,,,,,,,
Wood use (×10 3),Wood use (×10 3),,,,,,,
Floors,,323.9,150.7,474.6,3.0,0,3.1,0
Exterior walls,Exterior walls,111.5,86.6,198.1,17.1,0.2,17.3,32.4
Interior walls,Interior walls,72.4,0.5,72.9,0.3,0,0.3,0
Roofs,,"1,920.4","1,068.6","2,989.0",60.0,3.4,63.4,0
Total,,"2,428.2","1,306.5","3,734.6",80.4,3.7,84.1,32.4
Use per ft2,floor area,0.730,0.393,1.122,0.024,0.001,0.025,0.010
Use per building ( ×10 3),Use per building ( ×10 3),14.63,7.87,22.50,0.48,0.02,0.51,0.19
Utilities,,,,,,,,
Wood use (×10 3),Wood use (×10 3),,,,,,,
Floors,,0,0,0,0,0,0,0
Exterior walls,Exterior walls,1.1,0,1.2,0.8,0.3,1.2,0.5
Interior walls,Interior walls,0,0,0,0,0,0,0
Roofs,,3.3,0,3.3,1.5,0.5,2.0,0
Total,,4.5,0,4.5,2.3,0.8,3.1,0.5
Use per ft2,floor area,0.045,0,0.046,0.023,0.008,0.032,0.005
Use per building ( ×10 3),Use per building ( ×10 3),0.14,0,0.15,0.07,0.03,0.10,0.02
"Total, all facilities","Total, all facilities",,,,,,,
Wood use (×10 3),Wood use (×10 3),,,,,,,
Floors,,"1,122.0",505.2,"1,627.2",40.6,0.2,40.8,0
Exterior walls,Exterior walls,326.2,251.2,577.4,41.4,2.8,44.2,83.0
Interior walls,Interior walls,192.4,24.5,216.9,12.3,0,12.3,0
Roofs,,"4,390.0","4,822.8","9,212.8",255.8,9.5,265.3,0
Total,,"6,030.6","5,603.8","11,634.4",350.1,12.5,362.6,83.0
Use per ft2,floor area,0.349,0.324,0.673,0.020,0.001,0.021,0.005
Use per building ( ×10 3),Use per building ( ×10 3),10.00,9.29,19.29,0.58,0.02,0.60,0.14
aNo wood was used in R&D and Hospital buildings.,aNo wood was used in R&D and Hospital buildings.,aNo wood was used in R&D and Hospital buildings.,,,,,,
,,,,,,,,13
