Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,,
"Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000","Table 5—Number and floor area of NAVSTA Norfolk buildings by facility category and construction date, 2000",
,,,,,,Buildings constructed and floor area by decade,Buildings constructed and floor area by decade,Buildings constructed and floor area by decade,Buildings constructed and floor area by decade,Buildings constructed and floor area by decade,,
Facility category and building typea,Facility category and building typea,Facility category and building typea,"
    ",1910s,1920s,1930s,1940s,1950s,1960s,1970s,1980s,1990+
Operations,,,,,,,,,,,,
All buildings (no.),,,4,0,1,1,32,15,6,11,22,4
Total floor area (×103,ft 2),,20.3,0,23.2,2.0,671.8,220.6,156.6,225.7,694.7,105.3
Average floor area (×103,Average floor area (×103,ft 2),5.1,0,23.2,2.0,21.0,14.7,26.1,20.5,31.6,26.3
Wood buildings (no.),,,4,0,1,0,17,2,0,0,1,0
Total floor area (×103,ft 2),,20.3,0,23.2,0,506.2,7.3,0,0,7.5,0
Average floor area (×103,Average floor area (×103,ft 2),5.1,0,23.2,0,29.8,3.7,0,0,7.5,0
Maintenance,,,,,,,,,,,,
All buildings (no.),,,6,36,1,4,55,10,9,7,16,7
Total floor area (×103,ft 2),,34.6,303.8,0.4,7.1,966.5,329.6,144.6,134.3,443.4,283.6
Average floor area (×103,Average floor area (×103,ft 2),5.8,8.4,0.4,1.8,17.6,33.0,16.1,19.2,27.7,40.5
Wood buildings (no.),,,0,5,0,0,39,0,5,0,2,0
Total floor area (×103,ft 2),,0,46.9,0,0,891.5,0,36.3,0,213.4,0
