Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”,Name: “Table 1 of 1 on page 19 of 35”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,,,
"Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000","Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000","Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000","Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000","Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000","Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000","Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000","Table 7—Adequacy of wood buildings compared to nonwood buildings, 2000",,,,,
,,,,,Floor area by adequacy measure,Floor area by adequacy measure,Floor area by adequacy measure,Floor area by adequacy measure,Floor area by adequacy measure,,,
,,,Adequate,Adequate,Inadequate,Inadequate,Inadequate,Substandard,Substandard,Substandard,,
,,,,Within,,,Within,,,Within,Total,Total
,,Floor,Floor,construc-,Floor,Floor,construc-,Floor,Floor,construc-,floor,floor
,,area,area,tion type,area,area,tion type,area,area,tion type,area,area
Facility category and building typea,Facility category and building typea,(×103,ft 2),(%),(×103,ft 2),(%),(×103,ft 2),(%),(×103,ft 2)
Operations,Operations,,,,,,,,,,,
,Wood buildings,256.0,256.0,45,40.6,40.6,7,267.9,267.9,47,564.6,564.6
,Nonwood buildings,"1,266.6","1,266.6",81,140.1,140.1,9,149.0,149.0,10,"1,555.7","1,555.7"
,"Total, all buildings","1,522.6","1,522.6",72,180.7,180.7,9,417.0,417.0,20,"2,120.3","2,120.3"
Maintenance,Maintenance,,,,,,,,,,,
,Wood buildings,299.6,299.6,25,692.0,692.0,58,196.6,196.6,17,"1,188.1","1,188.1"
,Nonwood buildings,"1,320.4","1,320.4",90,105.4,105.4,7,34.0,34.0,2,"1,459.9","1,459.9"
,"Total, all buildings","1,620.0","1,620.0",61,797.4,797.4,30,230.5,230.5,9,"2,648.0","2,648.0"
R&D,R&D,,,,,,,,,,,
,Wood buildings,,0,0,,0,0,,0,0,,0
,Nonwood buildings,202.5,202.5,69,,2.8,1,89.4,89.4,30,294.7,294.7
,"Total, all buildings",202.5,202.5,69,,2.8,1,89.4,89.4,30,294.7,294.7
Supply,Supply,,,,,,,,,,,
,Wood buildings,220.5,220.5,54,187.9,187.9,46,,0,0,408.5,408.5
,Nonwood buildings,"5,755.7","5,755.7",85,194.0,194.0,3,813.3,813.3,12,"6,763.1","6,763.1"
,"Total, all buildings","5,976.3","5,976.3",83,381.9,381.9,5,813.3,813.3,11,"7,171.6","7,171.6"
Hospital,Hospital,,,,,,,,,,,
,Wood buildings,,0,0,,0,0,,0,0,,0
,Nonwood buildings,148.4,148.4,100,,0,0,,0,0,148.4,148.4
,"Total, all buildings",148.4,148.4,100,,0,0,,0,0,148.4,148.4
Administrative,Administrative,,,,,,,,,,,
,Wood buildings,214.2,214.2,33,242.5,242.5,37,191.7,191.7,30,648.4,648.4
,Nonwood buildings,680.4,680.4,81,148.8,148.8,18,,6.8,1,836.0,836.0
,"Total, all buildings",894.6,894.6,60,391.2,391.2,26,198.5,198.5,13,"1,484.4","1,484.4"
Housing,Housing,,,,,,,,,,,
,Wood buildings,754.1,754.1,59,229.8,229.8,18,288.8,288.8,23,"1,272.6","1,272.6"
,Nonwood buildings,"1,485.3","1,485.3",72,51.4,51.4,3,518.2,518.2,25,"2,054.9","2,054.9"
,"Total, all buildings","2,239.4","2,239.4",67,281.1,281.1,8,807.0,807.0,24,"3,327.5","3,327.5"
Utilities,Utilities,,,,,,,,,,,
,Wood buildings,,0.7,100,,0,0,,0,0,,0.7
,Nonwood buildings,,3.6,4,94.4,94.4,96,,0.1,0,,3.6
,"Total, all buildings",,4.3,4,94.4,94.4,96,,0.1,0,,4.3
"Total, all facilities","Total, all facilities",,,,,,,,,,,
,Wood buildings,"1,745.1","1,745.1",43,"1,392.8","1,392.8",34,945.0,945.0,23,4.082.9,4.082.9
,Nonwood buildings,"10,862.9","10,862.9",82,736.9,736.9,6,"1,610.9","1,610.9",12,"13,210.7","13,210.7"
,"Total, all buildings","12,608.1","12,608.1",73,"2,129.6","2,129.6",12,"2,555.9","2,555.9",15,"17,293.6","17,293.6"
a,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,Wood buildings include any buildings with structural wood products in one or more structural building applications.,,
,,,,,,,,,,,,15
