Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”,Name: “Table 1 of 1 on page 8 of 35”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,,,,,,,,,
"Table 1—Buildings at NAVSTA Norfolk, Dec. 31, 2000","Table 1—Buildings at NAVSTA Norfolk, Dec. 31, 2000","Table 1—Buildings at NAVSTA Norfolk, Dec. 31, 2000","Table 1—Buildings at NAVSTA Norfolk, Dec. 31, 2000","Table 1—Buildings at NAVSTA Norfolk, Dec. 31, 2000","Table 1—Buildings at NAVSTA Norfolk, Dec. 31, 2000","Table 1—Buildings at NAVSTA Norfolk, Dec. 31, 2000",,Table 2—Facility categories of buildings at NAVSTA,Table 2—Facility categories of buildings at NAVSTA,Table 2—Facility categories of buildings at NAVSTA,Table 2—Facility categories of buildings at NAVSTA,Table 2—Facility categories of buildings at NAVSTA,Table 2—Facility categories of buildings at NAVSTA
,,,,,,,,Norfolk,,,,,
,,,Floor area,Floor area,Floor area,,,,,,,,
,Buildings,Total,Total,,Average,Average,Average,Code,Description,Description,,,Abbreviation
Building type,(no.),(×10,ft,),(×10,ft,),100,Operational & training,Operational & training,Operational & training,,Operations
Wood,204,4.1,4.1,,20.0,20.0,,200,Maintenance & production,Maintenance & production,Maintenance & production,Maintenance & production,Maintenance
Nonwood,399,13.2,13.2,,33.1,33.1,,300,"Research, development, & testing","Research, development, & testing","Research, development, & testing","Research, development, & testing",R&D
"Total, all buildings",603,17.3,17.3,,28.7,28.7,,400,Supply,,,,Supply
,,,,,,,,500,Hospital & medical,Hospital & medical,Hospital & medical,,Hospital
,,,,,,,,600,Administrative,Administrative,,,Administrative
,,,,,,,,700,Housing & community,Housing & community,Housing & community,,Housing
,,,,,,,,800,Utilities & ground improvements,Utilities & ground improvements,Utilities & ground improvements,Utilities & ground improvements,Utilities
"Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000","Table 3—Number and floor area of NAVSTA Norfolk buildings by facility category, 2000",,,
,,,,,Buildings,Buildings,Buildings,,,,Floor area,Floor area,
,,,,,Percentage of,Percentage of,Percentage of,Percentage of,Total,Total,Percentage of,Percentage of,Average
Facility category and building typea,Facility category and building typea,(no.),(no.),(no.),Category,Category,,All facilities,(×103,ft2 ),Category,All facilities,(ft 2 )
Operations,,,,,,,,,,,,,
Wood buildings,,25,25,,26,,,12,565,565,27,14,"22,600"
Nonwood buildings,,71,71,,74,,,18,"1,556","1,556",73,12,"21,900"
