Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”,Name: “Table 1 of 1 on page 5 of 20”
Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5,Table: 5
,,,,,,,,,,,,,,,,,,,,,,,,
FIA Statistical & Analysis Methods,FIA Statistical & Analysis Methods,FIA Statistical & Analysis Methods,FIA Statistical & Analysis Methods,,,,,,,,,,,,,,,,,,,,Page 5 of 20.,Page 5 of 20.
Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),Table A3.1 Gross cubic-foot volume (continued),,,,,,,,,,,
RMRS,Western MT,Western MT,,,,,,,,,,,,, , b15, b15,,,    ,,x 1 = dbh,x 1 = dbh,"Moisen,"
,(SPP=PP),(SPP=PP),VOLCFGRS,VOLCFGRS,VOLCFGRS,VOLCFGRS,=,,V1,,−,,V1  b13  ,V1  b13  ,V1  b13  ,,,x1,16,  ,,,,unpublished
,,,,,,,,,,,,,,,  b14 ,  b14 ,,,,   ,,x 2 = ht,x 2 = ht,
,Montana,Montana,,,,,,,,,,,,,,,,,,,,,,
,,,where V,where V,where V,=,,,x,b11 ,b11 ,b11 ,x b212,,,,,,,,,,,
,"(SPP=DF,","(SPP=DF,",,,,1,b10 ,b10 ,1,,,,,,,,,,,,,,,
,"GF,",,,,,,,,,,,,,,,,,,,,,,,
,"LP,WL,WP)","LP,WL,WP)",,,,,,,,,,,,,,,,,,,,,,
RMRS,ID (All,ID (All,IF (x 12,IF (x 12,x 2,"
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ","
    ",x 1 = dbh,x 1 = dbh,"Kemp, 1957"
,species,species,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,x,= ht,
,,,,,,,,,,,,,,,,,,,,,,2,2,
,,,IF (x,2,x,≥ b,),,VOLCFGRS =,VOLCFGRS =,VOLCFGRS =,VOLCFGRS =,VOLCFGRS =,VOLCFGRS =,VOLCFGRS =,VOLCFGRS =,VOLCFGRS =,,+,2,2,,,
,except,except,1,,2,,17,,,,,,,,,,,( b 20,,b 21x1,x 2 ),,,
,woodland,woodland,,,,,,,,,,,,,,,,,,,,,,
,species),species),,,,,,,,,,,,,,,,,,,,,,
,MT,(All,,,,,,,,,,,,,,,,,,,,,,
,species,species,,,,,,,,,,,,,,,,,,,,,,
,except,except,,,,,,,,,,,,,,,,,,,,,,
,"DF, GF, LP,","DF, GF, LP,",,,,,,,,,,,,,,,,,,,,,,
,"PP, WL,","PP, WL,",,,,,,,,,,,,,,,,,,,,,,
,WP &,WP &,,,,,,,,,,,,,,,,,,,,,,
,woodland,woodland,,,,,,,,,,,,,,,,,,,,,,
,species),species),,,,,,,,,,,,,,,,,,,,,,
,"AZ, NM","AZ, NM",,,,,,,,,,,,,,,,,,,,,,
,(Cottonwood),(Cottonwood),,,,,,,,,,,,,,,,,,,,,,
RMRS,"AZ, NM","AZ, NM",VOLCFGRS = V t,VOLCFGRS = V t,VOLCFGRS = V t,VOLCFGRS = V t,VOLCFGRS = V t,VOLCFGRS = V t,VOLCFGRS = V t,VOLCFGRS = V t,– V u,– V u,– V u,,,,,,,,,x 1 = dbh,x 1 = dbh,Hann and
,(All species,(All species,where:,where:,where:,V t,V t,= ( b 26 + b 27 x12 x 2 ),= ( b 26 + b 27 x12 x 2 ),= ( b 26 + b 27 x12 x 2 ),= ( b 26 + b 27 x12 x 2 ),= ( b 26 + b 27 x12 x 2 ),= ( b 26 + b 27 x12 x 2 ),= ( b 26 + b 27 x12 x 2 ),= ( b 26 + b 27 x12 x 2 ),,,,,,,x 2 = ht,x 2 = ht,"Bare, 1978"
,except,except,,,,,,,,,,,,,,,,,,,,,,with
,,,,,,,,,,,,,,,,,,,,,,x 3 = 4;,x 3 = 4;,
,,,,,,V,,=,=,,,+,,,"3
x 3",x 2 ,+,,2,,,,,modification
,woodland,woodland,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,u,,,b,,,b,,,,b,x,,,,,,
,,,,,,,,,,22,22,22,23 ,23 ,b 24,,,25,1,,,top,top,
,,,,,,,,,,,,,,,,,,,,,,,,
,species and,species and,,,,,,,,,,,,x 1,x 1,,,,,,,diameter,diameter,for ES &
,Cottonwood),Cottonwood),,,,,,,,,,,,,,,,,,,,,,DF
RMRS,All woodland,All woodland,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,VOLCFGRS = various model forms,,,,,"Chojnacky,"
,species,species,,,,,,,,,,,,,,,,,,,,,,"1988, 1986,"
,,,,,,,,,,,,,,,,,,,,,,,,"1988, 1985,"
,,,,,,,,,,,,,,,,,,,,,,,,& 1994
,,,,,,,,,,,,,,,,,,,,,,,,Pillsbury &
,,,,,,,,,,,,,,,,,,,,,,,,"Kirkley,"
