Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”,Name: “Table 1 of 1 on page 25 of 88”
Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25,Table: 25
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,Collabora-,Collabora-,,
,,,,,,,,,tion with,,
,State,,Increased,Continued,Moderate,Significant,Federal,tive,Other,,
,Resources,Increase,,Federal,,,Funding,Leadership,,State,Federal
,,,or New,,Increase,Increase,,,State and,,
,,in State,,,,,,from USDA-,,Legislative,Legislative
Objective,in Place,,,Funding at,,,for a,,,,
,,,Local,,in Federal,in Federal,,,Local,,
,and,,,Current,,,New,FS or Other,,,
,,Funding,,,,,,,,Action,Action
,,,Funding,,Funds,Funds,,,Govern-,,
,,,,,,,,Federal,,,
,Adequate,,,Levels,,,Initiative,,ments/,,
,,,,,,,,Agency,,,
,,,,,,,,,Agencies,,
4.3 – Manage the state forestlands,,***,,,***,,,,***,***,
"on a sustainable basis for research,",,,,,,,,,,,
"demonstration, education and",,,,,,,,,,,
multiple-use benefits.,,,,,,,,,,,
"4.4 – Promote a larger, connected",,***,***,,,***,,***,***,***,
forest landscape.,,,,,,,,,,,
5.1 – Promote diversification of,,***,,***,,,,,***,,
forest markets and a healthy forest,,,,,,,,,,,
industry.,,,,,,,,,,,
5.2 - Increase awareness of,,***,,,,***,***,***,***,***,
ecosystem services provided by,,,,,,,,,,,
forestland and urban forest tree,,,,,,,,,,,
canopy.,,,,,,,,,,,
5.3 – Manage the nurseries to,,***,,,***,,,***,***,,
provide the best quality seedling,,,,,,,,,,,
types demanded by the customer.,,,,,,,,,,,
5.4 – Improve the efficiency of,,***,,***,,,,,,,
VDOF seedling nursery production.,,,,,,,,,,,
5.5 – Promote stakeholder,,***,***,,,***,***,***,***,***,***
cooperation in growing Virginia's,,,,,,,,,,,
green energy sector.,,,,,,,,,,,
5.6 – Facilitate opportunities for,,,,,,,***,***,***,***,
forest certification among private,,,,,,,,,,,
forest landowners.,,,,,,,,,,,
,,,,,,,,,,,
