Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”,Name: “Table 1 of 1 on page 24 of 88”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,Collabora-,Collabora-,,
,,,,,,,,,tion with,,
,State,,Increased,Continued,Moderate,Significant,Federal,tive,Other,,
,Resources,Increase,,Federal,,,Funding,Leadership,,State,Federal
,,,or New,,Increase,Increase,,,State and,,
,,in State,,,,,,from USDA-,,Legislative,Legislative
Objective,in Place,,,Funding at,,,for a,,,,
,,,Local,,in Federal,in Federal,,,Local,,
,and,,,Current,,,New,FS or Other,,,
,,Funding,,,,,,,,Action,Action
,,,Funding,,Funds,Funds,,,Govern-,,
,,,,,,,,Federal,,,
,Adequate,,,Levels,,,Initiative,,ments/,,
,,,,,,,,Agency,,,
,,,,,,,,,Agencies,,
3.1 – We will increase the number,,***,,,***,,,***,***,,
of forest management projects,,,,,,,,,,,
implemented on private land and,,,,,,,,,,,
promote cost-share funding for all,,,,,,,,,,,
appropriate projects.,,,,,,,,,,,
3.2 – Increase urban forest,,***,***,,***,,,***,***,,
management in Virginia,,,,,,,,,,,
"communities, particularly state and",,,,,,,,,,,
local capacity to address urban,,,,,,,,,,,
forestry issues and concerns.,,,,,,,,,,,
3.3 – Increase the amount of forest,,***,,,***,,,***,***,,
management assistance on private,,,,,,,,,,,
lands in the Commonwealth.,,,,,,,,,,,
3.4 – Implement actions to protect,,***,,,,***,***,***,***,***,
Virginia's forest resource from,,,,,,,,,,,
species loss and from the impacts of,,,,,,,,,,,
detrimental native and invasive,,,,,,,,,,,
plants and pests.,,,,,,,,,,,
4.1 – Increase the number of acres,,***,***,,,***,***,***,***,***,***
of forestland protected from,,,,,,,,,,,
conversion.,,,,,,,,,,,
4.2 – Increase awareness of the,,***,***,,***,,,,***,***,
importance of and need for,,,,,,,,,,,
forestland conservation among,,,,,,,,,,,
landowners and local governments.,,,,,,,,,,,
,,,,,,,,,,,
