Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”,Name: “Table 1 of 1 on page 10 of 12”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,
"Pine Silviculture, continued","Pine Silviculture, continued","Pine Silviculture, continued","Pine Silviculture, continued","Pine Silviculture, continued","Pine Silviculture, continued"
Table 3. Percent of loblolly pine terminals with,Table 3. Percent of loblolly pine terminals with,Table 3. Percent of loblolly pine terminals with,Table 3. Percent of loblolly pine terminals with,,
tipmoth damage in 2008 and 2009.,tipmoth damage in 2008 and 2009.,tipmoth damage in 2008 and 2009.,tipmoth damage in 2008 and 2009.,,
,,Treatment,,,
Date,,,,# Signif. 1,
,Untreated,SilvaShield,PTM,,
June 2008,1.7%,0.1%,0.9%,1,
Aug. 2008,6.7%,0.1%,0.1%,4,
Oct. 2008,21.2%,0.9%,2.3%,4,
June 2009,24.7%,3.7%,5.3%,7,
Aug. 2009,29.3%,2.5%,5.0%,7,
Oct. 2009,30.0%,7.3%,9.8%,6,
Table 4. Survival of loblolly pine in the during the,Table 4. Survival of loblolly pine in the during the,Table 4. Survival of loblolly pine in the during the,Table 4. Survival of loblolly pine in the during the,,
2008 and 2009 growing seasons.,2008 and 2009 growing seasons.,2008 and 2009 growing seasons.,,,
Date,,Treatment,,# Signif. 1,Figure 7. Average percent of loblolly shoots damaged
,Untreated,SilvaShield,PTM,,by tipmoth at each assessment.
June 2008,83.5%,87.6%,91.0%,3,
Aug. 2008,77.7%,85.8%,88.7%,3,
Oct. 2008,73.8%,85.8%,87.0%,3,
June 2009,74.5%,85.4%,87.4%,3,
Aug. 2009,74.4%,85.8%,87.1%,2,
Oct. 2009,74.2%,86.0%,87.3%,2,
"Table 5. Height, diameter and volume of loblolly","Table 5. Height, diameter and volume of loblolly","Table 5. Height, diameter and volume of loblolly","Table 5. Height, diameter and volume of loblolly",,
pine after the 2008 and 2009 growing seasons.,pine after the 2008 and 2009 growing seasons.,pine after the 2008 and 2009 growing seasons.,pine after the 2008 and 2009 growing seasons.,,
Height,,Treatment,,,
,,,,# Signif. 1,
Date,Untreated,SilvaShield,PTM,,
2008,1.3,1.3,1.4,2,
2009,3.3,3.9,3.7,1,
GLD,,Treatment,,,
,,,,# Signif. 1,
Date,Untreated,SilvaShield,PTM,,
2008,0.35,0.35,0.38,3,Figure 8. Average volume index (cubic inches per
2009,0.75,0.87,0.82,1,acre) of loblolly pine on plots of the 2008 tipmoth
Volume,,,,,study.
,,Treatment,,,
Index,,,,,
,,,,1# Signif.,
Date,Untreated,SilvaShield,PTM,,
2008,5,7,8,3,
2009,75,145,110,2,
,,,,1,Number of sites where ANOVA showed a significant effect of treatment
,,,,on percent of damaged shoots at the 0.05 level.,on percent of damaged shoots at the 0.05 level.
10,,,,,
