Name: “Table 1 of 1 on page 30 of 35”,Name: “Table 1 of 1 on page 30 of 35”,Name: “Table 1 of 1 on page 30 of 35”,Name: “Table 1 of 1 on page 30 of 35”,Name: “Table 1 of 1 on page 30 of 35”
Table: 30,Table: 30,Table: 30,Table: 30,Table: 30
,,,,
S UMMARY OF FINDINGS,S UMMARY OF FINDINGS,S UMMARY OF FINDINGS,S UMMARY OF FINDINGS,
•,Street Tree Composition,Street Tree Composition,,
,,Freq. in Top-5 of,Med. Relative,Max. Relative
,N = 22,Relative Importance,Import. (%),Import. (%)
,Acer,,,33.5
,,21,16.3,
,,,,Winchester
,Quercus,,,30.2
,,13,9.8,Richmond
,Pinus,,,28.7
,,11,9.4,Emporia
,Cornus,,,8.1
,,7,5.6,
,,,,Martinsville
,Fraxinus,,,10.4
,,2,7.6,Abingdon
