Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”,Name: “Table 1 of 1 on page 17 of 35”
Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17,Table: 17
,,,,,,
P ROJECT M ETHODS,P ROJECT M ETHODS,P ROJECT M ETHODS,P ROJECT M ETHODS,P ROJECT M ETHODS,,
•,Zonation of state and identification of prospect localities,Zonation of state and identification of prospect localities,Zonation of state and identification of prospect localities,Zonation of state and identification of prospect localities,Zonation of state and identification of prospect localities,Zonation of state and identification of prospect localities
,Zone,Complete,Sample,,,
,1,1,,2,,
,2,1,,2,,
,3,1,,2,,
,4,4,,3,,
,5,1,,2,,
,6,0,,2,4,
,7,1,,1,3,
,8,0,,2,,
,Total,9,,16,5,8
,,,,2,,
,,,,1,6,
,,,,,,7
