Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”,Name: “Table 1 of 1 on page 12 of 35”
Table: 12,Table: 12,Table: 12,Table: 12
,,,
P ROJECT BACKGROUND,P ROJECT BACKGROUND,P ROJECT BACKGROUND,
•,Native ash abundance was variable and uncertain,Native ash abundance was variable and uncertain,Native ash abundance was variable and uncertain
,Locality,% Fraxinus as Street Trees,Source
,34 SD localities,36,Ball et al. 2007
,"Minneapolis, MN",21,Minn. Parks & Rec.
,"Gastonia, NC",19,Raupp et al. 2006
,"Florence, KY",13,Raupp et al. 2006
,"Lincolnshire, IL",13,Raupp et al. 2006
,"Chicago, IL",12,Raupp et al. 2006
,"Kansas City, MO",10,Raupp et al. 2006
,"Toledo, OH",9,Raupp et al. 2006
,"Marion, IN",5,Raupp et al. 2006
,"New York, NY",4,Raupp et al. 2006
