Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”,Name: “Table 1 of 1 on page 46 of 164”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,,,,,
Species Importance,Species Importance,Species Importance,,,,,,,,,
(B) Oak-hickory forest-type group,(B) Oak-hickory forest-type group,(B) Oak-hickory forest-type group,(B) Oak-hickory forest-type group,,,,,,,,
1. Coastal Plain survey unit,1. Coastal Plain survey unit,1. Coastal Plain survey unit,,,,2. Southern Piedmont survey unit,2. Southern Piedmont survey unit,2. Southern Piedmont survey unit,2. Southern Piedmont survey unit,,
Yellow-,,,,,,Yellow-,,,,,
poplar,,,,,,poplar,,,,,
White,,,,,,White,,,,,
oak,,,,,,oak,,,,,
Sweetgum,,,,,,Red,,,,,
,,,,,,maple,,,,,
Red,,,,,,Chestnut,,,,,
maple,,,,,,oak,,,,,
Americanbeech,,,,,,Sweetgum,,,,,
Loblolly,,,,,,Mockernut,,,,,
pine,,,,,,hickory,,,,,
0,20,40,60,80,100,0,20,40,60,80,100
,,Volume (percent),Volume (percent),,,,,Volume (percent),Volume (percent),,
3. Northern Piedmont survey unit,3. Northern Piedmont survey unit,3. Northern Piedmont survey unit,3. Northern Piedmont survey unit,,,4. Northern Mountains survey unit,4. Northern Mountains survey unit,4. Northern Mountains survey unit,4. Northern Mountains survey unit,,
Yellow-,,,,,,Chestnut,,,,,
poplar,,,,,,oak,,,,,
White,,,,,,Northern,,,,,
oak,,,,,,red oak,,,,,
Chestnut,,,,,s,White,,,,,
oak,,,,,ie,oak,,,,,
,,,,,c,,,,,,
Northern,,,,,p,Yellow-,,,,,
red oak,,,,,S,poplar,,,,,
Red,,,,,,Scarlet,,,,,
maple,,,,,,oak,,,,,
Pignut,,,,,,Black,,,,,
hickory,,,,,,oak,,,,,
0,20,40,60,80,100,0,20,40,60,80,100
,,Volume (percent),Volume (percent),,,,,Volume (percent),Volume (percent),,
5. Southern Mountains survey unit,5. Southern Mountains survey unit,5. Southern Mountains survey unit,5. Southern Mountains survey unit,,,6. State,,,,,
Yellow-,,,,,,Yellow-,,,,,
poplar,,,,,,poplar,,,,,
Chestnut,,,,,,Chestnut,,,,,
oak,,,,,,oak,,,,,
Northern,,,,,,White,,,,,
red oak,,,,,,oak,,,,,
Red,,,,,,Northern,,,,,
maple,,,,,,red oak,,,,,
White,,,,,,Red,,,,,
oak,,,,,,maple,,,,,
Scarlet,,,,,,Scarlet,,,,,
oak,,,,,,oak,,,,,
0,20,40,60,80,100,0,20,40,60,80,100
,,Volume (percent),Volume (percent),,,,,Volume (percent),Volume (percent),,
"Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory","Figure 26—Species volume composition of (A) loblolly-shortleaf pine forest-type group, (B) oak-hickory"
"forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001","forest-type group, and (C) oak-pine forest-type group on forest land by survey unit, Virginia, 2001",
(continued to next page).,(continued to next page).,(continued to next page).,(continued to next page).,,,,,,,,
26,,,,,,,,,,,
