Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”,Name: “Table 1 of 1 on page 115 of 164”
Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115,Table: 115
,,,,,,,,,,,
Text Tables,,,,,,,,,,,
Table 34—Crown vigor class ratings for,Table 34—Crown vigor class ratings for,Table 34—Crown vigor class ratings for,Table 34—Crown vigor class ratings for,,,"Table 35—Average percent crown dieback, foliage","Table 35—Average percent crown dieback, foliage","Table 35—Average percent crown dieback, foliage","Table 35—Average percent crown dieback, foliage","Table 35—Average percent crown dieback, foliage",
saplings (1.0–4.9 inches d.b.h.) on P3 plots a by,saplings (1.0–4.9 inches d.b.h.) on P3 plots a by,saplings (1.0–4.9 inches d.b.h.) on P3 plots a by,saplings (1.0–4.9 inches d.b.h.) on P3 plots a by,saplings (1.0–4.9 inches d.b.h.) on P3 plots a by,,"transparency, and crown density on P3 plotsa","transparency, and crown density on P3 plotsa","transparency, and crown density on P3 plotsa","transparency, and crown density on P3 plotsa","transparency, and crown density on P3 plotsa",by
"species, Virginia, 1997 to 2001","species, Virginia, 1997 to 2001",,,,,"year, Virginia, 1991 to 1995, and 2001","year, Virginia, 1991 to 1995, and 2001","year, Virginia, 1991 to 1995, and 2001","year, Virginia, 1991 to 1995, and 2001",,
,,Crown vigor class,Crown vigor class,Crown vigor class,,,,,Crown,Foliage,Crown
Species,All,1,2,3,,Year,Year,Plots,dieback,transparency,density
,number of trees tallied,number of trees tallied,number of trees tallied,,,,,n,- - - - - - - - - - percent - - - - - - - - - -,- - - - - - - - - - percent - - - - - - - - - -,
Red maple,110,81,25,4,,1991,1991,79,4.2,16.0,48.6
Loblolly pine,96,78,18,0,,1992,1992,79,5.9,10.0,47.6
Sweetgum,66,59,7,0,,1993,1993,79,4.2,14.2,50.5
Blackgum,53,33,16,4,,1994,1994,79,2.5,9.1,47.4
Flowering dogwood,47,22,21,4,,1995,1995,79,5.2,11.5,49.5
Mockernut hickory,44,37,6,1,,2001,2001,79,2.8,20.0,47.4
Sourwood,23,16,6,1,,,,,,,
Yellow-poplar,22,16,5,1,,,All,79,4.1,13.5,48.5
Eastern redcedar,20,16,4,0,,,,,,,
Shortleaf pine,19,12,7,0,,a,Includes only plots that were measured six times.,Includes only plots that were measured six times.,Includes only plots that were measured six times.,Includes only plots that were measured six times.,
American beech,17,17,0,0,,,,,,,
Pignut hickory,17,16,1,0,,,,,,,
Black cherry,16,12,4,0,Table 36—Top eight damages recorded on live trees ≥ 5.0,Table 36—Top eight damages recorded on live trees ≥ 5.0,Table 36—Top eight damages recorded on live trees ≥ 5.0,Table 36—Top eight damages recorded on live trees ≥ 5.0,Table 36—Top eight damages recorded on live trees ≥ 5.0,Table 36—Top eight damages recorded on live trees ≥ 5.0,
White oak,15,13,2,0,"inches d.b.h. on P3 plots, Virginia, 1997 to 2001","inches d.b.h. on P3 plots, Virginia, 1997 to 2001","inches d.b.h. on P3 plots, Virginia, 1997 to 2001","inches d.b.h. on P3 plots, Virginia, 1997 to 2001","inches d.b.h. on P3 plots, Virginia, 1997 to 2001","inches d.b.h. on P3 plots, Virginia, 1997 to 2001",
a,Includes only species with at least 15 stems tallied.,Includes only species with at least 15 stems tallied.,Includes only species with at least 15 stems tallied.,,Damage,Damage,Damage,,,n,percent
,,,,,Conks/fruiting bodies/decay,Conks/fruiting bodies/decay,Conks/fruiting bodies/decay,Conks/fruiting bodies/decay,Conks/fruiting bodies/decay,226,52
,,,,,"Loss of apical dominance, dead terminal","Loss of apical dominance, dead terminal","Loss of apical dominance, dead terminal","Loss of apical dominance, dead terminal","Loss of apical dominance, dead terminal",54,12
,,,,,"Canker, gall","Canker, gall","Canker, gall","Canker, gall",,46,11
,,,,,Vines in crown,Vines in crown,Vines in crown,Vines in crown,,43,10
,,,,,Open wounds,Open wounds,Open wounds,Open wounds,,16,4
,,,,,Broken/dead branches,Broken/dead branches,Broken/dead branches,Broken/dead branches,Broken/dead branches,16,4
,,,,,Cracks/seams,Cracks/seams,Cracks/seams,Cracks/seams,,15,3
,,,,,Damaged foliage/buds/shoots,Damaged foliage/buds/shoots,Damaged foliage/buds/shoots,Damaged foliage/buds/shoots,Damaged foliage/buds/shoots,7,2
,,,,,,Subtotal,Subtotal,Subtotal,,423,97
,,,,,All damages recorded,All damages recorded,All damages recorded,All damages recorded,All damages recorded,438,100
,,,,,a,n = number of times a particular damage was recorded. Up to,n = number of times a particular damage was recorded. Up to,n = number of times a particular damage was recorded. Up to,n = number of times a particular damage was recorded. Up to,n = number of times a particular damage was recorded. Up to,
,,,,,three may be recorded per tree.,three may be recorded per tree.,three may be recorded per tree.,three may be recorded per tree.,three may be recorded per tree.,,
,,,,,,,,,,,95
