Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”,Name: “Table 1 of 1 on page 113 of 164”
Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113,Table: 113
,,,,,,,,,,,,,
Text Tables,Text Tables,,,,,,,,,,,,
,,,,"Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002","Table 30—Summary of ozone biosite data for Virginia, 1997 to 2002",
,,,,,,,,,Biosite index,,,,
,,,,,,,,,by category a,,,,
,,,,,,Sites with,Sites with,,,,,Average,
,,,,Year,Biosites,,injury,1,2,3,4,biosite index b,
,,,,,- - - - - - - - - - - - - - - number - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - number - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - number - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - number - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - number - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - number - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - number - - - - - - - - - - - - - - -,,
,,,,1997,9,,3,6,1,—,2,11.0,(6.5)
,,,,1998,16,,7,9,1,—,6,22.1,(8.7)
,,,,1999,26,,6,22,4,—,—,1.8,(0.8)
,,,,2000,25,,10,17,1,3,4,20.8,(11.4)
,,,,2001,30,,11,23,5,2,—,3.1,(1.0)
,,,,2002,24,,1,23,1,—,—,0.3,(0.3)
,,,,— = no value for the cell.,— = no value for the cell.,— = no value for the cell.,,,,,,,
,,,,a,For corresponding biosite index values see table 31.,For corresponding biosite index values see table 31.,For corresponding biosite index values see table 31.,For corresponding biosite index values see table 31.,For corresponding biosite index values see table 31.,,,,
,,,,b,Values in parentheses represent one standard error of the mean.,Values in parentheses represent one standard error of the mean.,Values in parentheses represent one standard error of the mean.,Values in parentheses represent one standard error of the mean.,Values in parentheses represent one standard error of the mean.,Values in parentheses represent one standard error of the mean.,Values in parentheses represent one standard error of the mean.,,
,,,,,,Table 31—Classification scheme for the FIA ozone,Table 31—Classification scheme for the FIA ozone,Table 31—Classification scheme for the FIA ozone,Table 31—Classification scheme for the FIA ozone,Table 31—Classification scheme for the FIA ozone,Table 31—Classification scheme for the FIA ozone,Table 31—Classification scheme for the FIA ozone,
,,,,,,biosite index,biosite index,,,,,,
,,,,,,Category,Category,Biosite index,Biosite index,Bioindicator response,Bioindicator response,Bioindicator response,
,,,,,,1,,0–4.9,0–4.9,Little or no injury,Little or no injury,Little or no injury,
,,,,,,2,,5.0–14.9,5.0–14.9,Light-to-moderate injury,Light-to-moderate injury,Light-to-moderate injury,
,,,,,,3,,15.0–24.9,15.0–24.9,Moderate-to-severe injury,Moderate-to-severe injury,Moderate-to-severe injury,
,,,,,,4,,,> 25,Severe foliar injury,Severe foliar injury,Severe foliar injury,
,,,,,,Source: Smith and others (2003).,Source: Smith and others (2003).,Source: Smith and others (2003).,Source: Smith and others (2003).,,,,
