Name: “Table 1 of 1 on page 138 of 164”,Name: “Table 1 of 1 on page 138 of 164”,Name: “Table 1 of 1 on page 138 of 164”,Name: “Table 1 of 1 on page 138 of 164”,Name: “Table 1 of 1 on page 138 of 164”,Name: “Table 1 of 1 on page 138 of 164”
Table: 136,Table: 136,Table: 136,Table: 136,Table: 136,Table: 136
,,,,,
,Appendix C—Species Lists,Appendix C—Species Lists,,,
Lichens,,,,,
"Appendix table C.2—Lichen species recorded on P3 plots, Virginia, 1994, 1995, 1998, and 1999","Appendix table C.2—Lichen species recorded on P3 plots, Virginia, 1994, 1995, 1998, and 1999","Appendix table C.2—Lichen species recorded on P3 plots, Virginia, 1994, 1995, 1998, and 1999","Appendix table C.2—Lichen species recorded on P3 plots, Virginia, 1994, 1995, 1998, and 1999","Appendix table C.2—Lichen species recorded on P3 plots, Virginia, 1994, 1995, 1998, and 1999",
Species,Plots,Species,Plots,Species,Plots
,n,,n,,n
Anaptychia palmulata,5,H. syncolla,1,P. ciliata,2
Anzia colpodes,1,Hypogymnia physodes,4,P. insignis,1
Bulbothrix confoederata,1,Hypotrachyna imbricatula,1,P. pusilloides,17
Candelaria concolor,14,H. livida,17,P. rubropulchra,30
C. fibrosa,1,H. osseoalba,2,Physcia aipolia,14
Canoparmelia caroliniana,9,H. revoluta,1,P. americana,17
C. crozalsiana,3,Imshaugia aleurites,6,P. millegrana,30
Cetraria americana,3,I. placorodia,3,P. neogaea,8
C. ciliaris,10,Leptogium cyanescens,3,P. stellaris,14
C. fendleri,3,Lobaria pulmonaria,3,Physciella chloantha,2
C. oakesiana,9,L. quercizans,1,Physconia detersa,3
C. orbata,1,Melanelia subaurifera,1,Platismatia tuckermanii,4
Cetrelia cetrarioides,1,Myelochroa aurulenta,26,Pseudevernia consocians,8
C. chicitae,1,M. galbina,9,Punctelia bolliana,2
C. olivetorum,2,Normandina pulchella,2,P. borreri,1
Cladonia bacillaris,4,Parmelia squarrosa,9,P. missouriensis,6
C. chlorophaea,5,P. sulcata,8,P. perreticulata,1
C. coniocraea,7,Parmeliella triptophylla,1,P. punctilla,1
C. cristatella,3,Parmelinopsis horrescens,5,P. reddenda,2
C. cylindrica,2,P. minarum,19,P. rudecta,51
C. furcata,1,Parmeliopsis ambigua,1,P. semansiana,4
C. macilenta,1,Parmotrema arnoldii,2,P. subrudecta,14
C. ochrochlora,1,P. austrosinense,1,Pyxine caesiopruinosa,6
C. parasitica,3,P. chinense,9,P. sorediata,21
C. pyxidata,4,P. crinitum,5,P. subcinerea,3
C. ramulosa,4,P. dilatatum,3,Ramalina americana,10
C. rei,2,P. eurysacum,9,Rimelia cetrata,6
C. squamosa,2,P. gardneri,8,R. diffractaica,1
Everniastrum catawbiense,1,P. hypoleucinum,1,R. reticulata,24
Flavoparmelia baltimorensis,1,P. hypotropum,42,R. subisidiosa,2
F. caperata,52,P. margaritatum,11,Usnea ceratina,4
Flavopunctelia flaventior,1,P. michauxianum,10,U. hirta,2
F. soredica,1,P. perforatum,4,U. miriabilis,4
Heterodermia granulifera,4,P. rigidum,3,U. mutabilis,10
H. hypoleuca,2,P. subtinctorium,2,U. rubicunda,7
H. obscurata,25,P. tinctorum,2,U. strigosa,27
H. speciosa,7,P. ultralucens,1,U. subfloridana,1
H. squamulosa,1,P. xanthinum,3,Xanthoria candelaria,1
Hyperphyscia adglutinata,1,Phaeophyscia adiastola,5,,
118,,,,,
