Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”,Name: “Table 1 of 1 on page 47 of 164”
Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47,Table: 47
,,,,,,,,,,,
Species Importance,Species Importance,Species Importance,,,,,,,,,
(C) Oak-pine forest-type group,(C) Oak-pine forest-type group,(C) Oak-pine forest-type group,,,,,,,,,
1. Coastal Plain survey unit,1. Coastal Plain survey unit,1. Coastal Plain survey unit,,,,2. Southern Piedmont survey unit,2. Southern Piedmont survey unit,2. Southern Piedmont survey unit,2. Southern Piedmont survey unit,,
Loblolly,,,,,,Yellow-,,,,,
pine,,,,,,poplar,,,,,
Sweetgum,,,,,,Virginiapine,,,,,
White,,,,,,White,,,,,
oak,,,,,,oak,,,,,
Red,,,,,,Shortleaf,,,,,
maple,,,,,,pine,,,,,
Yellow-,,,,,,Red,,,,,
poplar,,,,,,maple,,,,,
Virginia,,,,,,Southern,,,,,
pine,,,,,,red oak,,,,,
0,20,40,60,80,100,0,20,40,60,80,100
,,Volume (percent),Volume (percent),,,,,Volume (percent),Volume (percent),,
3. Northern Piedmont survey unit,3. Northern Piedmont survey unit,3. Northern Piedmont survey unit,3. Northern Piedmont survey unit,,,4. Northern Mountains survey unit,4. Northern Mountains survey unit,4. Northern Mountains survey unit,4. Northern Mountains survey unit,,
Virginia,,,,,,Chestnut,,,,,
pine,,,,,,oak,,,,,
,,,,,,Eastern,,,,,
Eastern,,,,,,,,,,,
,,,,,,white pine,,,,,
white pine,,,,,,,,,,,
Yellow-,,,,,,White,,,,,
,,,,,,oak,,,,,
poplar,,,,,,,,,,,
White,,,,,,Scarlet,,,,,
oak,,,,,,oak,,,,,
,,,,,,Northern,,,,,
Loblolly,,,,,,,,,,,
pine,,,,,,red oak,,,,,
,,,,,,Virginia,,,,,
Black,,,,,,,,,,,
oak,,,,,,pine,,,,,
0,20,40,60,80,100,0,20,40,60,80,100
,,Volume (percent),Volume (percent),,,,,Volume (percent),Volume (percent),,
5. Southern Mountains survey unit,5. Southern Mountains survey unit,5. Southern Mountains survey unit,5. Southern Mountains survey unit,,,6. State,,,,,
Chestnut,,,,,,Loblolly,,,,,
oak,,,,,,pine,,,,,
Eastern,,,,,,White,,,,,
