Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”,Name: “Table 1 of 1 on page 114 of 164”
Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114,Table: 114
,,,,,,,,,,,
,Text Tables,Text Tables,Text Tables,,,,,,,,
"Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown","Table 33—Distribution of tree species ≥ 5.0 inches d.b.h by percentage of crown dieback, foliage transparency, and crown"
"density on P3 plots, Virginia, 1997 to 2001","density on P3 plots, Virginia, 1997 to 2001","density on P3 plots, Virginia, 1997 to 2001","density on P3 plots, Virginia, 1997 to 2001",,,,,,,,
,,,Crown dieback (percent),Crown dieback (percent),Crown dieback (percent),Foliage transparency (percent),Foliage transparency (percent),Foliage transparency (percent),Crown density (percent),Crown density (percent),Crown density (percent)
,Trees,,0 –,7.6 –,,0 –,31.0 –,,0 –,21.0 –,
Species,(or stems),Plots,7.5,15.0,> 15.0,30.0,50.0,> 50.0,20.0,50.0,> 50.0
,- - - number - - -,- - - number - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -,- - - - - - - - - - - - - - - - - - - - - - percentage of trees sampled - - - - - - - - - - - - - - - - - - - - - - - -
Loblolly pine,560,27,100,0,0,98,2,0,1,86,13
Chestnut oak,306,36,80,15,5,96,3,1,2,64,34
Yellow-poplar,267,60,90,9,2,99,1,0,0,52,48
Virginia pine,242,26,96,3,1,79,20,1,3,87,10
Red maple,232,61,88,7,4,97,1,1,2,54,44
White oak,166,47,86,10,4,96,1,2,2,63,36
Sweetgum,124,31,85,10,5,98,1,2,2,62,36
Mockernut hickory,87,31,91,9,0,98,1,1,1,55,44
Northern red oak,78,31,74,21,5,94,4,3,1,68,31
Black oak,68,32,82,12,6,99,1,0,3,60,37
Scarlet oak,64,23,59,30,11,98,2,0,2,66,33
Eastern white pine,54,9,91,9,0,83,13,4,4,67,30
Blackgum,50,24,86,12,2,98,0,2,4,48,48
Southern red oak,49,18,84,14,2,100,0,0,0,76,24
Black cherry,43,21,84,14,2,98,2,0,0,72,28
Sourwood,41,13,68,15,17,93,5,2,5,46,49
Pignut hickory,38,21,100,0,0,97,3,0,0,50,50
Hickory,32,10,94,3,3,97,3,0,0,34,66
Sugar maple,31,7,84,10,6,97,0,3,3,29,68
American beech,30,11,97,3,0,100,0,0,0,33,67
Shortleaf pine,29,12,97,3,0,97,3,0,0,93,7
Black locust,23,11,83,9,9,87,9,4,0,70,30
Sweet birch,21,10,86,10,5,95,0,5,5,38,57
Eastern redcedar,18,14,100,0,0,94,6,0,0,67,33
Willow oak,18,7,89,11,0,100,0,0,0,78,22
Green ash,17,9,82,18,0,94,6,0,6,71,24
Other softwoods,35,10,89,9,3,80,20,0,6,80,14
Other hardwoods,151,53,83,13,4,96,1,3,1,62,37
94,,,,,,,,,,,
