Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”,Name: “Table 1 of 1 on page 153 of 164”
Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150,Table: 150
,,,,,,,,
Appendix D—Supplemental Tables,Appendix D—Supplemental Tables,Appendix D—Supplemental Tables,Appendix D—Supplemental Tables,,,,,
"Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,","Appendix table D.21—Average annual removals of growing stock on timberland by survey unit and species group,"
"Virginia, 1992–2000","Virginia, 1992–2000",,,,,,,
,,,,Softwoods,,,Hardwoods,
,,All,All,Yellow,Other,All,Soft,Hard
Survey unit,Survey unit,species,softwood,pine,softwood,hardwood,hardwood,hardwood
,,,,,million cubic feet,,,
Coastal Plain,Coastal Plain,238.0,134.4,134.3,0.1,103.7,48.9,54.8
Southern Piedmont,Southern Piedmont,205.1,91.3,91.0,0.3,113.8,51.4,62.4
Northern Piedmont,Northern Piedmont,89.2,43.8,42.4,1.4,45.4,14.9,30.4
Northern Mountains,Northern Mountains,43.0,7.6,7.6,—,35.4,7.3,28.0
Southern Mountains,Southern Mountains,91.8,19.4,19.0,0.4,72.4,37.0,35.4
All units,All units,667.1,296.6,294.3,2.3,370.6,159.5,211.1
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,
— = no sample for the cell.,— = no sample for the cell.,,,,,,,
"Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,","Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,","Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,","Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,","Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,","Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,","Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,","Appendix table D.22—Average annual removals of sawtimber on timberland by survey unit and species group,",
"Virginia, 1992–2000","Virginia, 1992–2000",,,,,,,
,,,,Softwoods,,,Hardwoods,
,,All,All,Yellow,Other,All,Soft,Hard
Survey unit,Survey unit,species,softwood,pine,softwood,hardwood,hardwood,hardwood
,,,,,million board feet a,,,
Coastal Plain,Coastal Plain,800.0,469.1,468.7,0.4,330.9,160.3,170.6
Southern Piedmont,Southern Piedmont,627.6,240.3,240.3,—,387.3,182.5,204.8
Northern Piedmont,Northern Piedmont,272.6,111.4,104.9,6.5,161.2,58.4,102.8
Northern Mountains,Northern Mountains,174.8,35.0,35.0,—,139.8,34.0,105.8
Southern Mountains,Southern Mountains,375.4,84.0,82.1,1.9,291.4,155.4,136.1
,All units,"2,250.3",939.8,931.0,8.7,"1,310.6",590.6,720.0
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,
— = no sample for the cell.,— = no sample for the cell.,— = no sample for the cell.,,,,,,
a,International 1/4-inch rule.,International 1/4-inch rule.,,,,,,
,,,,,,,,133
