Name: “Table 1 of 1 on page 80 of 82”,Name: “Table 1 of 1 on page 80 of 82”,Name: “Table 1 of 1 on page 80 of 82”,Name: “Table 1 of 1 on page 80 of 82”,Name: “Table 1 of 1 on page 80 of 82”,Name: “Table 1 of 1 on page 80 of 82”,Name: “Table 1 of 1 on page 80 of 82”
Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79,Table: 79
,,,,,,
Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by
"Locality, Value-added 2011 ($ Millions)",,,,,,
,Agriculture,,Forestry,,Agriculture & Forestry,Agriculture & Forestry
Locality,Direct,Total,Direct,Total,Direct,Total
Gloucester,9.9,15.4,0.9,1.6,10.9,17
Goochland,12.7,19.6,3.8,5.4,16.4,24.9
Grayson,11.1,14.8,8.0,11.4,19.0,26.2
Greene,5.7,8.3,2.8,4.3,8.5,12.6
Greensville and Emporia City,39.7,73.2,56.9,76.2,96.7,149.4
Halifax,121.1,153.9,30.4,42.5,151.5,196.4
Hampton,13.3,22.7,7.7,11.2,21.0,33.9
Hanover,117.4,197.9,120.0,180.6,237.4,378.4
Henrico,251.8,468.1,92.2,201.1,344.0,669.2
Henry and Martinsville,51.4,78.5,99.1,145.9,150.5,224.4
Highland,3.3,4.4,3.0,3.9,6.3,8.3
Isle of Wight,185.6,322,25.9,34.3,211.5,356.3
James City and Williamsburg City,306.3,474.2,9.5,14.4,315.8,488.6
King and Queen,5.9,9.4,13.4,16.0,19.3,25.5
King George,5.5,7.9,2.6,3.2,8.1,11.2
King William,6.6,10.7,206.2,261.9,212.8,272.5
Lancaster,6.0,14.0,0.6,1.2,6.5,15.2
Lee,8.0,12.2,2.7,4.7,10.7,16.9
Loudoun,142.9,248.9,27.8,45.8,170.7,294.7
Louisa,8.1,14.2,26.7,46.2,34.8,60.4
Lunenburg,49.6,53.1,9.5,12.8,59.1,65.9
Madison,14.2,20.8,10.8,15.0,25.0,35.9
Mathews,4.1,5.6,0.2,0.3,4.2,5.9
Mecklenburg,69.6,103.6,40.2,57.4,109.9,160.9
Middlesex,5.6,11.6,2.9,4.9,8.5,16.6
Montgomery and Radford City,54.3,105.5,44.7,69.4,99.0,174.9
Nelson,29.9,38.5,9.5,12.7,39.4,51.2
New Kent,3.3,5.1,9.6,12.9,12.8,18.1
Newport News,72.9,144.8,32.4,50.3,105.3,195.1
Norfolk,57.6,101.4,67.7,81,125.3,182.4
Northampton,60.3,81.6,1.5,2.2,61.9,83.8
Northumberland,30.1,50.7,0.6,0.8,30.7,51.5
Nottoway,7.9,11.4,14.8,21.6,22.7,33.0
Orange,58.0,80.8,18.7,32.1,76.7,112.9
Page,27.7,38.1,14.2,21.8,41.9,59.9
Patrick,27.3,39.3,83.8,106.6,111.0,145.9
Pittsylvania and Danville City,88.4,141.3,150.2,219.8,238.5,361.2
70,,,,,,
