Name: “Table 1 of 1 on page 47 of 82”,Name: “Table 1 of 1 on page 47 of 82”,Name: “Table 1 of 1 on page 47 of 82”,Name: “Table 1 of 1 on page 47 of 82”,Name: “Table 1 of 1 on page 47 of 82”,Name: “Table 1 of 1 on page 47 of 82”,Name: “Table 1 of 1 on page 47 of 82”,Name: “Table 1 of 1 on page 47 of 82”
Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46,Table: 46
,,,,,,,
"Table 3.8 Virginia Total, Direct, Indirect, and Induced Impacts of Agriculture and Forestry-Related","Table 3.8 Virginia Total, Direct, Indirect, and Induced Impacts of Agriculture and Forestry-Related","Table 3.8 Virginia Total, Direct, Indirect, and Induced Impacts of Agriculture and Forestry-Related","Table 3.8 Virginia Total, Direct, Indirect, and Induced Impacts of Agriculture and Forestry-Related","Table 3.8 Virginia Total, Direct, Indirect, and Induced Impacts of Agriculture and Forestry-Related","Table 3.8 Virginia Total, Direct, Indirect, and Induced Impacts of Agriculture and Forestry-Related","Table 3.8 Virginia Total, Direct, Indirect, and Induced Impacts of Agriculture and Forestry-Related",
"Industry Exports by Component, 2011","Industry Exports by Component, 2011","Industry Exports by Component, 2011","Industry Exports by Component, 2011",,,,
,Output,,Value-added,,Output,,ValueAdded
,(Millions $),Employment,(Millions $),,(Millions $),Employment,(Millions $)
Agriculture Production,,,,Forestry Production,,,
Direct Effect,218.2,"5,607",63.4,Direct Effect,52.0,494,22.3
Indirect Effect,102.2,910,65.2,Indirect Effect,15.1,159,8.2
Induced Effect,81.5,699,57.8,Induced Effect,44.3,375,31.0
Total Effect,401.9,"7,216",186.4,Total Effect,111.5,"1,027",61.5
Agriculture Core,,,,Forestry Core,,,
Direct Effect,503.6,"1,212",80.3,Direct Effect,540.7,"1,250",162.2
Indirect Effect,269.2,"2,209",122.0,Indirect Effect,244.5,"1,598",132.1
Induced Effect,192.6,"1,603",134.3,Induced Effect,294.6,"2,474",206.1
Total Effect,965.5,"5,024",336.6,Total Effect,"1,079.8","5,322",500.4
Agriculture Extended,,,,Forestry Extended,,,
Direct Effect,538.7,"1,584",176.2,Direct Effect,137.6,628,43.2
Indirect Effect,161.9,875,89.4,Indirect Effect,47.2,266,26.6
Induced Effect,248.0,"2,133",175.9,Induced Effect,72.0,595,50.0
Total Effect,948.6,"4,592",441.5,Total Effect,256.9,"1,489",119.8
Agriculture Distribution,,,,Forestry Distribution,,,
Direct Effect,22.1,147,17.3,Direct Effect,58.9,351,47.3
Indirect Effect,4.9,37,3.3,Indirect Effect,12.4,92,8.2
Induced Effect,23.2,199,16.4,Induced Effect,62.9,543,44.7
Total Effect,50.2,383,37.0,Total Effect,134.2,985,100.2
Agriculture Total,,,,Forestry Total,,,
Direct Effect,"1,282.7","8,550",337.2,Direct Effect,789.3,"2,723",275.0
Indirect Effect,538.2,"4,030",279.9,Indirect Effect,319.3,"2,114",175.1
Induced Effect,545.3,"4,634",384.5,Induced Effect,473.8,"3,987",331.7
Total Effect,"2,366.2","17,214","1,001.5",Total Effect,"1,582.4","8,824",781.9
,,,,,,,37
