Name: “Table 1 of 1 on page 75 of 82”,Name: “Table 1 of 1 on page 75 of 82”,Name: “Table 1 of 1 on page 75 of 82”,Name: “Table 1 of 1 on page 75 of 82”,Name: “Table 1 of 1 on page 75 of 82”,Name: “Table 1 of 1 on page 75 of 82”,Name: “Table 1 of 1 on page 75 of 82”
Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74,Table: 74
,,,,,,
Table D.2 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related In-,Table D.2 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related In-,Table D.2 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related In-,Table D.2 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related In-,Table D.2 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related In-,Table D.2 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related In-,
"dustries by Locality, Employment 2011",,,,,,
,,,,,Agriculture &,
,Agriculture,Agriculture,Forestry,,Forestry,
Locality,Direct,Total,Direct,Total,Direct,Total
Accomack,"4,142","5,372",23,29,"4,165","5,401"
Albemarle and Charlottesville City,"1,776","2,405",363,584,"2,139","2,989"
Alexandria,984,"1,506",94,126,"1,078","1,632"
Alleghany and Covington City,164,170,"1,688","3,371","1,852","3,541"
Amelia,590,655,345,463,935,"1,118"
Amherst,361,389,452,918,813,"1,307"
Appomattox,293,314,241,312,534,626
Arlington,487,615,21,26,508,641
Augusta and Staunton and Waynesboro cities,"4,692","6,732",803,"1,179","5,495","7,911"
Bath,171,183,33,43,204,226
Bedford and Bedford City,"1,486","1,826",868,"1,736","2,354","3,562"
Bland,291,305,4,5,295,310
Botetourt,874,"1,072",251,434,"1,125","1,506"
Brunswick,452,494,358,491,810,985
Buchanan,137,147,21,29,158,176
Buckingham,455,486,251,351,706,837
Campbell and Lynchburg City,"3,087","5,468",999,"1,640","4,086","7,108"
Caroline,712,766,298,409,"1,010","1,175"
Carroll and Galax City,"1,662","1,970","1,064","1,397","2,726","3,367"
Charles City,250,277,240,308,490,585
Charlotte,546,581,554,737,"1,100","1,318"
Chesapeake,"1,869","2,500",532,914,"2,401","3,414"
Chesterfield,"1,629","2,944",318,575,"1,947","3,519"
Clarke,763,885,109,146,872,"1,031"
Craig,181,191,3,4,184,195
Culpeper,958,"1,205",465,775,"1,423","1,980"
Cumberland,234,253,115,142,349,395
Dickenson,152,154,53,70,205,224
Dinwiddie and Colonial Heights and Petersburg cities,752,905,332,547,"1,084","1,452"
Essex,406,470,251,371,657,841
Fairfax and Fairfax and Falls Church cities,"5,260","7,068",581,950,"5,841","8,018"
Fauquier,"2,079","2,400",151,237,"2,230","2,637"
Floyd,"1,073","1,319",43,58,"1,116","1,377"
Fluvanna,351,384,69,86,420,470
Franklin,"1,419","1,684","1,666","2,554","3,085","4,238"
Frederick and Winchester city,"2,784","4,847",672,"1,007","3,456","5,854"
Giles,248,262,43,58,291,320
,,,,,,65
