Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”,Name: “Table 1 of 1 on page 24 of 30”
Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23,Table: 23
,,,,,,,,,,,,,,,,,,,,,,,,
Table,19.,-,Tennessee,Tennessee,Tennessee,(cont .),(cont .),(cont .),,,,,,,,,,,,,,,,
,,,,,,,Sawmills,Sawmills,Sawmills,by,by,Class,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Lumber Production,Lumber Production,Lumber Production,Lumber Production,,
County,County,,,,,,,Operating-,Operating-,Operating-,,,,,ll,ll,,,,,,,,
,,,Idle,Idle,,0,,1,,2,,3,4+,M,i,lls,Softwoods,Softwoods,Softwoods,Hardwoods,Hardwoods,,Total,Total
,,,,,,,,,,,,,,,,,M,bd.,f t .,"M bd""",f t .,M,"bd,",f t .
Lawrence,Lawrence,,,9,1,4,1,9,,4,,1,-,,,47,,,66,"8,362","8,362",,"8,428","8,428"
Lewis,,,,4,,-,,7,,-,,-,-,,,11,,,30,"1,732","1,732",,"1,762","1,762"
Lincoln,Lincoln,,,10,,10,,8,,-,,-,-,,,28,,,49,974,974,,"1,025","1,025"
Loudon,Loudon,,,6,,7,,5,,4,,-,,,,22,,2 ?539,2 ?539,12327,12327,,"3,866","3,866"
McMinn,McMinn,,,7,,8,1,7,,6,,3,-,,,41,,"7,863","7,863",2.588,2.588,,"10,451","10,451"
McNairy,McNairy,,,5,,5,1,5,,6,,8,-,,,39,,3 5201,3 5201,"15,172","15,172",,"18,373","18,373"
Macon,,,,6,,7,1,3,,8,,-,-,,,,,,-,,,,,
,,,,,,,,,,,,,,,,3 4,,,,"7,600","7,600",,7h00,7h00
Madison,Madison,,,3,,8,,9,,-,,3,1,,,24,,162,162,"15,063","15,063",,"15,225","15,225"
Marion,Marion,,,5,,4,1,6,,5,,1,-,,,31,,"5,665","5,665","2,736","2,736",,8 >401,8 >401
Marshall,Marshall,,,7,,,4,,5,,,1,-,,,17,,"1,834","1,834",695,695,,2>529,2>529
&U~Y,,,,8,,8,,5,,2,-,.,-,,,23,,"1,086","1,086","1,376","1,376",,"2,462","2,462"
Meigs,,,,6,,1,,7,,2,,1,-,,,17,,"3,523","3,523",875,875,,"4,398","4,398"
Monroe,Monroe,,,1,1,6,2,1,,2,,1,-,,,41,,"L ,788","L ,788","1,305","1,305",,"6,093","6,093"
Montgomery,Montgomery,Montgomery,,4,,9,,1,,1,,2,-,,,l'?,,,,3 >874,3 >874,,"3,874","3,874"
Moore,,,,1,1,1,,2,,-,,1,-,,,5,,,-,"1,679","1,679",,1/57?,1/57?
Morgan,Morgan,,,9,,5,,17,,117,,10,-,,,58,,25 $509,25 $509,7 3 281,7 3 281,,"32,790","32,790"
Obion,,,,2,,6,,4,,-,,2,.-,,,14,,"2,182","2,182","2 ,451","2 ,451",,"4,633","4,633"
Overton,Overton,,,4,,2,1,6,,3,,3,-,,,28,,"1,663","1,663","8,596","8,596",,10 2 5 9,10 2 5 9
Perry,,,,4,,3,,9,,7,,1,-,,,24,,137,137,"8,902","8,902",,"9,039","9,039"
Pickett,Pickett,,,1,1,-,,4,,1,,1,-,,,7,,19*,19*,"3,092","3,092",,"3,287","3,287"
Polk,,,,2,,1,1,2,,9,,1,1,,,26,,"10,151","10,151",A2990,A2990,,"15,141","15,141"
Putnam,Putnam,,,1,2,2,,7,,1,,3,-.,,,25,,"1,253","1,253","6 ,l3i","6 ,l3i",,7 3381+,7 3381+
Rhea,,,,4,,3,,5,,9,,2,1,,,24,,"15,131","15,131","2,983","2,983",,"18,114","18,114"
Roane,,,,9,,6,2,1,,9,,-,-,,,45,,"7,929","7,929","2,BLg","2,BLg",,"10,778","10,778"
Robertson,Robertson,,,2,,6,1,1,,2,,1,-,,,22,,,.-,4 9 425,4 9 425,,"4,425","4,425"
