Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”,Name: “Table 1 of 1 on page 19 of 30”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,,,,,,,,,,,,
Table,16.,- Number,of,sawmills,sawmills,sawmills,by,by,county,county,and,t h e i r,production,production,production,o f,lumber.,lumber.,,,
,,,,,,,,"Kentucky,","Kentucky,","Kentucky,",1942.,,,,,,,,,,
,,t,,,Sawmills,Sawmills,Sawmills,,,C l a s s,,,,,,,,,,,
,,,,,,,,by,by,,,,.,,,,,,,,
,,,,,,,,,,,,,,,Lumber,Lumber,Production,Production,Production,Production,
County,,,,,,Operating,Operating,Operating,Operating,,,All,,,,,,,,,
,,Idle,,0,,1,,2,,3,4-t,Mills,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,,Total,Total
,,,,,,,,,,,,,M,bd.,f t .,M,bd.,E t .,M,bd.,f t .
Adair,,6,1,0,,8,,8,,4,-,36,,,10,,"12,351","12,351",,"12,361","12,361"
Allen,,6,,4,,5,,1,,2,-,18,,,75,,"3,176","3,176",,"3,251","3,251"
Anderson,Anderson,-,,3,,2,,-,,-,-,5,,,-,,185,185,,,185
Ballard,,3,,3,,2,,4,,2,-,14,,,250,,"5,707","5,707",,"5,957","5,957"
E37,,3,,6,,5,,2,,-,--,16,,,13,,31734,31734,,"3,747","3,747"
,,1,',5,,4,,1,,-,,ll,,,33 4,,899,899,,"1,233","1,233"
Bell,,1,0,6,1,9,,7,,1,-,43,,,23 9,,"9,426","9,426",,"9,665","9,665"
Boone,,3,,4,,1,,-,,-,-,8,,,1,,127,127,,,128
Bourbon,,-,,-,,-,,-,,-,-,-,,,-,,,-,,,-
Boyd,,-,,-,,1,0,,-,1,-,11,,,110,,"4,245","4,245",,"4,355","4,355"
Boyle,,1,,6,,-,,-,,-,-,7,,,-,,,63,,,63
Bracken,,3,,3,,-,,-,,-,-,6,,,-,,,59,,,59
Breathitt,Breathitt,8,,8,,9,,2,,-,-,27,,,13,,"2,515","2,515",,2,528
Breckenridge,Breckenridge,10,,12,,8,,-,,-,-,30,,,1,,"1,556","1,556",,"1,557","1,557"
Bullitt,,-,,8,,4,,-,,-,-,12,,,110,,726,726,,,836
Butler,,8,,7,,3,,2,,1,-,21,,,-,,3 $803,3 $803,,"3,803","3,803"
Caldwell,Caldwell,2,,2,,5,,-,,1,-,10,,,3 5,,"2,635","2,635",,"2,670","2,670"
Calloway,Calloway,,,8,,6,,-,,-,-,,,,10,,,,,,
,,13,,,,,,,,,,27,,,,,"1,425","1,425",,"1,435","1,435"
