Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”,Name: “Table 1 of 1 on page 16 of 30”
Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15,Table: 15
,,,,,,,,,,,,,,,,,,,,,,
Table,13.,- Number,of,sawmills,sawmills,sawmills,by,by,county,county,county,and,t h e i r,prod?i=';ion,prod?i=';ion,prod?i=';ion,o f,lumber.,lumber.,,,
,,,,,,,West,West,West,"V i r g i n i a ,","V i r g i n i a ,","V i r g i n i a ,",1942.,,,,,,,,,
,,,,,Sawmills,Sawmills,Sawmills,by,by,Class,Class,,,,,,,,,,,
County,County,,,,,Operating,Operating,Operating,Operating,Operating,,,A11,,,Lmber,Lmber,Production,Production,Production,,
,,Idle,,0,I,1,I,2,1,3,1,4+ M i l l s,4+ M i l l s,Softwoods,Softwoods,Softwoods,Hardwoods,Hardwoods,Hardwoods,,Total,Total
,,,I,,I,,I,,I,,I,I,,M,"bd""","f',""",M,bd.,"ft,.",M,bd.,f t .
Barbour,Barbour,8,,,,,,,,,,,,,119,119,,"9,951;","9,951;",,9 1685,9 1685
Berkeley,Berkeley,6,,,,,,,,,,,,,195,195,,19935,19935,,"2,130","2,130"
Boone,,3,,,,,,,,,,,,,375,375,,"13,970","13,970",,"14,345","14,345"
Braxton,Braxton,3,,,,,,,,,,,,,,57,,"3,151","3,151",,"3,208","3,208"
Brooke,Brooke,1,,,,,,,,,,,,,,-,,,308,,,308
Cabell,Cabell,3,,,,,,,,,,,,,196,196,,,933,,"1,129","1,129"
Calhoun,Calhoun,,,,,,,,,,,,,,179,179,,,954,,"1,133","1,133"
Clay,,,,,,,,,,,,,,,"1,982","1,982",,1 5 9484,1 5 9484,,"17,466","17,466"
Doddridge,Doddridge,,,,,,,,,,,,,,,15,,"2,395","2,395",,"2,410","2,410"
Fayette,Fayette,,,,,,,,,,,,,,"1,684","1,684",,"17,662","17,662",,"19,346","19,346"
Gilmer,Gilmer,,,,,,,,,,,,,,1'74,1'74,,"4,115","4,115",,"4,289","4,289"
Grant,,,,,,,,,,,,,,,714,714,,"4,519","4,519",,"5,233","5,233"
Greenbrier,Greenbrier,,,,,,,,,,,,,,"1,861","1,861",,"39,150","39,150",,"41,011","41,011"
Hampshire,Hampshire,,,,,,,,,,,,,,"1,759","1,759",,"4,398","4,398",,"6,157","6,157"
Hancock,Hancock,,,,,,,,,,,,,,,-,,,-,,,-
Hardy,,,,,,,,,,,,,,,"1,217","1,217",,"3,666","3,666",.,"4,883","4,883"
Harrison,Harrison,,,,,,,,,,,,,,,83,,"6,876","6,876",,"6,959","6,959"
Jackson,Jackson,,,,,,,,,,,,,,278,278,,"1,388","1,388",,"1,366","1,366"
Jefferson,Jefferson,,,,,,,,,,,,,,,54,,,626,,,680
Kanawha,Kanawha,,,,,,,,,,,,,,956,956,,"15,861","15,861",,"16,817","16,817"
Lewis,,,,,,,,,,,,,,,,1,,7 a,0,,"7,101","7,101"
Lincoln,Lincoln,,,,,,,,,,,,,,155,155,,4,413,,"4,568","4,568"
Logan,,,,,,,,,,,,,,,,5,,"18,203","18,203",,"1 8 ,a8","1 8 ,a8"
McDowell,McDowell,,,,,,,,,,,,,,"5,216","5,216",,"36,564","36,564",,"W ,780","W ,780"
Marion,Marion,,,,,,,,,,,,,,,-,,"4,209","4,209",,"4,209","4,209"
Marshall,Marshall,,,,,,,,,,,,,,,-,,"2,274","2,274",,"2,274","2,274"
Mason,,,,,,,,,,,,,,,,64,,,685,,,749
Mercer,Mercer,,,,,,,,,,,,,,647,647,,"15 ,213","15 ,213",,"15,860","15,860"
Mineral,Mineral,,,,,,,,,,,,,,237,237,,"3,203","3,203",,"3,440","3,440"
Mingo,,,,,,,,,,,,,,,513,513,,"16,049","16,049",,"16,562","16,562"
Monongalia,Monongalia,,,,,,,,,,,,,,,10,,"5,050","5,050",,"6,060","6,060"
Monroe,Monroe,,,,,,,,,,,,,,787,787,,"4,928","4,928",,"5,715","5,715"
Morgan,Morgan,,,,,,,,,,,,,,923,923,,"2,483","2,483",,3 ?406,3 ?406
Nicholas,Nicholas,,,,,,,,,,,,,,"19,265","19,265",,"48,670","48,670",,"67,935","67,935"
Ohio,,,,,,,,,,,,,,,,-,,,,,,
,,,,,,,,,,,,,,,,,,,152,,,152
Pendleton,Pendleton,,,,,,,,,,,,,,"2,491","2,491",,10 9 1 4 G,10 9 1 4 G,,"12,631","12,631"
Pleasants,Pleasants,,,,,,,,,,,,,,462,462,,,637,,"1,099","1,099"
Pocahontas,Pocahontas,,,,,,,,,,,,,,"10,338","10,338",,"13,950","13,950",,"24,288","24,288"
Preston,Preston,,,,,,,,,,,,,,889,889,,33,,,"33,985","33,985"
Putnam,Putnam,,,,,,,,,,,,,,140,140,,"1,059","1,059",,"1,199","1,199"
Raleigh,Raleigh,,,,,,,,,,,,,,555,555,,"15,573","15,573",,"16,128","16,128"
Randoluh,Randoluh,,,,,,,,,,,,,,7 47,7 47,,"29,566","29,566",,"30,3W","30,3W"
~itchik,~itchik,,,,,,,,,,,,,,337,337,,"3,876","3,876",,4,213
Roane,,,,,,,,,,,,,,,,20,,"1,701","1,701",,1?721,1?721
