Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”,Name: “Table 1 of 1 on page 6 of 30”
Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6,Table: 6
,,,,,,,,,,,,,,,,,,,,,,,,,
,Tabie,Tabie,,1.,",-",Lumber,production,production,and,number,number,of,sawmills,sawmills,fn t h e,"Carolinas,","Carolinas,","Carolinas,","Virginia,","Virginia,","Virginia,",West,,,
,,,,,,,,,"V i r g i n i a ,","V i r g i n i a ,","V i r g i n i a ,","Kentucky,","Kentucky,","Kentucky,",and,"Tennessee,",1942.,1942.,,,,,,,
1,Number,Number,Number,o f,,Saw-,,,,,,,,,,,,,,,,,,,
,m i l l s,m i l l s,,and,,,,,,,,,M i l l,Class,,,,,,,,,,,
,Species,Species,Species,Group,Group,Group,0,,1,,,2,,3,,4,,5 +,,,,,,,
,,,,u,u,,Number,Number,Number,,Number,Number,,bber,bber,Number,Number,Number,Number,Number,Number,,,,
,Sawmilis,Sawmilis,Sawmilis,Sawmilis,,,"3,192",,"6,004",,"1,836","1,836",,"1,427","1,427",72,,26,26,,"12,557","12,557",,,
,,,,,,,M b d . f t .,M,bd.,"f t ""M",bd.,bd.,"f t , M",bd.,f t .,M b d . f t 0,M,b d . f t .,b d . f t .,M,bd.,f t .,,,
,SOFTWOODS,SOFTWOODS,SOFTWOODS,SOFTWOODS,SOFTWOODS,,,,,,,,,,,,,,,,,,,,
,Cedar,Cedar,,,,,220,,"6,795","6,795",,4863,4863,"12,946","12,946",7,,"3,864","3,864",,"28,695","28,695",Oo,Oo,
,Cypress,Cypress,Cypress,,,,362,,5 ?269,5 ?269,,"L,880","L,880",25>303,25>303,"34,632",,"58,706","58,706",,"i29,152","i29,152","2,","2,",
,"F i r ,","F i r ,",balsam,balsam,balsam,,-,,,-,,,-,,150,-,,,-,,,,,,
,Hemlock,Hemlock,Hemlock,,,,3 43,,"11,443","11,443","13,364","13,364","13,364","15,942","15,942","12,477",,"18,161","18,161",,,,,,
,"P i n e ,","P i n e ,",,white,white,,"2,0116",,36 >351,36 >351,"23,785","23,785","23,785","9,952","9,952","1,706",,"1,266","1,266",,"81,106","81,106",la&,la&,la&
,"Pine,","Pine,",,yellow,yellow,yellow,"22,265",,"480,315",,"783 >357 1,538,428","783 >357 1,538,428","783 >357 1,538,428","783 >357 1,538,428","783 >357 1,538,428","156,612","101,466 3,142,443","101,466 3,142,443","101,466 3,142,443","101,466 3,142,443","101,466 3,142,443","101,466 3,142,443",54.2,54.2,
,Spruce,Spruce,Spruce,,,,3,,,23 8,,,250,,5 5,-,,"16,843","16,843",,"17,389","17,389",0.3,0.3,
,,Total,Total,,,,"25,239",,"540,411","540,411","830,499","830,499","830,499","1,602.776","1,602.776","208 ,,434","263,306","263,306","263,306","3,470,665","3,470,665","3,470,665",59.8,59.8,
,HARDWOODS,HARDWOODS,HARDWOODS,HARDWOODS,HARDWOODS,,,,,,,,,,,,,,,,,,,,!
,Ash,Ash,,,,,204,,"3,858","3,858",3 >263,3 >263,3 >263,7;392,7;392,"16,358",,"7,409","7,409",,"38,484","38,484",0.7,0.7,
,Basswood,Basswood,Basswood,Basswood,,,307,,8 $140,8 $140,"7,658","7,658","7,658",lg1862,lg1862,"10,427",,"5,632","5,632",,"52,026","52,026",0,~,"9!
I"
,Beech,Beech,,,,,"2,lY7",,"34,299",,"32,702","32,702","32,702",45-18?,45-18?,"12,243",,"8,786","8,786",,135a414,135a414,2.3,2.3,1
,Birch,Birch,,,,,82,,"3,352",,,"1,8u","1,8u",43009,43009,"2,088",,"4,820","4,820",,"16,168","16,168",0 . 3,0 . 3,1
,Chestnut,Chestnut,Chestnut,Chestnut,,,"1,705",,17 2 598,17 2 598,,"8,562","8,562",20-CL.7,20-CL.7,"9,912",,"6,722","6,722",,"64,546","64,546",i.i,i.i,
,Cottonwood,Cottonwood,Cottonwood,Cottonwood,Cottonwood,,23 1,,2-957,2-957,,"2,103","2,103","3 ,Oli","3 ,Oli",5 .'75:1,,"7,586","7,586",,"21,642","21,642",0 . 4 ; ],0 . 4 ; ],0 . 4 ; ]
,~,l,m,,,,338,,"2,87L",,,"2,146","2,146",4.309,4.309,"1,559",,"1,838","1,838",,"13,064","13,064",,,
,"Gum,","Gum,",red,red,,,"1,510",,"21,172",,25 ?153,25 ?153,25 ?153,"50,70?","50,70?","37,216",,"58,132","58,132",,194 s186,194 s186,::511,::511,::511
,Hickory,Hickory,Hickory,,,,"1,207",,2OS570,2OS570,'121999,'121999,'121999,"19,105","19,105","3,467",,"3,570","3,570",,"60,918","60,918",1.1:,1.1:,1.1:
,Maple,Maple,,,,,795,,"18,329",,"13,021","13,021","13,021","32,975","32,975","22,702",,2q1787,2q1787,,1179609,1179609,2.G:,2.G:,
,Oak,Oak,,,,,"28,702",,"343,532",,239.933,239.933,239.933,360 ?533,360 ?533,"115,057",,"45,628","45,628","1:,133,385","1:,133,385","1:,133,385","19. 5 , ;","19. 5 , ;","19. 5 , ;"
,Sycamore,Sycamore,Sycamore,Sycamore,,,433,,5 &79,5 &79,,"5,018","5,018",4.504,4.504,"3,507",,1..527,1..527,,20~668,20~668,0 . 4 i,0 . 4 i,
,Tup.,Tup.,&,bl-gum,bl-gum,bl-gum,562,,7 a903,7 a903,,981'?0,981'?0,32:C03,32:C03,1 9 J 7 9,,"38,031","38,031",,"106,848","106,848",,,
,Walnut,Walnut,Walnut,,,,3 52,,4.459,,"3,522","3,522","3,522",".7,9Gl",".7,9Gl","3,277",,,41,,"19,555","19,555",0.9,0.9,!I
