Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”,Name: “Table 1 of 1 on page 20 of 30”
Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19,Table: 19
,,,,,,,,,,,,,,,,,,,,,
Table,16. - Kentucky,16. - Kentucky,16. - Kentucky,(cont.),(cont.),(cont.),,,,,,,,,,,,,,,
,,,,,,Sam'?1s,Sam'?1s,by,mass,mass,mass,,,,,,,,,,
,,,,,,,,,,,,,,,Lumber Production,Lumber Production,Lumber Production,Lumber Production,Lumber Production,,
County,County,,,,,,Operating,Operating,Operating,,,All,All,,,,,,,,
,,,Idle,,0,,1,2,,3,.*,4-tMills,4-tMills,Softwoods,Softwoods,Hardwoods,Hardwoods,Hardwoods,,Total,Total
,,,,,,,,,,,,,,"M bd,",ft=,M,bd.,ft.,M,bd.,ft.
,,,,,,,,-,,,,-,,,,,,,,,
Greenup,Greenup,,3,14,14,,14,,,-,,,31,,402,,"1,679","1,679",,"2,081","2,081"
Hancock,Hancock,,-,,2,,3,-,,-,,-,5,,-,,,793,,793,793
Harlan,Harlan,,10,,5,,17,1-1,,4,,2,49,"1,385","1,385",,"37,185","37,185",,"38,570","38,570"
Harrison,Harrison,,2,,4,,3,,,-,,-,9,,-,,,165,,165,165
Hart,,,2,,5,,3,-,,-,,-,10,,-,,,554,,554,554
Henderson,Henderson,Henderson,5,,1,,4,--,,-,,-,10,,-,,,619,,619,619
Henry,,,-,,3,,2,,,-,,-,5,,300,,,220,,520,520
HicIanan,HicIanan,,1,,1,,6,2,,1,,-,11,,200,,"4,005","4,005",,"4,205","4,205"
~opkins,~opkins,~opkins,6,,6,9,3,-,1,,",",-,28,,-,,"8,885","8,885",,"8,885","8,885"
Jackson,Jackson,,4,3,,1,2,1,,-,,-,20,,,,,,,,
,,,,,,,,,,,,,,"1,344","1,344",,"1,523","1,523",,"2,867","2,867"
Jeffersonl/,Jeffersonl/,Jeffersonl/,1,,4,,4,2,,2,,1,14,,115,,"11,821","11,821",,"11,936","11,936"
Jessamine-,Jessamine-,Jessamine-,-,,3,,2,-,,-,,-,5,,15,,,235,,250,250
Johnson,Johnson,,4,,6,,9,-,,-,,-,19,,61,,"1,7W","1,7W",,"1,774","1,774"
Kenton,Kenton,,2,,3,,-,-,,-,,-,5,,-,,,63,,,63
~nott,~nott,,3,7,,2,4,1,,1,,-,36,,-,,"5,610","5,610",,"5,610","5,610"
,,,1412,1412,1412,,9,-,,3,,1,39,,200,,,,,,
,J2,,,,,,,,,,,,,,,,17r099,17r099,,"17,299","17,299"
Larue,,,2,,6,,5,-,,-,,.-,13,,-,,,905,,905,905
Laurel,Laurel,,9,6,,2,3,5,,3,,-,46,"8,737","8,737",,"2,761","2,761",,119498,119498
Lawrence,Lawrence,,3,1,2,,10,4,,1,,-,30,,609,,"7,462","7,462",,"8,071","8,071"
Lee,,,5,,3,,5,-,,-,,-,53,,285,,,466,,751,751
Leslie,Leslie,,310,310,310,,6,2,,5,,-,26,,350,,"9,270","9,270",,"9,620","9,620"
Leteher,Leteher,,3,,4,,12,5,,3,,-,27,"1,110","1,110",,9f735,9f735,,"10,845","10,845"
Lewis,,,8,13,13,,17,-,,1,,,39,,184,,"4,903","4,903",,"5,087","5,087"
~incoln,~incoln,~incoln,3,13,13,,12,1,,-,,,29,"1,071","1,071",,"1,956","1,956",,"3,027","3,027"
Livingston,Livingston,Livingston,2,,,3,2,,1,,,-,8,,-,,"3,509","3,509",,"3,509","3,509"
Logan,,,4,,3,,9,2,,2,,-,20,,521,,"5,770","5,770",,"6,291","6,291"
Lyon,,,3,,1,,5,1,,-,,-,10,,50,,1-193,1-193,,1:243,1:243
McCracken,McCracken,McCracken,2,,2,,4,4,,-,,-,12,,26,,"2,824","2,824",,"2,850","2,850"
McCreary,McCreary,,1,4,,1,7,7,,4,,1,34,"20,288","20,288",,7,j614,,"27,902","27,902"
McLean,McLean,,2,,2,,6,-,,-,,-,10,,,,,748,,748,748
Madison,Madison,,2,,8,,5,-,,-,,-,15,,207,,,416,,623,623
Magoffin,Magoffin,,3,5,,1,5,2,,-,,-,25,,106,,"4,466","4,466",,"4,572","4,572"
Marion,Marion,,3,,7,,6,1,,-,,-,17,,40,,"2,199","2,199",,"2,239","2,239"
Marshall,Marshall,,813,813,813,,7,-,,-,,,28,,11,,"1,020","1,020",,"1,031","1,031"
Martin,Martin,,-,,1,,7,-,,-,,-,8,,195,,,998,,1.193,1.193
Mason 2/,Mason 2/,,1,,2,,2,-,,-,,-,5,,-,,,236,,236,236
Meade,,,3,,5,,6,1,,-,,-,15,,77,,"1,282","1,282",,"1,359","1,359"
Menif ee,Menif ee,,3,,2,,8,5,,-,,-,18,"1,381","1,381",,"2,722","2,722",,"4,103","4,103"
Mercer,Mercer,,2,,3,,2,,,-,,-,7,,-,,,,,151,151
Metcalf e,Metcalf e,,415,415,415,,9,-,,1,,-,29,,183,,"2,175'26","2,175'26",,"2,905","2,905"
Monroe,Monroe,,7,,9,,8,8,,2,,-,34,,62,,9 9823,9 9823,,"9,885","9,885"
Jl,Jessamine and,Jessamine and,Fayette,Fayette,Fayette,combined,combined,combined,to,avoid,avoid,disclosing data,disclosing data,disclosing data,of,"individual mills,","individual mills,","individual mills,","individual mills,","individual mills,",
2J,Larue,and Hardin,and Hardin,combined to,combined to,combined to,combined to,avoid,avoid,disclosing,disclosing,disclosing,data,of,individual mills.,individual mills.,individual mills.,individual mills.,individual mills.,,
1/ Mason,1/ Mason,and,Robertson combined to,Robertson combined to,Robertson combined to,Robertson combined to,Robertson combined to,Robertson combined to,avoid disclosing data,avoid disclosing data,avoid disclosing data,avoid disclosing data,avoid disclosing data,avoid disclosing data,of,individual 11611s.,individual 11611s.,individual 11611s.,individual 11611s.,individual 11611s.,
