Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”,Name: “Table 1 of 1 on page 14 of 30”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,,,,,,,,,,,,,,,,,,,,
T a b l e,10.,-,Virginia,,( c o n t,( c o n t,j,,,,,,,,,,,,,,,,,,,
Lancaster,Lancaster,,,,,,,,,,,,,,,,,,,,,,,,,
Loudoun,Loudoun,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,Madison,,,,,,,,,,,,,,,,,,,,,,,,,
Mathews,Mathews,,,,,,,,,,,,,,,,,,,,,,,,,
Middlesex,Middlesex,,,,,,,,,,,,,,,,,,,,,,,,,
Montgomery,Montgomery,,8,1,6,,8,,-,,,,,,,,,,,,,,,,,
Nansemond,Nansemond,,1,,1,,L,,4.,6,,-.,-.,,16,,"16,724","16,724","16,724","16,724",,i .l.98,,"17,922","17,922",
Nelson,,,8,,5,,19,,3,-~,,-,-,,.35,,,,833,833,,"4 ,262",,5 -095,5 -095,
New,Kent,,-,,-,,3,,6,3,,-,,,12,,7:5?5,7:5?5,7:5?5,7:5?5,,2.786,,"10,381","10,381",
Norfolk,Norfolk,,3,,6,,4,,2,4,,2,2,,2s,,30 -981,30 -981,30 -981,30 -981,"12,392","12,392","12,392",43 3373,43 3373,
Northampton,Northampton,Northampton,1,,,,1,,3,9,,-,-,,,,1 7 -78i,1 7 -78i,1 7 -78i,1 7 -78i,,"1 ,108",,"18,889","18,889",
Northumberland,Northumberland,Northumberland,2,,",",,8,,,2,,,,,,,,,,,,,,,,
,,,,,,,,,7,,,,,,i9,,'7,~,528,528,,i-512,i-512,"9,040","9,040",
Nottoway,Nottoway,,9,,3,,8,,5,11,11,,,,36,,16 : 342,16 : 342,16 : 342,16 : 342,,2.581,,"18,923","18,923",
Orange,,,3,,2,,9,,5,,,. .,. .,,19,,.3 6 2 5,.3 6 2 5,.3 6 2 5,.3 6 2 5,,"1,800",,"5,425","5,425",
Page,,,,11,11,,,,-,-,,-,-,,,,,,562,562,,,,,,
,,,7,,,,1 4,,,,,,,,3 2,,,,,,,,830,17392,17392,
Patrick,Patrick,,1 5,20,20,,60,,6,1,1,-,-,,102,,i -252,i -252,i -252,i -252,"11,i60","11,i60",,i 5 $412,i 5 $412,
Pittsylvania,Pittsylvania,Pittsylvania,13,20,20,,35',Ti,Ti,5,,,,,94,,1 9 . 0 8 ~ 1,1 9 . 0 8 ~ 1,1 9 . 0 8 ~ 1,1 9 . 0 8 ~ 1,,7?351,7?351,"26,435","26,435",
Powhatan,Powhatan,,7,,1,,8,,?,4,,-,-,,-2-9,,9,3,8,;,,"5,833",,"15,714","15,714",
Prince,Edward,Edward,7,,5,,8,,6,5,,,,,5~,,"- 
1.-2,.s-i,: .-","- 
1.-2,.s-i,: .-","- 
1.-2,.s-i,: .-","- 
1.-2,.s-i,: .-",,"2,781",,"1A,?35","1A,?35",
Prince,George,George,1,,,,5,,1,1,,,,,8,,L:?:s,L:?:s,,,,,289,i?' 068,i?' 068,
Prince,W i l l i a m,W i l l i a m,6,,L,,8,,1,.-,,,,,~9,,i-25;,i-25;,i-25;,i-25;,,,66:?-,1;921,1;921,
Princess,Princess,Anne,1,,-,,3,.,,3,1,-,-,,R,,"i ,.3~,;","i ,.3~,;","i ,.3~,;","i ,.3~,;",,,229,L24'73,L24'73,
Pula s k i,Pula s k i,,7,,5,,8,.,.,1,,,,,21,,,855,855,855,,2,858,"3,713","3,713",
Rappahannock,Rappahannock,Rappahannock,1,,4,,5,,,1,,,,,.--,,"&;.,",Ci>.q,Ci>.q,Ci>.q,,i p32?,i p32?,"2,336","2,336",
Richmond,Richmond,,3,,6,,15,,5,2,,.,~,.,3.-,,"7,869","7,869","7,869","7,869",,L .$96,,9 ~,6,5
Roanoke,Roanoke,,1 6,11,11,,7,,1,1,,,,,36,,2 $871,2 $871,2 $871,2 $871,,"2,408",,"5,279","5,279",
Rockbridge,Rockbridge,,8,15,15,,10,,1,1.,,,,,35,,,7(3LL7,7(3LL7,7(3LL7,,"3 ,168",,"3 ""880","3 ""880",
Rockingham,Rockingham,,9,23,23,,28,,i,-,,,,,61,,2?22-7,2?22-7,2?22-7,2?22-7,,"'3,866",,"6,093","6,093",
Russell,Russell,,6,,3,,L,,,1,,,,,14,,,,25,25,,;:.435,,"i,692","i,692",
Scott,,,13,11,11,,13,,-,-,,,,,,,,266,266,266,,,,,,
,,,,,,,,,,,,,,,3'7,,,,,,,"I,???",,17 599,17 599,
