Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”,Name: “Table 1 of 1 on page 12 of 30”
Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11,Table: 11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,8 .,,- Number,- Number,- Number,- Number,of,sawmills,sawmills,and,and,lumber,lumber,production,production,production,production,by,m i l l,c l a s s,c l a s s,in,"V i r g i n i a ,","V i r g i n i a ,","V i r g i n i a ,",1942.,
,,Range,Range,Range,o f,o f,,,,Sawmills,Sawmills,Sawmills,,,,,,Total,Total,Lumber,Lumber,Production,Production,Production,Production,,
Mill,,,,,,,,,Average,Average,Average,Average,Average,Average,Average,,,,,,,,,,,,
'lass Production,'lass Production,'lass Production,'lass Production,'lass Production,'lass Production,'lass Production,Number,Number,Daily,Daily,Daily,,Operating,Operating,Operating,Softwoods,Softwoods,Softwoods,Hardwoods,Hardwoods,Hardwoods,,,Total,Total,,
,,,,,,,,,Production,Production,Production,Production,,The,The,,,,,,,,,,,,
,,M,bd.,f t .,f t .,f t .,,,M,bd.,,f t .,-D,,,M,bd.,f t .,M,bd.,f t .,M,bd.,f t .,f t .,Percent,
Idle,,,,-,,,,657,,,-,,,-,,,,-,,,-,,,,-,-,
o,,,1-49,1-49,1-49,,,613,,,2,,,11,11,,"5,199","5,199",,"8,022","8,022",,,121~221,121~221,1.1,
1,,,50-499,50-499,50-499,50-499,"1,204","1,204",,,3,,,56,,,"113,289","113,289",,"115,495","115,495",,"228,784","228,784","228,784",18.9,
2,,,500-999,500-999,500-999,500-999,,454,,,5,,1 32,1 32,,,"222,150","222,150",,"95,746","95,746",,"317,896","317,896","317,896",26.2,
3,,"1,000-4,999","1,000-4,999","1,000-4,999","1,000-4,999","1,000-4,999",,328,,,8,,,189,,"390,839","390,839","390,839",,"125,215","125,215",,"516,054","516,054","516,054",42.6,
4,,"5,000-9,999","5,000-9,999","5,000-9,999","5,000-9,999","5,000-9,999",,6,,27,27,,,258,,,"27,477","27,477",,"16,010","16,010",,,"43,487","43,487",3.6,
5+,,,"10,000","10,000","10,000",+,,3,,120,120,,,269,,,"54,702","54,702",,"37,454","37,454",,,"92,156","92,156",7.6,
Total,,,,-,,,"3,265","3,265",,,6,,,79,,"8W ,656","8W ,656","8W ,656",,"397,942","397,942","1,211,598","1,211,598","1,211,598","1,211,598",100.0,
Table,9.,,- Lumber production,- Lumber production,- Lumber production,- Lumber production,- Lumber production,- Lumber production,- Lumber production,by,species,species,species,and m i l l,and m i l l,,c l a s s,,i n,"V i r g i n i a ,","V i r g i n i a ,",1942.,1942.,,,,
,,,,,,,,,,,,M i l l,M i l l,Class,Class,,,,,,,,,,,Per-,
Species,Species,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,1,,,2,,,3,,,4,,,5 +,',,,,cent,","
,,,,,M,bd.ft.,bd.ft.,M,bd.ft.,bd.ft.,M,bd.ft.,bd.ft.,M,b d - f t .,b d - f t .,M,bd.ft.,bd.ft.,M,bd.ft.,,M,bd.,f t .,,
SOFTWOOD$,SOFTWOOD$,SOFTWOOD$,SOFTWOOD$,,,,,,,,,,,,,,,,,,,,,,,,
Cedar,,,,,,,16,,46,46,,895,895,,222,,,,-,,"3,816",,,41995,41995,0 . 4,
Cypress,Cypress,,,,,,30,,518,518,,"1,314","1,314",,"2,040",,,,-,,"9,053",,,"12,955","12,955",1.1,
Hemlock,Hemlock,,,,,,133,,"2,291","2,291",,"1,314","1,314",,"3,832",,,"2,080","2,080",,"1,259",,,"10,909","10,909",0 . 9,
"P i n e ,",white,white,white,,,,952,,93522,93522,,"3,490","3,490",,590,,,,3,,"2,830",,,179387,179387,1 . 4,
"Pine,",yellow,yellow,yellow,,,"4,065","4,065","100,869","100,869","100,869","215,137","215,137","215,137","384,155","384,155",,"25,394","25,394","25,394","37,744","37,744",,,767?364,767?364,63.3,
Spruce,Spruce,,,,,,3,,43,43,,,-,,,-,,,-,,-,,,,46,Negl.,
Total,Total,,,,,"5,199","5,199","113,289","113,289","113,289","222,150","222,150","222,150","390,839","390,839",,"27,477","27,477","27,477","54,702","54,702",,,"813,656","813,656",6 7 . 1,
HARDWOODS,HARDWOODS,HARDWOODS,HARDWOODS,,,,,,,,,,,,,,,,,,,,,,,,
