Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”,Name: “Table 1 of 1 on page 21 of 30”
Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20,Table: 20
,,,,,,,,,,,,,,,,,,,,,
Table,16.,-,Kentucky,,( c o n t . ),( c o n t . ),( c o n t . ),( c o n t . ),,,,,,,,,,,,,
,,,A Class,A Class,A Class,A Class,A Class,A Class,A Class,A Class,,,,,,,,,,,
,,,,,,,,,,,,,,,Lumber Production,Lumber Production,Lumber Production,Lumber Production,Lumber Production,Lumber Production,
County,County,,,,,,,operati-,operati-,,,,,,,,,,,,
,,,Idle.,,,0,,1,2,3,4+,M i l l s,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,Softwoods Hardwoods,,Total,Total
,,,,,,,,,,,,,M,bd.,f t .,M,bd.,f t .,M,bd.,f t .
Montgomery,Montgomery,,3,,,4,,2,-,-,-,9,,,60,,,,,,254
Morgan,Morgan,,5,,9,,1,3,1,-,-,28,,,425,,"2,143","2,143",,"2,568","2,568"
Muhlenberg,Muhlenberg,,20,,24,24,,26,4,3,-,77,,,72,,"9,913","9,913",,"9,985","9,985"
Nelson,Nelson,,5,2,,1,,7,-,-,-,33,,,391,,726,726,,"1,117","1,117"
Ohio,,,8,1,,0,,11,5,1,-,3 5,,,10,,"6,278","6,278",,"6,288","6,288"
Oldh,,,-,,2,2,,3,-,-,-,5,,,1,,277,277,,,278
Owen??,,,4,,,2,,1,-,-,-,7,,,-,,233,233,,,233
Owsley,Owsley,,2,,,5,,6,-,2,-,15,,,73 9,,"6,096","6,096",,"6,835","6,835"
Pendleton,Pendleton,,2,,,4,,1,-,-,-,7,,,-,,148,148,,,148
Perry,,,6,1,,4,1,9,2,1,1,43,,"2,208","2,208",,"17,979","17,979",,"20,187","20,187"
Pike,,,18,,31,31,,36,5,10,-,100,,,315,,"26,511","26,511",,"26,826","26,826"
Powell,Powell,,3,,3,,1,7,1,-,-,24,,"1,850","1,850",,"2,123","2,123",,"3,973","3,973"
Pulaski,Pulaski,,1,0,,9,3,8,5,2,-,64,,"6,396","6,396",,"5,669","5,669",,"12,065","12,065"
Rockcastle,Rockcastle,,2,,1 2,1 2,,15,1,-,-,30,,,714,,"1,943","1,943",,"2,657","2,657"
Rowan,,,4,,8,,1,4,1,1,-,28,,"1,009","1,009",,"2,068","2,068",,"3,077","3,077"
,,,8,,,1,,1,2,1,-,26,,,621,,"5,825","5,825",,"6,446","6,446"
SRcottusse3,SRcottusse3,SRcottusse3,1,,,2,,1,-,-,-,4,,,-,,,68,,,68
Shelby,Shelby,,2,,3,3,,1,-,-,-,6,,,-,,138,138,,,138
Simpson,Simpson,,-,,3,3,,3,-,-,-,6,,,-,,454,454,,,454
Spencer,Spencer,,1,,1,1,,2,-,-,-,4,,,-,,181,181,,,181
Taylor,Taylor,,1,,,7,,4,1,-,-,13,,,-,,"1,347","1,347",,"1,347","1,347"
Todd,,,3,1,5,5,,6,2,-,-,26,,,,,,,,,
,,,,,,,,,,,,,,,23,,"2,704","2,704",,"2,727","2,727"
T~igg,T~igg,,1,,2,,1,0,1,1,-,15,,,-,,"4,479","4,479",,"4,479","4,479"
~rimbleg,~rimbleg,,6,1,0,0,,3,-,-,-,19,,,6,,43 1,43 1,,,43 7
Union,,,2,,,2,,2,-,1,-,7,,,35,,"2,128","2,128",,"2,163","2,163"
Warren,Warren,,2,,4,4,,9,-,-,-,15,,,480,,"1,120","1,120",,"1,600","1,600"
Washington,Washington,,-,,4,4,,1,-,-,-,5,,,2,,129,129,,,131
Wayne,,,1,,3,,1,2,5,2,-,23,,,771,,"10,477","10,477",,"11,248","11,248"
Webster,Webster,,3,,3,3,,4,-,-,-,10,,,-,,715,715,,,715
Whitley,Whitley,,4,,4,,3,3,3,-,-,44,,4 9 513,4 9 513,,"4,3 62","4,3 62",,"8,875","8,875"
Wolf e,,,2,,,4,,6,-,-,-,12,,,72,,"1,588","1,588",,"1,660","1,660"
Total,,,444 713,444 713,444 713,444 713,,906,157,80,7,21307,,"67,090","67,090","400,905","400,905","400,905","467,995","467,995","467,995"
Jl,Owen and,Owen and,G a l l a t i n,,combined t o,combined t o,combined t o,combined t o,combined t o,avoid,disclosing,data,data,o f,individual mills.,individual mills.,individual mills.,individual mills.,individual mills.,individual mills.,
2/,Scott,and,Woodford,Woodford,,combined t o,combined t o,combined t o,combined t o,avoid,disclosing,data,data,o f,individual mills.,individual mills.,individual mills.,individual mills.,individual mills.,individual mills.,
2/ Trihble,2/ Trihble,and,C a r r o l l,C a r r o l l,C a r r o l l,combined t o,combined t o,combined t o,combined t o,avoid,disclosing,disclosing,data,o f,individual m i l l s .,individual m i l l s .,individual m i l l s .,individual m i l l s .,individual m i l l s .,individual m i l l s .,
