Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”,Name: “Table 1 of 1 on page 62 of 74”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,37.--Volume,37.--Volume,37.--Volume,of,sawtimber,sawtimber,on,"timberland, by","timberland, by","timberland, by","timberland, by","species,","species,",size,"class,","class,",and,log,"grade, Virginia,","grade, Virginia,","grade, Virginia,","grade, Virginia,",1986,,,,,,,,,,,,,,,,
,,,,,,,,,,All,All,s r r e,classes,classes,,,,,,,,Trees,Trees,15.0,15.0,inches,inches,inches,d.b.h.,d.b.h.,d.b.h.,and,larger,larger,larger,,,,
,Speclee,Speclee,,,,,,,,,,,,Lag,grade,,,,,,,,,,,,,,Log,Log,,grade,,,,,,,
,,,,,,,All,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,
,,,,,,,grades,,,,,,,,,,,,,,grades,,,,,,,,,,,,,,,,,,
,,,,,,,,,I,,,,2,,,3,,4,,,,,,1,,,,,2,,,3,,,,,4,,
,,,,,,- - - -,- - - -,-.- -,-,-,-,- - - - -,- - - - -,,- ....- -,- ....- -,,Thousand board,Thousand board,Thousand board,feet.,,- - - -,- - - -,-,-,-,-,-,-,-,- - -,-,-,-,-,-,- -,
