Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”,Name: “Table 1 of 1 on page 43 of 74”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T a b l e,12.--Area,12.--Area,of,"t i m b e r l a n d ,","t i m b e r l a n d ,","t i m b e r l a n d ,","t i m b e r l a n d ,",,by,f o r e s t,f o r e s t,f o r e s t,t y p e,t y p e,t y p e,and,s t a n d - s i z e,s t a n d - s i z e,s t a n d - s i z e,s t a n d - s i z e,"class,","class,","class,","class,",,,,
"V i r g i n i a ,","V i r g i n i a ,",1986,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Stand-size,Stand-size,Stand-size,Stand-size,c l a s s,c l a s s,c l a s s,,,,,,,,,
,,,,,A1 1,A1 1,A1 1,,,,,,,,,,,,,,,,,,Nonstocked,Nonstocked,Nonstocked,Nonstocked
,F o r e s t,type,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,stands,stands,stands,,,,,,,,,,,,,Sapling-,Sapling-,Sapling-,Sapling-,,,areas,areas,
,,,,,,,,,,Sawtimber,Sawtimber,Sawtimber,Sawtimber,Sawtimber,Poletimber,Poletimber,Poletimber,Poletimber,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,seedling,seedling,seedling,seedling,,,,,
,,,,-,-,-,-,-,-,-,-,-,-,-,-,Acres,-,-,-,-,-,-,-,-,-,-,-,-
Softwood,,t y p e s :,,,,,,,,,,,,,,,,,,,,,,,,,,
White,pine-hemlock,pine-hemlock,pine-hemlock,,,"183,257","183,257","183,257",,,"117,536","117,536","117,536","117,536",,"33,457","33,457",,,,"32,264","32,264","32,264",,,,,--
Spruce-fir,Spruce-fir,Spruce-fir,,,,,,--,,,,,--,--,,,--,,,,,,- -,,,,,--
Longleaf,Longleaf,p i n e,,,,,,--,,,,,--,--,,,--,,,,,,--,,,,,--
Slash,pine,pine,,,,,,--,,,,,--,--,,,--,,,,,,--,,,,,--
Loblolly,Loblolly,pine,,,"1,772,630","1,772,630","1,772,630","1,772,630",,,"466,225","466,225","466,225","466,225",,"674,955","674,955",,,,"612,504","612,504","612,504",,,"18,946","18,946","18,946"
Shortleaf,Shortleaf,pine,,,,"146,573","146,573","146,573",,,"78,437","78,437","78,437","78,437",,"51,407","51,407",,,,"16,729","16,729","16,729",,,,,--
