Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”,Name: “Table 1 of 1 on page 29 of 74”
Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29,Table: 29
,,,,,,,,,
Table,4.--Area,4.--Area,of,"timberland, by",county,and,stand-sire,"class, Virginia,","class, Virginia,"
1986,,,,,,,,,
,,,,,Stand-sire,Stand-sire,class,,
,,,,A1 1,,,,,None~ucked
,county,county,,,,,,,
,,,,BCands,,,,,
,,,,,Sawtimber,Poletimber,Poletimber,,
,,,,,,,,seedling,
,,,,,,Acr-es- -,Acr-es- -,,
Accomack,Accomack,,,,,"21,246","21,246",,
Albemarle,Albemarle,Albemarle,,,,"89,769","89,769",,
Alleghany,Alleghany,Alleghany,,,,"107,025","107,025",,
Amelia,Amelia,,,,,"39,769","39,769",,
Amher4t,Amher4t,,,,,"72,826","72,826",,
Appomattox,Appomattox,Appomattox,,,,"54,095","54,095",,
Arlington,Arlington,Arlington,,,,,--,,
Augus r a,Augus r a,,,,,"113,664","113,664",,
Bath,,,,,,"118,800","118,800",,
Bedford,Bedford,,,,,"81,405","81,405",,
Bland,,,,,,"56,554","56,554",,
BoteZourt,BoteZourt,BoteZourt,,,,"76,013","76,013",,
Brunsvick,Brunsvick,Brunsvick,,,,"97,898","97,898",,
Buchanan,Buchanan,,,,,"83,044","83,044",,
Buckingham,Buckingham,Buckingham,,,,"113,983","113,983",,
Campbell,Campbell,,,,,"102,532","102,532",,
Caroline,Caroline,,,,,87.090,87.090,,
Carroll,Carroll,,,,,"39,192","39,192",,
Charles,Charles,Ciry,,,,"21,774","21,774",,
Charlotte,Charlotte,Charlotte,,,,"79,149","79,149",,
Chesapeake,Chesapeake,Chesapeake,,,,"16,596","16,596",,
Chesterfield,Chesterfield,Chesterfield,,,,"94,408","94,408",,
Clarke,Clarke,,,,,,"8,668",,
Craig,,,,,,"82,474","82,474",,
Culpepei,Culpepei,,,,,"46,672","46,672",,
Cumberland,Cumberland,Cumberland,,,,"35,423","35,423",,
Dickeosan,Dickeosan,Dickeosan,,,,"28,752","28,752",,
Dinwiddie,Dinwiddie,Dinwiddie,,,,"88,739","88,739",,
Essex,,,,,,"38,432","38,432",,
Fairfan,Fairfan,,,,,"23,606","23,606",,
Fauquier,Fauquier,,,,,"61,643","61,643",,
Floyd,,,,,,"49,151","49,151",,
Fluvanna,Fluvanna,,,,,"48,951","48,951",,
Franklin,Franklin,,,,,"90,005","90,005",,
Frederick,Frederick,Frederick,,,,"39,436","39,436",,
Giles,,,,,,"73,220","73,220",,
Gloucester,Gloucester,Gloucester,,,,"33,108","33,108",,
Goochland,Goochland,Goochland,,,,41.496,41.496,,
Grayson,Grayson,,,,,,,,
crerne,,,,,,,,,
Grernsville,Grernsville,Grernsville,,,,,,,
Halifax,Halifax,,,,,,,,
HampCon,HampCon,,,,,,,,
Hanover,Hanover,,,,,,,,
Henrico,Henrico,,,"66,721",19;881,"26,262","26,262",20;578,--
Henry,,,,"175,769","72,511","51,419","51,419","51,839",--
Highland,Highland,,,"194,889","108,431","72,732","72,732","13,726",-.
Isle,o f,Wight,,"117,326","57,513","21,546","21,546","38,267",--
James,City,City,,"59,954","35,782","17,121","17,121","7,051",.-
King,and,Queen,,"153,245","62,359","49,169","49,169","37,971","3,746"
King,George,George,,"70,322","50,947",,"8,782","10,384",209
King,William,William,,"113,531","31,460","53,997","53,997","25,661","2,419"
