Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”,Name: “Table 1 of 1 on page 60 of 74”
Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59,Table: 59
,,,,,,,,,,,,,,,,,,,,,,,,,,,
T a b l e,35.--Volume,35.--Volume,35.--Volume,35.--Volume,o f,g r o w i n g,a t o c k,o n,"t i m b e r l a n d ,","t i m b e r l a n d ,","t i m b e r l a n d ,",b y,e p e c i e a,e p e c i e a,,and,d i a m e t e r,d i a m e t e r,"c l a s s ,","V i r g i n i a ,","V i r g i n i a ,",1986,,,,,
,,,,,,,,,,,,,,,,,,,-~,,--,,~-,,-,-,
,,,,,,,,,,,,,,,,,Diameter,Diameter,c l a s e,( i n c h e s,ac,b r e a s t,h e i g h t ),,,,
,,,,,,,All,,,,,,,,,,,,,,,,,,,,
,,Species,Species,Species,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,classes,classes,,5.0-,5.0-,,7.0-,,,9.0-,9.0-,,11.0-,13.0-,13.0-,15.0-,15.0-,17.0-,19.0-,21.0-,2 9 . 0,and
,,,,,,,,,6.9,6.9,,8.5,,,10.9,10.9,,12.9,14.9,14.9,16.9,16.9,18.9,20.9,28.9,larger,larger
,,,,,,-,-,-,-,.,-,-,-,-,-,-,-,-,T-hou-sand-c u-b i c-f e e- t,T-hou-sand-c u-b i c-f e e- t,T-hou-sand-c u-b i c-f e e- t,-- - --- -- -,-- - --- -- -,,,,
Softwood:,Softwood:,,,,,,,,,,,,,,,,,,,,,,,,,,
Longleaf,Longleaf,p i n e,p i n e,p i n e,,,,,,,,,,,,,,,,,,,,,,,
Slash,pine,pine,,,,,,,,,,,,,,,,,,,,,,,,,
S h o r t l e a f,S h o r t l e a f,,pine,pine,,,,,,,,,,,,,,,,,,,,,,,
Lablo1 l y,Lablo1 l y,~,i,n,e,,,,,,,,,,,,,,,,,,,,,,
Pond,p i n e,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,Virginia,pine,pine,pine,,,,,,,,,,,,,,,,,,,,,,,
Pitch,pinr,pinr,,,,,,,,,,,,,,,,,,,,,,,,,
Table,nounrain,nounrain,nounrain,nounrain,pine,,,,,,,,,,,,,,,,,,,,,,
Spruce,,p i n e,,,,,,,,,,,,,,,,,,,,,,,,,
Sand,p i n e,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern,Eastern,white,white,white,pine,,,,,,,,,,,,,,,,,,,,,,
E a s t e r n,E a s t e r n,hemlock,hemlock,hemlock,,,,,,,,,,,,,,,,,,,,,,,
S p r u c e,,and,f i r,f i r,,,,,,,,,,,,,,,,,,,,,,,
Baldcypress,Baldcypress,Baldcypress,,,,,,,,,,,,,,,,,,,,,,,,,
Pondcypress,Pondcypress,Pondcypress,,,,,,,,,,,,,,,,,,,,,,,,,
Cedars,,,,,,,,,,,,,,,,,,,,,,,,,,,
T o t a l,T o t a l,softwoods,softwoods,softwoods,softwoods,,,,,,,,,,,,,,,,,,,,,,
Hardwood:,Hardwood:,,,,,,,,,,,,,,,,,,,,,,,,,,
S e l e c t,,white,white,oaks,oaks,,,,,,,,,,,,,,,,,,,,,,
S e l e c r,,r e d,oaks,oaks,,,,,,,,,,,,,,,,,,,,,,,
Chestour,Chestour,oak,oak,,,,,,,,,,,,,,,,,,,,,,,,
Ocher,w h i t e,w h i t e,,o a k s,o a k s,,,,,,,,,,,,,,,,,,,,,,
Orher,red,,oaks,oaks,,,,,,,,,,,,,,,,,,,,,,,
H~ckory,H~ckory,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow,,b i r c h,b i r c h,,,,,,,,,,,,,,,,,,,,,,,,
Hard'maple,Hard'maple,Hard'maple,,,,,,,,,,,,,,,,,,,,,,,,,
S o f t,maple,maple,,,,,,,,,,,,,,,,,,,,,,,,,
Beech,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sveetgm,Sveetgm,,,,,,,,,,,,,,,,,,,,,,,,,,
T u p e l o,and,and,blackgum,blackgum,blackgum,,,,,,,,,,,,,,,,,,,,,,
Ash,,,,,,,,,,,,,,,,,,,,,,,,,,,
c a t tonwood,c a t tonwood,c a t tonwood,,,,,,,,,,,,,,,,,,,,,,,,,
Basswood,Basswood,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow-poplar,Yellow-poplar,Yellow-poplar,Yellow-poplar,,,,,,,,,,,,,,,,,,,,,,,,
Bay,and,m a g n o l i a,m a g n o l i a,m a g n o l i a,,,,,,,,,,,,,,,,,,,,,,,
Black,c h e r r y,c h e r r y,c h e r r y,,,,,,,,,,,,,,,,,,,,,,,,
Black,walnut,walnut,walnut,,,,,,,,,,,,,,,,,,,,,,,,
Sycamore,Sycamore,,,,,,,,,,,,,,,,,,,,,,,,,,
Black,l o c u a t,l o c u a t,l o c u a t,,,,,,,,,,,,,,,,,,,,,,,,
Elm,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,eastern,eastern,eastern,eastern,,,,,,,,,,,,,,,,,,,,,,,
herdvoode,herdvoode,herdvoode,,,,,,,,,,,,,,,,,,,,,,,,,
T o t a l,T o t a l,hardwoods,hardwoods,hardwoods,hardwoods,,,,,,,,,,,,,,,,,,,,,,
