Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”,Name: “Table 1 of 1 on page 56 of 74”
Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55,Table: 55
,,,,,,,,,,,,,,,,,,,,,,,,,,,
T a b l e,31.--Volume,31.--Volume,31.--Volume,o f,,ti-mber,ti-mber,o n,"t i m b e r l a n d ,","t i m b e r l a n d ,","t i m b e r l a n d ,","t i m b e r l a n d ,","t i m b e r l a n d ,","t i m b e r l a n d ,",by,c l a s s,o f,t i m b e r,a n d,s p e c i e s,s p e c i e s,s p e c i e s,s p e c i e s,"g r o u p ,","g r o u p ,","g r o u p ,",
"V i r g i n i a ,",,1986,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,A1 1,A1 1,,,,,,,Other,,Soft,,,,,Hard,Hard,Hard,
Class,Class,of,timber,timber,,,,,,,,,,Pine,Pine,,,,,,,,,,,,
,,,,,,,,species,species,species,species,,,,,,softwood,hardwood,hardwood,hardwood,,,hardwood,hardwood,hardwood,hardwood,
,,,,,,,-,-,-,-,-,.-,-,-,-,Thousand,cubic,f e e t,-,-,-,-,-,-,-,-,-
S a w t i m b e r,S a w t i m b e r,trees:,trees:,,,,,,,,,,,,,,,,,,,,,,,,
Saw-log,,p o r t i o n,p o r t i o n,p o r t i o n,,,"11,407,147","11,407,147","11,407,147","11,407,147","11,407,147",,"2,612,211","2,612,211","2,612,211","2,612,211","575,365","2,970,541","2,970,541","2,970,541","2,970,541",,"5,249,030","5,249,030","5,249,030","5,249,030",
,,,,,a,,,,,,,,,,,,,,,,,,,,,,
Upper-stem,Upper-stem,,p o r t i o n,p o r t i o n,,,"3,667,592","3,667,592","3,667,592","3,667,592","3,667,592",,,"522,501","522,501","522,501","61,045",,"898,254","898,254","898,254",,"2,185,792","2,185,792","2,185,792","2,185,792",
Total,Total,,,,,,"15,074,739","15,074,739","15,074,739","15,074,739","15,074,739",,"3,134,712","3,134,712","3,134,712","3,134,712","636,410","3,868,795","3,868,795","3,868,795","3,868,795",,"7,434,822","7,434,822","7,434,822","7,434,822",
Poletimber,Poletimber,t r e e s,t r e e s,,,,"7,878,081","7,878,081","7,878,081","7,878,081","7,878,081",,"1,948,224","1,948,224","1,948,224","1,948,224","178,355","2,090,766","2,090,766","2,090,766","2,090,766",,"3,660,736","3,660,736","3,660,736","3,660,736",
A l l,g r o w i n g - s t o c k,g r o w i n g - s t o c k,g r o w i n g - s t o c k,g r o w i n g - s t o c k,trses,,"2 2 , 9 5 2 , 8 2 0","2 2 , 9 5 2 , 8 2 0","2 2 , 9 5 2 , 8 2 0","2 2 , 9 5 2 , 8 2 0","2 2 , 9 5 2 , 8 2 0",,"5,082,936","5,082,936","5,082,936","5,082,936","814,765","5,959,561","5,959,561","5,959,561","5,959,561",,"11,095,558","11,095,558","11,095,558","11,095,558",
Rough,t r e e s :,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawtimber,Sawtimber,s i z e,s i z e,,,,,"951,118","951,118","951,118","951,118",,,"36,121","36,121","36,121","10,294",,"243,399","243,399","243,399",,,"661,304","661,304","661,304",
Poletimber,Poletimber,,s i z e,s i z e,,,"1,136,770","1,136,770","1,136,770","1,136,770","1,136,770",,,"36,599","36,599","36,599","6,537",,"295,871","295,871","295,871",,,"797,763","797,763","797,763",
,,,,,,,,,,,,,,,,,,,,,,---,---,---,---,---,
Total,,,,,,,"2,087,888","2,087,888","2,087,888","2,087,888","2,087,888",,,"72,720","72,720","72,720","16,831",,"539,270","539,270","539,270",,"1,459,067","1,459,067","1,459,067","1,459,067",
Rotten,trees:,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawtimber,Sawtimber,s i z e,s i z e,,,,,"270,160","270,160","270,160","270,160",,,,1.904,1.904,"2,495",,"90,753","90,753","90,753",,,"175,008","175,008","175,008",
Poletimber,Poletimber,,s i z e,,,,,,"27,182","27,182","27,182",,,,,275,--,,"12,848","12,848","12,848",,,"14,059","14,059","14,059",
,,,,,,,,,,,,,,,,,,,,,,,,,,,-
Total,,,,,,.-,,"297,342","297,342","297,342","297,342",,,,"2,179","2,179","2,495",,103.401,103.401,103.401,,,"1 8 9 , 0 6 7-","1 8 9 , 0 6 7-","1 8 9 , 0 6 7-","1 8 9 , 0 6 7-"
S a l v a b l e,d e a d,d e a d,trees:,trees:,,,,,,,,,,,,,,,,,,,,,,,
Sawtimber,Sawtimber,s i z e,s i z e,,,,,,"44,475","44,475","44,475",,,"17,891","17,891","17,891",758,,"4,488","4,488","4,488",,,"21,338","21,338","21,338",
Poletimber,Poletimber,,s i z e,,,,,,"41,198","41,198","41,198",,,"17,954","17,954","17,954",781,,"5,262","5,262","5,262",,,"17,201","17,201","17,201",
Total,,,,,,,,,"85,673","85,673","85,673",,,"35,845","35,845","35,845","1,539",,"9,750","9,750","9,750",,,"38,539","38,539","38,539",
"Total,",a l l,timber,timber,,,,"25,423,723","25,423,723","25,423,723","25,423,723","25,423,723",,"5,193,680","5,193,680","5,193,680","5,193,680","835,630","6,612,182","6,612,182","6,612,182","6,612,182",,"12,782,231","12,782,231","12,782,231","12,782,231",
a,,,,,,,,,,,,,,,,,,,,,,,,,,,
I n c l u d e s,,c u l l,s e c t i o v s,s e c t i o v s,s e c t i o v s,i n,t h e,t h e,saw-log,saw-log,saw-log,saw-log,portion.,portion.,portion.,portion.,,,,,,,,,,,
