Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”,Name: “Table 1 of 1 on page 28 of 74”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,,,,,,,,,
T a b l e,).--Area,).--Area,of,"t i m b e r l a n d ,","t i m b e r l a n d ,",b y,c o u n t y,and,f o r e s t - t y p e,"g r o u p ,","V i r g i n i a ,",1986,1986,,,,,,,
,,,,,,,,,,,Forest-type,Forest-type,Forest-type,group,,,,,,
,,,,A l l,type,,,,,,,,,,,,,,,
,,,,groups,groups,White,p i n e -,Spruce-,Longleaf-,Loblolly-,Loblolly-,Oak-,Oak-,Oak-,Oak-gum-,Elm-ash-,Elm-ash-,Elm-ash-,Maple-beech-,Maple-beech-
,,,,,,hemlock,hemlock,fir,slash,shortleaf,shortleaf,pine,pine,hickory,cypress,cottonwood,cottonwood,cottonwood,birch,birch
,,,,,,,,,,- -,- - Acr-eo -,-,- -,,,- - -,-,-,- - -,-
,,,,,,,,,,,,,,,,,--,--,,--
Accomack,Accomack,,,,,,,,,,,,,,,,,,,
Albelnarle,Albelnarle,Albelnarle,,,,,,,,,,,,,,"3,565","3,565","3,565",,--
Alleghany,Alleghany,Alleghany,,,,,,,,,,,,,,,..,..,"14,285","14,285"
Amelia,Amelia,,,,,,,,,,,,,,,,--,--,,.-
Amherst,Amherst,,,,,,,,,,,,,,,,--,--,,--
Appomattox,Appomattox,Appomattox,,,,,,,,,,,,,,"4,183","4,183","4,183",,--
Arlington,Arlington,Arlington,,,,,,,,,,,,,,,--,--,,.-
,,,,,,,,,,,,,,,,,--,--,,--
Augusta,Augusta,,,,,,,,,,,,,,,,,,,
Bath,,,,,,,,,,,,,,,,,.-,.-,,--
Bedford,Bedford,,,,,,,,,,,,,,,,--,--,,--
Bland,,,,,,,,,,,,,,,,,--,--,,..
Botrtaurt,Botrtaurt,Botrtaurt,,,,,,,,,,,,,,"4,102","4,102","4,102",,.-
Brunsuick,Brunsuick,Brunsuick,,,,,,,,,,,,,,"14,851","14,851","14,851",,--
Buchanan,Buchanan,,,,,,,,,,,,,,,,..,..,"18,884","18,884"
Buckingham,Buckingham,Buckingham,,,,,,,,,,,,,,"11,739","11,739","11,739",,--
Campbell,Campbell,,,,,,,,,,,,,,,"3,714","3,714","3,714",,--
Caroline,Caroline,,,,,,,,,,,,,,,"11,203","11,203","11,203",,--
Carroll,Carroll,,,,,,,,,,,,,,,,..,..,,--
