Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”,Name: “Table 1 of 1 on page 42 of 74”
Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42,Table: 42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table,11.--Area,of,"timberland, by","timberland, by","timberland, by","timberland, by","timberland, by",ownership,ownership,ownership,ownership,ownership,ownership,and,and,stocking,stocking,stocking,stocking,classes,classes,classes,classes,classes,of,growing-stock,growing-stock,growing-stock,growing-stock,growing-stock,growing-stock,growing-stock,growing-stock,"trees,","trees,","trees,"
"Virginia,",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Stocking,Stocking,Stocking,Stocking,Stocking,class,class,class,(percent)a,(percent)a,(percent)a,(percent)a,(percent)a,(percent)a,,,,,,
,Ownership,Ownership,,,A1 1,A1 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,class,,,classes,classes,classes,classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,>,,130,130,,,100-130,100-130,100-130,100-130,,,60-99,60-99,60-99,,,,16.7-59,16.7-59,16.7-59,16.7-59,,"
    ",16.7,16.7,16.7
,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,c,r,e,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,-,-,-,-,,,,,,,,,,,,,,
National,Forest,,,"1,486,459","1,486,459","1,486,459","1,486,459","1,486,459",,"49,943","49,943","49,943","49,943",,,"327,295","327,295","327,295","327,295",,,"785,995","785,995","785,995","785,995",,,"314,966","314,966","314,966","314,966",,,"8,260","8,260","8,260"
Other,public,,,"507,601","507,601","507,601","507,601","507,601",,"39,953","39,953","39,953","39,953",,,"184,904","184,904","184,904","184,904",,,"220,340","220,340","220,340","220,340",,,"58,174","58,174","58,174","58,174",,,"4,230","4,230","4,230"
Forest,industry,,,"1,833,811","1,833,811","1,833,811","1,833,811","1,833,811",,"148,433","148,433","148,433","148,433",,,"870,267","870,267","870,267","870,267",,,"664,492","664,492","664,492","664,492",,,"121,637","121,637","121,637","121,637",,"28,982","28,982","28,982","28,982"
Forest,industry-leased,industry-leased,,,"19,438","19,438","19,438","19,438",,,"4,035","4,035","4,035",,,,"14,035","14,035","14,035",,,,,,30,,,,"1,338","1,338","1,338","1,338",,,--,--
Other,private,,"11,588,527","11,588,527","11,588,527","11,588,527","11,588,527","11,588,527",,"447,761","447,761","447,761","447,761",,"3,650,925","3,650,925","3,650,925","3,650,925","3,650,925",,"5,573,819","5,573,819","5,573,819","5,573,819","5,573,819",,"1,759,688","1,759,688","1,759,688","1,759,688","1,759,688","1,759,688","156,334","156,334","156,334","156,334"
All,ownerships,ownerships,"15,435,836","15,435,836","15,435,836","15,435,836","15,435,836","15,435,836",,"690,125","690,125","690,125","690,125",,"5,047,426","5,047,426","5,047,426","5,047,426","5,047,426",,"7,244,676","7,244,676","7,244,676","7,244,676","7,244,676","7,244,676","2,255,803","2,255,803","2,255,803","2,255,803","2,255,803","2,255,803","197,806","197,806","197,806","197,806"
a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
See,stocking,standards,on,page,page,page,16.,16.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
