Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”,Name: “Table 1 of 1 on page 66 of 74”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,,,,,,,,,,,,,,
T a b l e,41.--Net,41.--Net,a n n u a l,growth,and,removals,removals,removals,removals,o f,l i v e,t i m b e r,and,growing,growing,growing,growing,growing
s t o c k,on,"t i m b e r l a n d ,","t i m b e r l a n d ,",by,"s p e c i e s ,","V i r g i n i a ,","V i r g i n i a ,","V i r g i n i a ,","V i r g i n i a ,",1985,1985,,,,,,,
,,,,,,Live,Live,,timbera,timbera,,G r o w ~ n gs t o c k,G r o w ~ n gs t o c k,G r o w ~ n gs t o c k,G r o w ~ n gs t o c k,G r o w ~ n gs t o c k,G r o w ~ n gs t o c k,
,,Species,,,Net,Net,,,,Annual,Annual,Net,,,Annual,Annual,Annual,Annual
,,,,,annual,annual,annual,,,timber,timber,annual,annual,,timber,timber,timber,timber
,,,,,growth,growth,growth,,,removals,removals,growth,growth,,removals,removals,removals,removals
,,,,,-,-,-,-,-,Thousand,Thousand,c u b i c,f e e t,-,-,-,-,-
Softwood:,Softwood:,,,,,,,,,,,,,,,,,
Yellow,Yellow,p i n e s,,,"199,353","199,353","199,353",,,"199,327","199,327","198,779","198,779",,"196,809","196,809","196,809","196,809"
Eastern,Eastern,white,pine,,"21,989","21,989","21,989",,,"5,325","5,325","21,975","21,975",,,"5,242","5,242","5,242"
S p r u c e,S p r u c e,and,f i r,,,43,43,,,--,--,,43,,,,--,--
Cypress,Cypress,,,,"1,026","1,026","1,026",,,"1,989","1,989","1,026","1,026",,,"1,989","1,989","1,989"
O t h e r,O t h e r,e a s t e r n,softwoods,softwoods,"7,261","7,261","7,261",,,2.422,2.422,7.203,7.203,,,2.296,2.296,2.296
,T o t a l,softwoods,softwoods,,,,,,,,,,,,,,,
Hardwood:,Hardwood:,,,,,,,,,,,,,,,,,
S e l e c t,S e l e c t,w h i t e,and,,,,,,,,,,,,,,,
,r e d,oaks,,,,,,,,,,,,,,,,
O t h e r,O t h e r,w h i t e,and,,,,,,,,,,,,,,,
,r e d,oaks,,,,,,,,,,,,,,,,
Hickory,Hickory,,,,,,,,,,,,,,,,,
Yellow,Yellow,b i r c h,,,,,,,,,,,,,,,,
Hard,maple,maple,,,,,,,,,,,,,,,,
Swee tgum,Swee tgum,Swee tgum,,,,,,,,,,,,,,,,
"Ash,","w a l n u t ,","w a l n u t ,",and,,,,,,,,,,,,,,,
,black,cherry,,,,,,,,,,,,,,,,
Yellow-poplar,Yellow-poplar,Yellow-poplar,,,,,,,,,,,,,,,,
T u p e l o,T u p e l o,and,blackgum,,,,,,,,,,,,,,,
Bay,and,m a g n o l i a,m a g n o l i a,,,,,,,,,,,,,,,
O t h e r,O t h e r,e a s t e r n,hardwoods,hardwoods,,,,,,,,,,,,,,
,T o t a l,hardwoods,hardwoods,,"592,833","592,833","592,833",,"310,662","310,662","310,662","572,618","572,618",,"273,511","273,511","273,511","273,511"
All,s~ecies,s~ecies,,,822.505,822.505,822.505,,519.725,519.725,519.725,801.644,801.644,,479.847,479.847,479.847,479.847
%erchantable,%erchantable,%erchantable,p o r t i o n,only.,,,,,,,,,,,,,,
