Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”,Name: “Table 1 of 1 on page 34 of 74”
Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34,Table: 34
,,,,,,,,,,,,,,,,,,
Table,6.--Area,6.--Area,o f,"timberland,","timberland,","timberland,",,by,county,county,and,stocking,claaa,of,growing-stock,growing-stock,growing-stock,growing-stock
"trees,","Virginia,","Virginia,","Virginia,",1986--Continued,1986--Continued,1986--Continued,1986--Continued,1986--Continued,,,,,,,,,,
,,,,A11,A11,,,,,,Stocking,class,,,,,,
,county,county,,,,,,,,,,,,,,,,
,,,,classes,classes,,,,,,,,,,,,,
,,,,,,,,>,130,100-130,100-130,60-99,60-99,,16.7-59,16.7-59,"
    ",16.7
,,,,-,-,-,-,-,.,-,-- A-cr-e-s-. -.-,-- A-cr-e-s-. -.-,-,- -,-,- .-,- .- -,- .- -
Lancastrr,Lancastrr,Lancastrr,,"52,896","52,896",,,"5,682","5,682",,"12,115","21,937","21,937",,,"13,162",,-.
Lee,,,,"148,685","148,685",,,"4,599","4,599",,"27,469","83,510","83,510",,,"31,087",,--
Loudoun,,,,"100,175","100,175",,,,--,,"28,772","61,071","61,071",,,"10,132",,--
Louisa,,,,"232,229","232,229",,,"6,723","6,723",,"84,124","120,758","120,758",,"20,624","20,624",,--
Lunrnburg,Lunrnburg,Lunrnburg,,"208,183","208,183",,"10,761","10,761","10,761",,"98,298","82,077","82,077",,"17,047","17,047",,--
Madison,,,,"86,031","86,031",,,"3,690","3,690",,"27,880","39,709","39,709",,,"14,758",,--
Hachews,,,,"35,237","35,237",,,"2,519","2,519",,"20,122",,"7,559",,,"5,037",,--
Mecklenburg,Mecklenburg,Mecklenburg,,"259,926","259,926",,,"8,485","8,485",,"110,436","117,968","117,968",,"23,037","23,037",,--
Middlesex,Middlesex,Middlesex,,"51,470","51,470",,,3.527,3.527,,18.246,"26,400","26,400",,,"3,297",,--
Montgomery,Montgomery,Montgomery,,"146,000","146,000",,,"5,825","5,825",,"54,684","63,469","63,469",,"22,022","22,022",,--
