Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”,Name: “Table 1 of 1 on page 21 of 74”
Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21,Table: 21
,,,,,,,,,,,,,,,,,,
,,,,,,,,,S t o c k i n g,S t o c k i n g,S t o c k i n g,Standard,Standard,,,,,
,,,,,,,,Minimum,Minimum,number,number,o f,Minimum,Minimum,Minimum,b a s a l,a r e a,
,,,,D.b.h.,D.b.h.,D.b.h.,D.b.h.,,,,,,,,,,,
,,,,,,,,t r e e s,t r e e s,per,acre,,,,per,a c r e,,
,,,,class,class,class,class,,,,,,,,,,,
,,,,,,,,for,f u l l,stocking,stocking,stocking,for,f u l l,f u l l,stocking,stocking,
,,,,Seedlings,Seedlings,Seedlings,Seedlings,,,600,,,,,,,,
,,,,,,2,,,,560,,,,,,,,
,,,,,,4,,,,460,,,,,,,,
,,,,,,6,,,,340,,,,,,,,
,,,,,,8,,,,240,,,,,,,,
,,,,,10,10,,,,155,,,,,,,,
,,,,,12,12,,,,115,,,,,,,,
,,,,,14,14,,,,90,,,,,,,,
,,,,,16,16,,,,72,,,,,,,,
,,,,,18,18,,,,60,,,,,,,,
,,,,,2 0,2 0,,,,5 1,,,,,,,,
Conversion,Conversion,Conversion,Conversion,f a c t o r s,f a c t o r s,f a c t o r s,f a c t o r s,,,,,,,,,,,
,,,,,,,Cubic,f e e t,o f,wood,,p e r,a v e r a g e,,c o r d,,,
,,,,,,,,,(excluding,(excluding,(excluding,hark),,,,,,
,,,,,D.b.h.,D.b.h.,D.b.h.,,A1 1,,,,Other,,,,,
,,,,,,,,,,Pine,Pine,,,,,Hardwood,Hardwood,
,,,,,class,class,class,species,species,,,,softwood,softwood,,,,
,,,,Aver a c e,Aver a c e,Aver a c e,Aver a c e,,74.6,72.0,72.0,,84.8,,,74.9,,
,,,,M e t r i c,M e t r i c,M e t r i c,M e t r i c,e q u i v a l e n t s,e q u i v a l e n t s,of,u n i t s,u n i t s,used,i n,t h i s,r e p o r t,r e p o r t,
1,a c r e,=,"4 , 0 4 6 . 8 6","4 , 0 4 6 . 8 6","4 , 0 4 6 . 8 6","4 , 0 4 6 . 8 6",s q u a r e,s q u a r e,m e t e r s,o r,0.404686,0.404686,h e c t a r e,h e c t a r e,h e c t a r e,,,
1 c u b i c,1 c u b i c,,f o o t,f o o t,=,0.028317,0.028317,,c u b i c,m e t e r,,,,,,,,
1,i n c h,=,2 . 5 4,2 . 5 4,,c e n t i m e t e r s,c e n t i m e t e r s,c e n t i m e t e r s,o r,0.0254,,m e t e r,,,,,,
B r e a s t,B r e a s t,h e i g h t,h e i g h t,h e i g h t,,=,1.4,m e t e r s,ahove,ground,ground,ground,l e v e l,,,,,
1,s q u a r e,s q u a r e,,f o o t,=,=,9 2 9 . 0 3,s q u a r e,s q u a r e,c e n t i m e t e r s,c e n t i m e t e r s,c e n t i m e t e r s,o r,0.0929,0.0929,s q u a r e,m e t e r,m e t e r
1,s q u a r e,s q u a r e,,f o o t,,p e r,a c r e,b a s a l,b a s a l,a r e a,t,0.229568,0.229568,s q u a r e,s q u a r e,m e t e r,p e r,h e c t a r e
1,pound,,=,0 . 4 5 4,0 . 4 5 4,0 . 4 5 4,k i l o g r a m,k i l o g r a m,,,,,,,,,,
1,t o n,=,0.907,0.907,m e t r i c,m e t r i c,m e t r i c,t o n,,,,,,,,,,
