Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”,Name: “Table 1 of 1 on page 69 of 74”
Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68,Table: 68
,,,,,,,,,,,,
Table,44.--Mortality,44.--Mortality,44.--Mortality,of,live,"timber,","timber,",growing,growing,"stock, and","stock, and",
sawtimber,sawtimber,on,"timberland, by","timberland, by","timberland, by","species, Virginia,","species, Virginia,","species, Virginia,","species, Virginia,","species, Virginia,",1985,
,,,,,,Live,Live,,Growing,Growing,,
,,Species,Species,,,,,,,,,
,,,,,,timbera,timbera,,stock,stock,Sawtimber,Sawtimber
,,,,,-,--,--,-,,,,
,,,,,,,Thousand,Thousand,,,Thousand,Thousand
,,,,,,- -,cubic,feet,-,-,board,feet
Scftwood:,Scftwood:,,,,,,,,,,,
Yellow,Yellow,pines,,,,"73,934","73,934",,"69,199","69,199","154,247","154,247"
Eastern,Eastern,white,pine,,,"1,914","1,914",,"1,688","1,688","5,992","5,992"
Spruce,Spruce,and,fir,,,,--,,--,--,,--
Cypress,Cypress,,,,,,--,,--,--,,--
Other,Other,eastern,softwoods,softwoods,softwoods,"1,448","1,448",,"1,282","1,282","1,758","1,758"
,Total,softwoods,softwoods,,,"77,296","77,296",,"72,169","72,169","161,997","161,997"
Hardwood:,Hardwood:,,,,,,,,,,,
Select,Select,white,and,,,,,,,,,
,red,oaks,,,,"21,472","21,472",,"13,704","13,704","39,977","39,977"
Other,Other,white,and,,,,,,,,,
,red,oaks,,,,"51,945","51,945",,"36,932","36,932","93,081","93,081"
Hickory,Hickory,,,,,"13,132","13,132",,"9,699","9,699","22,965","22,965"
Yellow,Yellow,birch,,,,,208,,208,208,"1,047","1,047"
Hard,maple,maple,,,,,697,,271,271,"1,536","1,536"
Sweetgum,Sweetgum,Sweetgum,,,,"4,883","4,883",,"3,576","3,576","5,634","5,634"
"Ash,","walnut,","walnut,",and,,,,,,,,,
,black,cherry,cherry,,,"6,849","6,849",,"3,185","3,185","8,890","8,890"
Yellow-poplar,Yellow-poplar,Yellow-poplar,,,,"7,371","7,371",,"5,988","5,988","13,682","13,682"
Tupelo,Tupelo,and,blackgum,,,"1,831","1,831",,730,730,"1,325","1,325"
Bay,and,magnolia,magnolia,,,,206,,74,74,,--
Other,Other,eastern,hardwoods,hardwoods,hardwoods,"41,960","41,960",,"16,744","16,744","38,067","38,067"
,Total,hardwoods,hardwoods,,,"150,554","150,554",,"91,111","91,111","226,204","226,204"
All,species,species,,,,"227,850","227,850",,"163,280","163,280","388,201","388,201"
a,,,,,,,,,,,,
Merchantable,Merchantable,Merchantable,portion,only.,only.,,,,,,,
